Turn,Speaker,POS
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,n:let
1,EXP,n:let
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,n:let
2,EXP,n:let
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,n:let
3,EXP,n:let
4,MOT,v
4,MOT,v
5,MOT,v
5,MOT,v
6,MOT,v
6,MOT,v
7,MOT,co
8,MOT,co
9,MOT,co
10,MOT,v
10,MOT,v
11,MOT,v
11,MOT,v
12,MOT,v
12,MOT,v
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,co
17,MOT,co
18,MOT,co
19,MOT,pro:per
19,MOT,v
19,MOT,det:art
19,MOT,n
19,MOT,?
20,MOT,pro:per
20,MOT,v
20,MOT,det:art
20,MOT,n
20,MOT,?
21,MOT,pro:per
21,MOT,v
21,MOT,det:art
21,MOT,n
22,MOT,n
22,MOT,n
22,MOT,n
23,MOT,n
23,MOT,n
23,MOT,n
24,MOT,n
24,MOT,n
24,MOT,n
25,MOT,qn
25,MOT,qn
25,MOT,pro:indef
25,MOT,?
26,MOT,qn
26,MOT,qn
26,MOT,pro:indef
26,MOT,?
27,MOT,qn
27,MOT,qn
27,MOT,pro:indef
28,MOT,co
29,MOT,co
30,MOT,co
31,MOT,co
32,MOT,co
33,MOT,co
34,MOT,v
34,MOT,co
35,MOT,v
35,MOT,co
36,MOT,v
36,MOT,co
37,MOT,co
37,MOT,v
37,MOT,prep
37,MOT,pro:dem
38,MOT,co
38,MOT,v
38,MOT,prep
38,MOT,pro:dem
39,MOT,co
39,MOT,v
39,MOT,prep
39,MOT,pro:dem
40,MOT,det:poss
40,MOT,adv
40,MOT,co
40,MOT,det:poss
40,MOT,n
40,MOT,prep
40,MOT,n
41,MOT,det:poss
41,MOT,adv
41,MOT,co
41,MOT,det:poss
41,MOT,n
41,MOT,prep
41,MOT,n
42,MOT,det:poss
42,MOT,adv
42,MOT,co
42,MOT,det:poss
42,MOT,n
42,MOT,prep
42,MOT,n
43,MOT,pro:per
43,MOT,v
43,MOT,det:art
43,MOT,n
43,MOT,?
44,MOT,pro:per
44,MOT,v
44,MOT,det:art
44,MOT,n
44,MOT,?
45,MOT,pro:per
45,MOT,v
45,MOT,det:art
45,MOT,n
46,MOT,co
47,MOT,co
48,MOT,co
49,MOT,mod
49,MOT,pro:per
49,MOT,v
49,MOT,pro:dem
49,MOT,?
50,MOT,mod
50,MOT,pro:per
50,MOT,v
50,MOT,pro:dem
50,MOT,?
51,MOT,mod
51,MOT,pro:per
51,MOT,v
51,MOT,pro:dem
52,MOT,n
53,MOT,n
54,MOT,n
55,MOT,n
56,MOT,n
57,MOT,n
58,MOT,v
58,MOT,pro:dem
58,MOT,!
59,MOT,v
59,MOT,pro:dem
60,MOT,v
60,MOT,pro:dem
61,MOT,co
61,MOT,!
62,MOT,co
63,MOT,co
64,MOT,co
65,MOT,co
66,MOT,co
67,MOT,co
68,MOT,co
69,MOT,co
70,MOT,mod
70,MOT,pro:per
70,MOT,v
70,MOT,det:art
70,MOT,n
70,MOT,?
71,MOT,mod
71,MOT,pro:per
71,MOT,v
71,MOT,det:art
71,MOT,n
71,MOT,?
72,MOT,mod
72,MOT,pro:per
72,MOT,v
72,MOT,det:art
72,MOT,n
73,MOT,co
74,MOT,co
75,MOT,co
76,MOT,det:art
76,MOT,n
77,MOT,det:art
77,MOT,n
78,MOT,det:art
78,MOT,n
79,MOT,co
80,MOT,co
81,MOT,co
82,MOT,pro:per
82,MOT,v
82,MOT,det:art
82,MOT,n
82,MOT,?
83,MOT,pro:per
83,MOT,v
83,MOT,det:art
83,MOT,n
83,MOT,?
84,MOT,pro:per
84,MOT,v
84,MOT,det:art
84,MOT,n
85,MOT,mod
85,MOT,pro:per
85,MOT,v
85,MOT,det:art
85,MOT,n
85,MOT,?
86,MOT,mod
86,MOT,pro:per
86,MOT,v
86,MOT,det:art
86,MOT,n
86,MOT,?
87,MOT,mod
87,MOT,pro:per
87,MOT,v
87,MOT,det:art
87,MOT,n
88,MOT,co
88,MOT,!
89,MOT,co
90,MOT,co
91,MOT,pro:int
91,MOT,det:art
91,MOT,n
91,MOT,part
91,MOT,?
92,MOT,pro:int
92,MOT,det:art
92,MOT,n
92,MOT,part
92,MOT,?
93,MOT,pro:int
93,MOT,det:art
93,MOT,n
93,MOT,part
94,MOT,neg
94,MOT,prep
94,MOT,det:art
94,MOT,n
95,MOT,neg
95,MOT,prep
95,MOT,det:art
95,MOT,n
96,MOT,neg
96,MOT,prep
96,MOT,det:art
96,MOT,n
97,MOT,co
97,MOT,adv
97,MOT,prep
97,MOT,det:art
97,MOT,n
98,MOT,co
98,MOT,adv
98,MOT,prep
98,MOT,det:art
98,MOT,n
99,MOT,co
99,MOT,adv
99,MOT,prep
99,MOT,det:art
99,MOT,n
100,MOT,pro:indef
100,MOT,prep
100,MOT,det:art
100,MOT,n
101,MOT,pro:indef
101,MOT,prep
101,MOT,det:art
101,MOT,n
102,MOT,pro:indef
102,MOT,prep
102,MOT,det:art
102,MOT,n
103,MOT,v
103,MOT,v
103,MOT,pro:int
103,MOT,post
103,MOT,pro:sub
103,MOT,v
103,MOT,adv
104,MOT,v
104,MOT,v
104,MOT,pro:int
104,MOT,post
104,MOT,pro:sub
104,MOT,v
104,MOT,adv
105,MOT,v
105,MOT,v
105,MOT,pro:int
105,MOT,post
105,MOT,pro:sub
105,MOT,v
105,MOT,adv
106,MOT,co
106,MOT,!
107,MOT,co
108,MOT,co
109,MOT,pro:sub
109,MOT,v
109,MOT,det:art
109,MOT,n
109,MOT,!
110,MOT,pro:sub
110,MOT,v
110,MOT,det:art
110,MOT,n
111,MOT,pro:sub
111,MOT,v
111,MOT,det:art
111,MOT,n
112,MOT,co
112,MOT,pro:sub
112,MOT,v
112,MOT,det:art
112,MOT,n
112,MOT,!
113,MOT,co
113,MOT,pro:sub
113,MOT,v
113,MOT,det:art
113,MOT,n
114,MOT,co
114,MOT,pro:sub
114,MOT,v
114,MOT,det:art
114,MOT,n
115,MOT,co
115,MOT,!
116,MOT,co
117,MOT,co
118,MOT,pro:per
118,MOT,det:art
118,MOT,n
119,MOT,pro:per
119,MOT,det:art
119,MOT,n
120,MOT,pro:per
120,MOT,det:art
120,MOT,n
121,MOT,co
121,MOT,co
121,MOT,co
122,MOT,co
122,MOT,co
122,MOT,co
123,MOT,co
123,MOT,co
123,MOT,co
124,MOT,v
124,MOT,det:poss
124,MOT,n
125,MOT,v
125,MOT,det:poss
125,MOT,n
126,MOT,v
126,MOT,det:poss
126,MOT,n
127,MOT,v
127,MOT,det:poss
127,MOT,n
128,MOT,v
128,MOT,det:poss
128,MOT,n
129,MOT,v
129,MOT,det:poss
129,MOT,n
130,MOT,mod
130,MOT,pro:per
130,MOT,v
130,MOT,det:art
130,MOT,?
131,MOT,mod
131,MOT,pro:per
131,MOT,v
131,MOT,det:art
131,MOT,?
132,MOT,mod
132,MOT,pro:per
132,MOT,v
132,MOT,det:art
133,MOT,v
133,MOT,det:poss
133,MOT,n
134,MOT,v
134,MOT,det:poss
134,MOT,n
135,MOT,v
135,MOT,det:poss
135,MOT,n
136,MOT,co
137,MOT,co
138,MOT,co
139,MOT,co
139,MOT,pro:per
139,MOT,v
139,MOT,v
139,MOT,det:art
139,MOT,n
140,MOT,co
140,MOT,pro:per
140,MOT,v
140,MOT,v
140,MOT,det:art
140,MOT,n
141,MOT,co
141,MOT,pro:per
141,MOT,v
141,MOT,v
141,MOT,det:art
141,MOT,n
142,MOT,part
142,MOT,det:art
142,MOT,n
142,MOT,?
143,MOT,part
143,MOT,det:art
143,MOT,n
143,MOT,?
144,MOT,part
144,MOT,det:art
144,MOT,n
145,MOT,pro:per
145,MOT,v
145,MOT,v
145,MOT,det:art
145,MOT,n
145,MOT,prep
146,MOT,pro:per
146,MOT,v
146,MOT,v
146,MOT,det:art
146,MOT,n
146,MOT,prep
147,MOT,pro:per
147,MOT,v
147,MOT,v
147,MOT,det:art
147,MOT,n
147,MOT,prep
148,MOT,n
149,MOT,n
150,MOT,n
151,MOT,co
151,MOT,co
151,MOT,v
151,MOT,pro:per
151,MOT,n
152,MOT,co
152,MOT,co
152,MOT,v
152,MOT,pro:per
152,MOT,n
153,MOT,co
153,MOT,co
153,MOT,v
153,MOT,pro:per
153,MOT,n
154,MOT,co
154,MOT,v
154,MOT,co
155,MOT,co
155,MOT,v
155,MOT,co
156,MOT,co
156,MOT,v
156,MOT,co
157,MOT,co
157,MOT,pro:sub
157,MOT,v
157,MOT,det:art
157,MOT,n
158,MOT,co
158,MOT,pro:sub
158,MOT,v
158,MOT,det:art
158,MOT,n
159,MOT,co
159,MOT,pro:sub
159,MOT,v
159,MOT,det:art
159,MOT,n
160,MOT,mod
160,MOT,pro:per
160,MOT,v
160,MOT,det:art
160,MOT,n
160,MOT,?
161,MOT,mod
161,MOT,pro:per
161,MOT,v
161,MOT,det:art
161,MOT,n
161,MOT,?
162,MOT,mod
162,MOT,pro:per
162,MOT,v
162,MOT,det:art
162,MOT,n
163,MOT,det:art
163,MOT,n
163,MOT,adv
163,MOT,adj
163,MOT,prep
163,MOT,pro:per
164,MOT,det:art
164,MOT,n
164,MOT,adv
164,MOT,adj
164,MOT,prep
164,MOT,pro:per
165,MOT,det:art
165,MOT,n
165,MOT,adv
165,MOT,adj
165,MOT,prep
165,MOT,pro:per
166,MOT,co
166,MOT,v
166,MOT,pro:per
166,MOT,v
166,MOT,det:art
166,MOT,n
166,MOT,?
167,MOT,co
167,MOT,v
167,MOT,pro:per
167,MOT,v
167,MOT,det:art
167,MOT,n
167,MOT,?
168,MOT,co
168,MOT,v
168,MOT,pro:per
168,MOT,v
168,MOT,det:art
168,MOT,n
169,MOT,mod
169,MOT,pro:per
169,MOT,v
169,MOT,co
169,MOT,prep
169,MOT,det:art
169,MOT,n
169,MOT,?
170,MOT,mod
170,MOT,pro:per
170,MOT,v
170,MOT,co
170,MOT,prep
170,MOT,det:art
170,MOT,n
170,MOT,?
171,MOT,mod
171,MOT,pro:per
171,MOT,v
171,MOT,co
171,MOT,prep
171,MOT,det:art
171,MOT,n
172,MOT,co
172,MOT,pro:dem
172,MOT,det:art
172,MOT,adj
172,MOT,n
173,MOT,co
173,MOT,pro:dem
173,MOT,det:art
173,MOT,adj
173,MOT,n
174,MOT,co
174,MOT,pro:dem
174,MOT,det:art
174,MOT,adj
174,MOT,n
175,MOT,det:art
175,MOT,adj
175,MOT,n
176,MOT,det:art
176,MOT,adj
176,MOT,n
177,MOT,det:art
177,MOT,adj
177,MOT,n
178,MOT,adv
178,MOT,prep
178,MOT,det:poss
178,MOT,n
179,MOT,adv
179,MOT,prep
179,MOT,det:poss
179,MOT,n
180,MOT,adv
180,MOT,prep
180,MOT,det:poss
180,MOT,n
181,MOT,pro:dem
181,MOT,cop
181,MOT,det:art
181,MOT,adj
181,MOT,n
182,MOT,pro:dem
182,MOT,cop
182,MOT,det:art
182,MOT,adj
182,MOT,n
183,MOT,pro:dem
183,MOT,cop
183,MOT,det:art
183,MOT,adj
183,MOT,n
184,MOT,co
185,MOT,co
186,MOT,co
187,MOT,n
188,MOT,n
189,MOT,n
190,MOT,n
191,MOT,n
192,MOT,n
