Turn,Speaker,POS
1,EXP,pro:dem
1,EXP,cop
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,pro:dem
2,EXP,cop
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,pro:dem
3,EXP,cop
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,MOT,co
4,MOT,pro:sub
4,MOT,part
4,MOT,v
5,MOT,co
5,MOT,pro:sub
5,MOT,part
5,MOT,v
6,MOT,co
6,MOT,pro:sub
6,MOT,part
6,MOT,v
7,MOT,pro:exist
7,MOT,qn
7,MOT,n
7,MOT,prep
7,MOT,adj
8,MOT,pro:exist
8,MOT,qn
8,MOT,n
8,MOT,prep
8,MOT,adj
9,MOT,pro:exist
9,MOT,qn
9,MOT,n
9,MOT,prep
9,MOT,adj
10,MOT,pro:per
10,MOT,v
10,MOT,pro:dem
10,MOT,mod
10,MOT,pro:per
10,MOT,?
11,MOT,pro:per
11,MOT,v
11,MOT,pro:dem
11,MOT,mod
11,MOT,pro:per
11,MOT,?
12,MOT,pro:per
12,MOT,v
12,MOT,pro:dem
12,MOT,mod
12,MOT,pro:per
13,MOT,co
13,MOT,?
14,MOT,co
14,MOT,?
15,MOT,co
16,MOT,pro:int
16,MOT,v
16,MOT,?
17,MOT,pro:int
17,MOT,v
17,MOT,?
18,MOT,pro:int
18,MOT,v
19,MOT,pro:sub
19,MOT,mod
19,MOT,v
19,MOT,det:art
19,MOT,adj
19,MOT,n
20,MOT,pro:sub
20,MOT,mod
20,MOT,v
20,MOT,det:art
20,MOT,adj
20,MOT,n
21,MOT,pro:sub
21,MOT,mod
21,MOT,v
21,MOT,det:art
21,MOT,adj
21,MOT,n
22,MOT,pro:int
22,MOT,pro:sub
22,MOT,adv
23,MOT,pro:int
23,MOT,pro:sub
23,MOT,adv
24,MOT,pro:int
24,MOT,pro:sub
24,MOT,adv
25,MOT,pro:int
25,MOT,pro:dem
25,MOT,?
26,MOT,pro:int
26,MOT,pro:dem
26,MOT,?
27,MOT,pro:int
27,MOT,pro:dem
28,MOT,cop
28,MOT,adv
28,MOT,adj
28,MOT,n
28,MOT,?
29,MOT,cop
29,MOT,adv
29,MOT,adj
29,MOT,n
29,MOT,?
30,MOT,cop
30,MOT,adv
30,MOT,adj
30,MOT,n
31,MOT,pro:int
31,MOT,cop
31,MOT,pro:dem
31,MOT,?
32,MOT,pro:int
32,MOT,cop
32,MOT,pro:dem
32,MOT,?
33,MOT,pro:int
33,MOT,cop
33,MOT,pro:dem
34,MOT,pro:per
34,MOT,adv
34,MOT,adv
34,MOT,part
34,MOT,n
35,MOT,pro:per
35,MOT,adv
35,MOT,adv
35,MOT,part
35,MOT,n
36,MOT,pro:per
36,MOT,adv
36,MOT,adv
36,MOT,part
36,MOT,n
37,MOT,cop
37,MOT,det:dem
37,MOT,adj
37,MOT,?
38,MOT,cop
38,MOT,det:dem
38,MOT,adj
38,MOT,?
39,MOT,cop
39,MOT,det:dem
39,MOT,adj
40,MOT,cop
40,MOT,det:dem
40,MOT,adj
40,MOT,?
41,MOT,cop
41,MOT,det:dem
41,MOT,adj
41,MOT,?
42,MOT,cop
42,MOT,det:dem
42,MOT,adj
43,MOT,pro:exist
43,MOT,qn
43,MOT,qn
43,MOT,n
43,MOT,prep
44,MOT,pro:exist
44,MOT,qn
44,MOT,qn
44,MOT,n
44,MOT,prep
45,MOT,pro:exist
45,MOT,qn
45,MOT,qn
45,MOT,n
45,MOT,prep
46,MOT,co
46,MOT,?
47,MOT,co
47,MOT,?
48,MOT,co
49,MOT,v
49,MOT,v
49,MOT,pro:indef
49,MOT,post
49,MOT,?
50,MOT,v
50,MOT,v
50,MOT,pro:indef
50,MOT,post
50,MOT,?
51,MOT,v
51,MOT,v
51,MOT,pro:indef
51,MOT,post
52,MOT,mod
52,MOT,pro:per
52,MOT,v
52,MOT,adv
52,MOT,det:dem
52,MOT,?
53,MOT,mod
53,MOT,pro:per
53,MOT,v
53,MOT,adv
53,MOT,det:dem
53,MOT,?
54,MOT,mod
54,MOT,pro:per
54,MOT,v
54,MOT,adv
54,MOT,det:dem
55,MOT,adj
55,MOT,n
55,MOT,!
56,MOT,adj
56,MOT,n
57,MOT,adj
57,MOT,n
58,MOT,v
58,MOT,prep
58,MOT,pro:per
59,MOT,v
59,MOT,prep
59,MOT,pro:per
60,MOT,v
60,MOT,prep
60,MOT,pro:per
61,MOT,co
61,MOT,adv
61,MOT,pro:per
61,MOT,v
62,MOT,co
62,MOT,adv
62,MOT,pro:per
62,MOT,v
63,MOT,co
63,MOT,adv
63,MOT,pro:per
63,MOT,v
64,MOT,co
64,MOT,!
65,MOT,co
66,MOT,co
67,MOT,co
67,MOT,pro:rel
67,MOT,pro:per
67,MOT,v
67,MOT,?
68,MOT,co
68,MOT,pro:rel
68,MOT,pro:per
68,MOT,v
68,MOT,?
69,MOT,co
69,MOT,pro:rel
69,MOT,pro:per
69,MOT,v
70,MOT,adv
70,MOT,pro:int
70,MOT,?
71,MOT,adv
71,MOT,pro:int
71,MOT,?
72,MOT,adv
72,MOT,pro:int
73,MOT,co
73,MOT,co
74,MOT,co
74,MOT,co
75,MOT,co
75,MOT,co
76,MOT,adv
76,MOT,v
76,MOT,prep
76,MOT,n
77,MOT,adv
77,MOT,v
77,MOT,prep
77,MOT,n
