Turn,Speaker,POS
1,MOT,n
2,MOT,n
3,MOT,n
4,MOT,v
4,MOT,pro:per
4,MOT,adv
4,MOT,prep
4,MOT,det:poss
4,MOT,n
5,MOT,v
5,MOT,pro:per
5,MOT,adv
5,MOT,prep
5,MOT,det:poss
5,MOT,n
6,MOT,v
6,MOT,pro:per
6,MOT,adv
6,MOT,prep
6,MOT,det:poss
6,MOT,n
7,MOT,co
7,MOT,v
7,MOT,det:art
7,MOT,n
7,MOT,?
8,MOT,co
8,MOT,v
8,MOT,det:art
8,MOT,n
8,MOT,?
9,MOT,co
9,MOT,v
9,MOT,det:art
9,MOT,n
10,MOT,co
11,MOT,co
12,MOT,co
13,MOT,pro:sub
13,MOT,adv
13,MOT,mod
13,MOT,v
13,MOT,pro:per
14,MOT,pro:sub
14,MOT,adv
14,MOT,mod
14,MOT,v
14,MOT,pro:per
15,MOT,pro:sub
15,MOT,adv
15,MOT,mod
15,MOT,v
15,MOT,pro:per
16,EXP,pro:sub
16,EXP,v
16,EXP,qn
16,EXP,det:art
16,EXP,n
16,EXP,prep
17,EXP,pro:sub
17,EXP,v
17,EXP,qn
17,EXP,det:art
17,EXP,n
17,EXP,prep
18,EXP,pro:sub
18,EXP,v
18,EXP,qn
18,EXP,det:art
18,EXP,n
18,EXP,prep
19,MOT,co
19,MOT,adj
19,MOT,pro:sub
19,MOT,mod
19,MOT,v
20,MOT,co
20,MOT,adj
20,MOT,pro:sub
20,MOT,mod
20,MOT,v
21,MOT,co
21,MOT,adj
21,MOT,pro:sub
21,MOT,mod
21,MOT,v
22,MOT,part
22,MOT,prep
22,MOT,pro:indef
23,MOT,part
23,MOT,prep
23,MOT,pro:indef
24,MOT,part
24,MOT,prep
24,MOT,pro:indef
25,MOT,co
25,MOT,pro:int
25,MOT,cop
25,MOT,pro:dem
25,MOT,?
26,MOT,co
26,MOT,pro:int
26,MOT,cop
26,MOT,pro:dem
26,MOT,?
27,MOT,co
27,MOT,pro:int
27,MOT,cop
27,MOT,pro:dem
28,MOT,n:prop
28,MOT,v
29,MOT,n:prop
29,MOT,v
30,MOT,n:prop
30,MOT,v
31,MOT,pro:per
31,MOT,v
31,MOT,det:dem
31,MOT,adj
31,MOT,n
31,MOT,mod
32,MOT,pro:per
32,MOT,v
32,MOT,det:dem
32,MOT,adj
32,MOT,n
32,MOT,mod
33,MOT,pro:per
33,MOT,v
33,MOT,det:dem
33,MOT,adj
33,MOT,n
33,MOT,mod
34,MOT,pro:per
34,MOT,v
34,MOT,n
34,MOT,?
35,MOT,pro:per
35,MOT,v
35,MOT,n
35,MOT,?
36,MOT,pro:per
36,MOT,v
36,MOT,n
37,MOT,co
37,MOT,pro:per
37,MOT,v
37,MOT,adv
37,MOT,cop
37,MOT,det:art
38,MOT,co
38,MOT,pro:per
38,MOT,v
38,MOT,adv
38,MOT,cop
38,MOT,det:art
39,MOT,co
39,MOT,pro:per
39,MOT,v
39,MOT,adv
39,MOT,cop
39,MOT,det:art
40,MOT,co
40,MOT,pro:dem
40,MOT,neg
40,MOT,det:poss
40,MOT,n
41,MOT,co
