Turn,Speaker,POS
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,adv:tem
4,EXP,cop
4,EXP,det:num
4,EXP,det:num
4,EXP,det:num
5,EXP,adv:tem
5,EXP,cop
5,EXP,det:num
5,EXP,det:num
5,EXP,det:num
6,EXP,adv:tem
6,EXP,cop
6,EXP,det:num
6,EXP,det:num
6,EXP,det:num
7,EXP,co
7,EXP,v
7,EXP,pro:dem
7,EXP,adv
8,EXP,co
8,EXP,v
8,EXP,pro:dem
8,EXP,adv
9,EXP,co
9,EXP,v
9,EXP,pro:dem
9,EXP,adv
10,EXP,pro:per
10,EXP,mod
10,EXP,v
10,EXP,pro:dem
10,EXP,adv
10,EXP,coord
11,EXP,pro:per
11,EXP,mod
11,EXP,v
11,EXP,pro:dem
11,EXP,adv
11,EXP,coord
12,EXP,pro:per
12,EXP,mod
12,EXP,v
12,EXP,pro:dem
12,EXP,adv
12,EXP,coord
13,MOT,co
14,MOT,co
15,MOT,co
16,EXP,pro:sub
16,EXP,v
16,EXP,v
16,EXP,adv
16,EXP,coord
16,EXP,aux
16,EXP,part
17,EXP,pro:sub
17,EXP,v
17,EXP,v
17,EXP,adv
17,EXP,coord
17,EXP,aux
17,EXP,part
18,EXP,pro:sub
18,EXP,v
18,EXP,v
18,EXP,adv
18,EXP,coord
18,EXP,aux
18,EXP,part
19,MOT,pro:int
19,MOT,mod
19,MOT,pro:per
19,MOT,v
19,MOT,v
19,MOT,prep
19,MOT,?
20,MOT,pro:int
20,MOT,mod
20,MOT,pro:per
20,MOT,v
20,MOT,v
20,MOT,prep
20,MOT,?
21,MOT,pro:int
21,MOT,mod
21,MOT,pro:per
21,MOT,v
21,MOT,v
21,MOT,prep
22,MOT,co
22,MOT,?
23,MOT,co
23,MOT,?
24,MOT,co
25,MOT,pro:int
25,MOT,aux
25,MOT,pro:per
25,MOT,part
25,MOT,v
26,MOT,pro:int
26,MOT,aux
26,MOT,pro:per
26,MOT,part
26,MOT,v
27,MOT,pro:int
27,MOT,aux
27,MOT,pro:per
27,MOT,part
27,MOT,v
28,MOT,v
28,MOT,co
28,MOT,det:art
28,MOT,n
28,MOT,?
29,MOT,v
29,MOT,co
29,MOT,det:art
29,MOT,n
29,MOT,?
30,MOT,v
30,MOT,co
30,MOT,det:art
30,MOT,n
31,MOT,n
32,MOT,n
33,MOT,n
34,MOT,v
34,MOT,v
35,MOT,v
35,MOT,v
36,MOT,v
36,MOT,v
37,MOT,v
37,MOT,v
37,MOT,?
38,MOT,v
38,MOT,v
38,MOT,?
39,MOT,v
39,MOT,v
40,MOT,co
40,MOT,co
41,MOT,co
41,MOT,co
42,MOT,co
42,MOT,co
43,MOT,n:prop
44,MOT,n:prop
45,MOT,n:prop
46,MOT,pro:per
46,MOT,v
46,MOT,n:prop
46,MOT,inf
46,MOT,v
46,MOT,pro:dem
46,MOT,?
47,MOT,pro:per
47,MOT,v
47,MOT,n:prop
47,MOT,inf
47,MOT,v
47,MOT,pro:dem
47,MOT,?
48,MOT,pro:per
48,MOT,v
48,MOT,n:prop
48,MOT,inf
48,MOT,v
48,MOT,pro:dem
49,MOT,v
49,MOT,prep
49,MOT,pro:dem
50,MOT,v
50,MOT,prep
50,MOT,pro:dem
51,MOT,v
51,MOT,prep
51,MOT,pro:dem
52,MOT,v
53,MOT,v
54,MOT,v
55,MOT,pro:per
55,MOT,v
55,MOT,det:art
55,MOT,n
55,MOT,?
56,MOT,pro:per
56,MOT,v
56,MOT,det:art
56,MOT,n
56,MOT,?
57,MOT,pro:per
57,MOT,v
57,MOT,det:art
57,MOT,n
58,MOT,v
58,MOT,det:art
58,MOT,n
58,MOT,?
59,MOT,v
59,MOT,det:art
59,MOT,n
59,MOT,?
60,MOT,v
60,MOT,det:art
60,MOT,n
61,MOT,pro:dem
61,MOT,n
61,MOT,part
