Turn,Speaker,POS
1,MOT,co
1,MOT,pro:per
1,MOT,v
1,MOT,pro:dem
1,MOT,?
2,MOT,co
2,MOT,pro:per
2,MOT,v
2,MOT,pro:dem
2,MOT,?
3,MOT,co
3,MOT,pro:per
3,MOT,v
3,MOT,pro:dem
4,MOT,n
5,MOT,n
6,MOT,n
7,MOT,co
7,MOT,co
8,MOT,co
8,MOT,co
9,MOT,co
9,MOT,co
10,MOT,v
10,MOT,pro:per
10,MOT,!
11,MOT,v
11,MOT,pro:per
12,MOT,v
12,MOT,pro:per
13,MOT,mod
13,MOT,pro:dem
13,MOT,n
13,MOT,?
14,MOT,mod
14,MOT,pro:dem
14,MOT,n
14,MOT,?
15,MOT,mod
15,MOT,pro:dem
15,MOT,n
16,MOT,mod
16,MOT,pro:per
16,MOT,n
16,MOT,?
17,MOT,mod
17,MOT,pro:per
17,MOT,n
17,MOT,?
18,MOT,mod
18,MOT,pro:per
18,MOT,n
19,MOT,pro:per
19,MOT,v
19,MOT,v
19,MOT,pro:per
19,MOT,prep
19,MOT,det:poss
20,MOT,pro:per
20,MOT,v
20,MOT,v
20,MOT,pro:per
20,MOT,prep
20,MOT,det:poss
21,MOT,pro:per
21,MOT,v
21,MOT,v
21,MOT,pro:per
21,MOT,prep
21,MOT,det:poss
22,MOT,mod
22,MOT,pro:per
22,MOT,v
22,MOT,pro:per
23,MOT,mod
23,MOT,pro:per
23,MOT,v
23,MOT,pro:per
24,MOT,mod
24,MOT,pro:per
24,MOT,v
24,MOT,pro:per
25,MOT,v
25,MOT,pro:per
25,MOT,v
25,MOT,det:art
25,MOT,n
25,MOT,?
26,MOT,v
26,MOT,pro:per
26,MOT,v
26,MOT,det:art
26,MOT,n
26,MOT,?
27,MOT,v
27,MOT,pro:per
27,MOT,v
27,MOT,det:art
27,MOT,n
28,MOT,pro:per
28,MOT,v
28,MOT,det:art
28,MOT,n
29,MOT,pro:per
29,MOT,v
29,MOT,det:art
29,MOT,n
30,MOT,pro:per
30,MOT,v
30,MOT,det:art
30,MOT,n
31,MOT,pro:per
31,MOT,v
31,MOT,v
31,MOT,qn
31,MOT,n
31,MOT,prep
32,MOT,pro:per
32,MOT,v
32,MOT,v
32,MOT,qn
32,MOT,n
32,MOT,prep
33,MOT,pro:per
33,MOT,v
33,MOT,v
33,MOT,qn
33,MOT,n
33,MOT,prep
34,MOT,pro:dem
34,MOT,det:art
34,MOT,n
35,MOT,pro:dem
35,MOT,det:art
35,MOT,n
36,MOT,pro:dem
36,MOT,det:art
36,MOT,n
37,MOT,pro:per
37,MOT,adj
37,MOT,co
37,MOT,pro:per
37,MOT,cop
38,MOT,pro:per
38,MOT,adj
38,MOT,co
38,MOT,pro:per
38,MOT,cop
39,MOT,pro:per
39,MOT,adj
39,MOT,co
39,MOT,pro:per
39,MOT,cop
40,MOT,aux
40,MOT,pro:per
40,MOT,det:art
40,MOT,n
40,MOT,?
41,MOT,aux
41,MOT,pro:per
41,MOT,det:art
41,MOT,n
41,MOT,?
42,MOT,aux
42,MOT,pro:per
42,MOT,det:art
42,MOT,n
43,MOT,aux
43,MOT,pro:per
43,MOT,det:art
43,MOT,n
43,MOT,?
44,MOT,aux
44,MOT,pro:per
44,MOT,det:art
44,MOT,n
44,MOT,?
45,MOT,aux
45,MOT,pro:per
45,MOT,det:art
45,MOT,n
46,MOT,co
46,MOT,?
47,MOT,co
47,MOT,?
48,MOT,co
49,MOT,v
49,MOT,pro:per
49,MOT,mod
49,MOT,v
49,MOT,n
49,MOT,prep
50,MOT,v
50,MOT,pro:per
50,MOT,mod
50,MOT,v
50,MOT,n
50,MOT,prep
51,MOT,v
51,MOT,pro:per
51,MOT,mod
51,MOT,v
51,MOT,n
51,MOT,prep
52,MOT,prep
52,MOT,n
52,MOT,coord
52,MOT,n
52,MOT,pro:per
52,MOT,mod
53,MOT,prep
53,MOT,n
53,MOT,coord
53,MOT,n
53,MOT,pro:per
53,MOT,mod
54,MOT,prep
54,MOT,n
54,MOT,coord
54,MOT,n
54,MOT,pro:per
54,MOT,mod
55,MOT,co
56,MOT,co
57,MOT,co
58,MOT,v
58,MOT,pro:sub
58,MOT,part
58,MOT,n
58,MOT,prep
59,MOT,v
59,MOT,pro:sub
