Turn,Speaker,POS
1,EXP,adv:tem
1,EXP,cop
1,EXP,n:prop
1,EXP,adj
1,EXP,det:num
2,EXP,adv:tem
2,EXP,cop
2,EXP,n:prop
2,EXP,adj
2,EXP,det:num
3,EXP,adv:tem
3,EXP,cop
3,EXP,n:prop
3,EXP,adj
3,EXP,det:num
4,mor,*EXP:can
4,mor,I
4,mor,have
4,mor,your
4,mor,xxx
4,mor,?
4,mor,[+
4,mor,bch]
5,mor,*EXP:can
5,mor,I
5,mor,have
5,mor,your
5,mor,xxx
5,mor,?
5,mor,[+
5,mor,bch]
6,mor,*EXP:can
6,mor,I
6,mor,have
6,mor,your
6,mor,xxx
6,mor,
6,mor,[+
6,mor,bch]
7,mor,*MOT:yeah
7,mor,
7,mor,[+
7,mor,bch]
8,mor,*MOT:yeah
8,mor,
8,mor,[+
8,mor,bch]
9,mor,*MOT:yeah
9,mor,
9,mor,[+
9,mor,bch]
10,mor,*MOT:just
10,mor,kinda
10,mor,pin
10,mor,it
10,mor,
10,mor,[+
10,mor,bch]
11,mor,*MOT:just
11,mor,kinda
11,mor,pin
11,mor,it
11,mor,
11,mor,[+
11,mor,bch]
12,mor,*MOT:just
12,mor,kinda
12,mor,pin
12,mor,it
12,mor,
12,mor,[+
12,mor,bch]
13,mor,*EXP:that's
13,mor,perfect
13,mor,
13,mor,[+
13,mor,bch]
13,mor,8916_14118
14,mor,*EXP:that's
14,mor,perfect
14,mor,
14,mor,[+
14,mor,bch]
14,mor,8916_14118
15,mor,*EXP:that's
15,mor,perfect
15,mor,
15,mor,[+
15,mor,bch]
15,mor,8916_14118
16,mor,*MOT:like
16,mor,this
16,mor,?
16,mor,[+
16,mor,bch]
17,mor,*MOT:like
17,mor,this
17,mor,?
17,mor,[+
17,mor,bch]
18,mor,*MOT:like
18,mor,this
18,mor,
18,mor,[+
18,mor,bch]
19,mor,*MOT:does
19,mor,it
19,mor,needta
19,mor,be
19,mor,the
19,mor,other
19,mor,way
19,mor,?
19,mor,[+
19,mor,bch]
20,mor,*MOT:does
20,mor,it
20,mor,needta
20,mor,be
20,mor,the
20,mor,other
20,mor,way
20,mor,?
20,mor,[+
20,mor,bch]
21,mor,*MOT:does
21,mor,it
21,mor,needta
21,mor,be
21,mor,the
21,mor,other
21,mor,way
21,mor,
21,mor,[+
21,mor,bch]
22,mor,*EXP:yeah
22,mor,to
22,mor,really
22,mor,get
22,mor,your
22,mor,voice
22,mor,a
22,mor,little
22,mor,bit
22,mor,better
22,mor,
22,mor,[+
22,mor,bch]
23,mor,*EXP:yeah
23,mor,to
23,mor,really
23,mor,get
23,mor,your
23,mor,voice
23,mor,a
23,mor,little
23,mor,bit
23,mor,better
23,mor,
23,mor,[+
23,mor,bch]
24,mor,*EXP:yeah
24,mor,to
24,mor,really
24,mor,get
24,mor,your
24,mor,voice
24,mor,a
24,mor,little
24,mor,bit
24,mor,better
24,mor,
24,mor,[+
24,mor,bch]
25,mor,*MOT:+<
25,mor,okay
25,mor,
25,mor,[+
25,mor,bch]
25,mor,14118_18454
26,mor,*MOT:+<
26,mor,okay
26,mor,
26,mor,[+
26,mor,bch]
26,mor,14118_18454
27,mor,*MOT:+<
27,mor,okay
27,mor,
27,mor,[+
27,mor,bch]
27,mor,14118_18454
28,mor,*MOT:that's
28,mor,okay
28,mor,?
28,mor,[+
28,mor,bch]
29,mor,*MOT:that's
29,mor,okay
29,mor,?
29,mor,[+
29,mor,bch]
30,mor,*MOT:that's
30,mor,okay
30,mor,
30,mor,[+
30,mor,bch]
31,mor,*MOT:okay
31,mor,
31,mor,[+
31,mor,bch]
31,mor,18454_20412
32,mor,*MOT:okay
32,mor,
32,mor,[+
32,mor,bch]
32,mor,18454_20412
33,mor,*MOT:okay
33,mor,
33,mor,[+
33,mor,bch]
33,mor,18454_20412
34,mor,*EXP:and
34,mor,we
34,mor,have
34,mor,plenty
34,mor,of
34,mor,snack
34,mor,if
34,mor,you
34,mor,wanna
