Turn,Speaker,POS
1,MOT,mod
1,MOT,pro:per
1,MOT,v
1,MOT,det:art
1,MOT,adj
1,MOT,?
2,MOT,mod
2,MOT,pro:per
2,MOT,v
2,MOT,det:art
2,MOT,adj
2,MOT,?
3,MOT,mod
3,MOT,pro:per
3,MOT,v
3,MOT,det:art
3,MOT,adj
4,MOT,on
5,MOT,on
6,MOT,on
7,MOT,on
8,MOT,on
9,MOT,on
10,MOT,pro:per
10,MOT,part
10,MOT,v
10,MOT,pro:per
11,MOT,pro:per
11,MOT,part
11,MOT,v
11,MOT,pro:per
12,MOT,pro:per
12,MOT,part
12,MOT,v
12,MOT,pro:per
13,MOT,pro:int
13,MOT,det:dem
13,MOT,pro:indef
13,MOT,?
14,MOT,pro:int
14,MOT,det:dem
14,MOT,pro:indef
14,MOT,?
15,MOT,pro:int
15,MOT,det:dem
15,MOT,pro:indef
16,MOT,co
16,MOT,co
16,MOT,neg
16,MOT,part
17,MOT,co
17,MOT,co
17,MOT,neg
17,MOT,part
18,MOT,co
18,MOT,co
18,MOT,neg
18,MOT,part
19,MOT,co
20,MOT,co
21,MOT,co
22,MOT,pro:int
22,MOT,pro:per
22,MOT,part
22,MOT,?
23,MOT,pro:int
23,MOT,pro:per
23,MOT,part
23,MOT,?
24,MOT,pro:int
24,MOT,pro:per
24,MOT,part
25,MOT,mod
25,MOT,pro:per
25,MOT,v
25,MOT,det:art
25,MOT,n
25,MOT,?
26,MOT,mod
26,MOT,pro:per
26,MOT,v
26,MOT,det:art
26,MOT,n
26,MOT,?
27,MOT,mod
27,MOT,pro:per
27,MOT,v
27,MOT,det:art
27,MOT,n
28,MOT,qn
28,MOT,det:dem
28,MOT,adj
28,MOT,n
28,MOT,co
28,MOT,co
29,MOT,qn
29,MOT,det:dem
29,MOT,adj
29,MOT,n
29,MOT,co
29,MOT,co
30,MOT,qn
30,MOT,det:dem
30,MOT,adj
30,MOT,n
30,MOT,co
30,MOT,co
31,MOT,co
32,MOT,co
33,MOT,co
34,MOT,pro:int
34,MOT,pro:per
34,MOT,part
34,MOT,?
35,MOT,pro:int
35,MOT,pro:per
35,MOT,part
35,MOT,?
36,MOT,pro:int
36,MOT,pro:per
36,MOT,part
37,MOT,co
37,MOT,pro:int
37,MOT,pro:dem
37,MOT,?
38,MOT,co
38,MOT,pro:int
38,MOT,pro:dem
38,MOT,?
39,MOT,co
39,MOT,pro:int
39,MOT,pro:dem
40,MOT,pro:per
40,MOT,det:art
40,MOT,n
41,MOT,pro:per
41,MOT,det:art
41,MOT,n
42,MOT,pro:per
42,MOT,det:art
42,MOT,n
43,MOT,co
43,MOT,n:prop
44,MOT,co
44,MOT,n:prop
45,MOT,co
45,MOT,n:prop
46,MOT,co
46,MOT,n:prop
47,MOT,co
47,MOT,n:prop
48,MOT,co
48,MOT,n:prop
49,MOT,co
49,MOT,n:prop
50,MOT,co
50,MOT,n:prop
51,MOT,co
51,MOT,n:prop
52,MOT,co
52,MOT,n
53,MOT,co
53,MOT,n
54,MOT,co
54,MOT,n
55,MOT,v
55,MOT,n
56,MOT,v
56,MOT,n
57,MOT,v
57,MOT,n
58,MOT,co
59,MOT,co
60,MOT,co
61,MOT,n
61,MOT,v
61,MOT,adj
61,MOT,mod
61,MOT,pro:sub
61,MOT,?
62,MOT,n
62,MOT,v
