Turn,Speaker,POS
1,MOT,part
1,MOT,prep
1,MOT,?
2,MOT,part
2,MOT,prep
2,MOT,?
3,MOT,part
3,MOT,prep
4,MOT,n
4,MOT,?
5,MOT,n
5,MOT,?
6,MOT,n
7,MOT,pro:dem
7,MOT,pro:poss
8,MOT,pro:dem
8,MOT,pro:poss
9,MOT,pro:dem
9,MOT,pro:poss
10,MOT,co
10,MOT,pro:per
10,MOT,co
10,MOT,adv
10,MOT,pro:indef
11,MOT,co
11,MOT,pro:per
11,MOT,co
11,MOT,adv
11,MOT,pro:indef
12,MOT,co
12,MOT,pro:per
12,MOT,co
12,MOT,adv
12,MOT,pro:indef
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,pro:per
16,MOT,adv
16,MOT,part
16,MOT,qn
16,MOT,prep
17,MOT,pro:per
17,MOT,adv
17,MOT,part
17,MOT,qn
17,MOT,prep
18,MOT,pro:per
18,MOT,adv
18,MOT,part
18,MOT,qn
18,MOT,prep
19,MOT,adv
19,MOT,pro:sub
19,MOT,v
20,MOT,adv
20,MOT,pro:sub
20,MOT,v
21,MOT,adv
21,MOT,pro:sub
21,MOT,v
22,MOT,co
23,MOT,co
24,MOT,co
25,MOT,adv
25,MOT,pro:per
25,MOT,v
25,MOT,pro:per
26,MOT,adv
26,MOT,pro:per
26,MOT,v
26,MOT,pro:per
27,MOT,adv
27,MOT,pro:per
27,MOT,v
27,MOT,pro:per
28,MOT,part
28,MOT,v
28,MOT,det:art
28,MOT,n
28,MOT,?
29,MOT,part
29,MOT,v
29,MOT,det:art
29,MOT,n
29,MOT,?
30,MOT,part
30,MOT,v
30,MOT,det:art
30,MOT,n
31,MOT,qn
31,MOT,n
31,MOT,?
32,MOT,qn
32,MOT,n
32,MOT,?
33,MOT,qn
33,MOT,n
34,MOT,v
34,MOT,adv
34,MOT,det:art
34,MOT,n
34,MOT,adj
35,MOT,v
35,MOT,adv
35,MOT,det:art
35,MOT,n
35,MOT,adj
36,MOT,v
36,MOT,adv
36,MOT,det:art
36,MOT,n
36,MOT,adj
37,MOT,co
37,MOT,n:prop
38,MOT,co
38,MOT,n:prop
39,MOT,co
39,MOT,n:prop
40,MOT,n:prop
41,MOT,n:prop
42,MOT,n:prop
43,MOT,prep
43,MOT,det:dem
43,MOT,n
44,MOT,prep
44,MOT,det:dem
44,MOT,n
45,MOT,prep
45,MOT,det:dem
45,MOT,n
46,MOT,co
46,MOT,!
47,MOT,co
48,MOT,co
49,MOT,pro:sub
49,MOT,v
49,MOT,comp
49,MOT,adj
50,MOT,pro:sub
50,MOT,v
50,MOT,comp
50,MOT,adj
51,MOT,pro:sub
51,MOT,v
51,MOT,comp
51,MOT,adj
52,MOT,pro:exist
52,MOT,pro:int
52,MOT,pro:sub
