Turn,Speaker,POS
1,MOT,v
2,MOT,v
3,MOT,v
4,MOT,pro:int
4,MOT,mod
4,MOT,pro:per
4,MOT,v
4,MOT,?
5,MOT,pro:int
5,MOT,mod
5,MOT,pro:per
5,MOT,v
5,MOT,?
6,MOT,pro:int
6,MOT,mod
6,MOT,pro:per
6,MOT,v
7,MOT,mod
7,MOT,pro:sub
7,MOT,v
7,MOT,pro:per
7,MOT,adv
7,MOT,conj
8,MOT,mod
8,MOT,pro:sub
8,MOT,v
8,MOT,pro:per
8,MOT,adv
8,MOT,conj
9,MOT,mod
9,MOT,pro:sub
9,MOT,v
9,MOT,pro:per
9,MOT,adv
9,MOT,conj
10,MOT,co
11,MOT,co
12,MOT,co
13,MOT,n
13,MOT,coord
13,MOT,n
14,MOT,n
14,MOT,coord
14,MOT,n
15,MOT,n
15,MOT,coord
15,MOT,n
16,MOT,det:art
16,MOT,n
16,MOT,coord
16,MOT,qn
16,MOT,n
17,MOT,det:art
17,MOT,n
17,MOT,coord
17,MOT,qn
17,MOT,n
18,MOT,det:art
18,MOT,n
18,MOT,coord
18,MOT,qn
18,MOT,n
19,MOT,pro:int
19,MOT,cop
19,MOT,pro:per
19,MOT,?
20,MOT,pro:int
20,MOT,cop
20,MOT,pro:per
20,MOT,?
21,MOT,pro:int
21,MOT,cop
21,MOT,pro:per
22,MOT,pro:int
22,MOT,cop
22,MOT,pro:per
22,MOT,n:prop
22,MOT,?
23,MOT,pro:int
23,MOT,cop
23,MOT,pro:per
23,MOT,n:prop
23,MOT,?
24,MOT,pro:int
24,MOT,cop
24,MOT,pro:per
24,MOT,n:prop
25,MOT,pro:int
25,MOT,mod
25,MOT,pro:per
25,MOT,v
25,MOT,?
26,MOT,pro:int
26,MOT,mod
26,MOT,pro:per
26,MOT,v
26,MOT,?
27,MOT,pro:int
27,MOT,mod
27,MOT,pro:per
27,MOT,v
28,MOT,pro:int
28,MOT,mod
28,MOT,pro:per
28,MOT,v
28,MOT,?
29,MOT,pro:int
29,MOT,mod
29,MOT,pro:per
29,MOT,v
29,MOT,?
30,MOT,pro:int
30,MOT,mod
30,MOT,pro:per
30,MOT,v
31,MOT,pro:per
31,MOT,v
31,MOT,qn
31,MOT,n
31,MOT,?
32,MOT,pro:per
32,MOT,v
32,MOT,qn
32,MOT,n
32,MOT,?
33,MOT,pro:per
33,MOT,v
33,MOT,qn
33,MOT,n
34,MOT,mod
34,MOT,pro:per
34,MOT,v
34,MOT,pro:obj
34,MOT,?
35,MOT,mod
35,MOT,pro:per
35,MOT,v
35,MOT,pro:obj
35,MOT,?
36,MOT,mod
36,MOT,pro:per
36,MOT,v
36,MOT,pro:obj
37,MOT,adj
37,MOT,adj
37,MOT,adj
37,MOT,adj
38,MOT,adj
38,MOT,adj
38,MOT,adj
38,MOT,adj
39,MOT,adj
39,MOT,adj
39,MOT,adj
39,MOT,adj
40,MOT,n
41,MOT,n
42,MOT,n
43,MOT,co
43,MOT,co
43,MOT,co
44,MOT,co
44,MOT,co
44,MOT,co
45,MOT,co
45,MOT,co
45,MOT,co
46,MOT,pro:per
46,MOT,adj
46,MOT,prep
46,MOT,adj
46,MOT,n
46,MOT,co
46,MOT,?
47,MOT,pro:per
47,MOT,adj
47,MOT,prep
47,MOT,adj
47,MOT,n
47,MOT,co
47,MOT,?
48,MOT,pro:per
48,MOT,adj
48,MOT,prep
48,MOT,adj
48,MOT,n
48,MOT,co
49,MOT,cop
49,MOT,comp
49,MOT,det:num
49,MOT,adj
49,MOT,inf
49,MOT,v
49,MOT,adv
49,MOT,?
50,MOT,cop
50,MOT,comp
50,MOT,det:num
50,MOT,adj
50,MOT,inf
50,MOT,v
50,MOT,adv
50,MOT,?
51,MOT,cop
51,MOT,comp
51,MOT,det:num
51,MOT,adj
51,MOT,inf
51,MOT,v
51,MOT,adv
52,MOT,pro:int
52,MOT,cop
52,MOT,pro:per
52,MOT,?
53,MOT,pro:int
53,MOT,cop
53,MOT,pro:per
53,MOT,?
54,MOT,pro:int
54,MOT,cop
54,MOT,pro:per
55,MOT,mod
55,MOT,pro:per
55,MOT,v
55,MOT,?
56,MOT,mod
56,MOT,pro:per
56,MOT,v
56,MOT,?
57,MOT,mod
57,MOT,pro:per
57,MOT,v
58,MOT,cop
58,MOT,comp
58,MOT,det:art
58,MOT,n
58,MOT,?
59,MOT,cop
59,MOT,comp
59,MOT,det:art
59,MOT,n
59,MOT,?
60,MOT,cop
60,MOT,comp
60,MOT,det:art
60,MOT,n
61,MOT,co
62,MOT,co
63,MOT,co
64,MOT,co
64,MOT,!
65,MOT,co
66,MOT,co
67,MOT,co
68,MOT,co
69,MOT,co
70,MOT,v
70,MOT,pro:per
71,MOT,v
71,MOT,pro:per
72,MOT,v
72,MOT,pro:per
73,MOT,v
73,MOT,pro:per
74,MOT,v
74,MOT,pro:per
75,MOT,v
75,MOT,pro:per
76,MOT,on
77,MOT,on
78,MOT,on
79,MOT,on
80,MOT,on
81,MOT,on
82,MOT,on
83,MOT,on
84,MOT,on
85,MOT,pro:per
85,MOT,v
85,MOT,adv
85,MOT,pro:indef
85,MOT,conj
85,MOT,pro:per
86,MOT,pro:per
86,MOT,v
86,MOT,adv
86,MOT,pro:indef
86,MOT,conj
86,MOT,pro:per
87,MOT,pro:per
87,MOT,v
87,MOT,adv
87,MOT,pro:indef
87,MOT,conj
87,MOT,pro:per
88,MOT,co
89,MOT,co
90,MOT,co
91,MOT,pro:per
91,MOT,v
91,MOT,adv
91,MOT,pro:indef
91,MOT,?
92,MOT,pro:per
92,MOT,v
92,MOT,adv
92,MOT,pro:indef
92,MOT,?
93,MOT,pro:per
93,MOT,v
93,MOT,adv
93,MOT,pro:indef
94,MOT,pro:per
94,MOT,v
94,MOT,det:dem
94,MOT,n
94,MOT,?
95,MOT,pro:per
95,MOT,v
95,MOT,det:dem
95,MOT,n
95,MOT,?
96,MOT,pro:per
96,MOT,v
96,MOT,det:dem
96,MOT,n
97,MOT,v
97,MOT,pro:per
98,MOT,v
98,MOT,pro:per
99,MOT,v
99,MOT,pro:per
100,MOT,n
101,MOT,n
102,MOT,n
103,MOT,pro:int
103,MOT,post
103,MOT,?
104,MOT,pro:int
104,MOT,post
104,MOT,?
105,MOT,pro:int
105,MOT,post
106,MOT,pro:int
106,MOT,aux
106,MOT,pro:per
106,MOT,part
106,MOT,prep
106,MOT,?
107,MOT,pro:int
107,MOT,aux
107,MOT,pro:per
107,MOT,part
107,MOT,prep
107,MOT,?
108,MOT,pro:int
108,MOT,aux
108,MOT,pro:per
108,MOT,part
108,MOT,prep
109,MOT,pro:per
109,MOT,v
109,MOT,det:dem
109,MOT,adj
109,MOT,n
109,MOT,mod
110,MOT,pro:per
110,MOT,v
110,MOT,det:dem
110,MOT,adj
110,MOT,n
110,MOT,mod
111,MOT,pro:per
111,MOT,v
111,MOT,det:dem
111,MOT,adj
111,MOT,n
111,MOT,mod
112,MOT,pro:per
112,MOT,v
112,MOT,pro:per
112,MOT,pro:per
112,MOT,v
112,MOT,pro:per
113,MOT,pro:per
113,MOT,v
113,MOT,pro:per
113,MOT,pro:per
113,MOT,v
113,MOT,pro:per
114,MOT,pro:per
114,MOT,v
114,MOT,pro:per
114,MOT,pro:per
114,MOT,v
114,MOT,pro:per
115,MOT,det:num
115,MOT,n
116,MOT,det:num
116,MOT,n
117,MOT,det:num
117,MOT,n
118,MOT,adj
118,MOT,n
119,MOT,adj
119,MOT,n
120,MOT,adj
120,MOT,n
121,MOT,on
122,MOT,on
123,MOT,on
124,MOT,on
125,MOT,on
126,MOT,on
127,MOT,co
127,MOT,cop
127,MOT,comp
127,MOT,det:art
127,MOT,adj
127,MOT,n
127,MOT,?
128,MOT,co
128,MOT,cop
128,MOT,comp
128,MOT,det:art
128,MOT,adj
128,MOT,n
128,MOT,?
129,MOT,co
129,MOT,cop
129,MOT,comp
129,MOT,det:art
129,MOT,adj
129,MOT,n
130,MOT,n
130,MOT,n
130,MOT,n
130,MOT,n
131,MOT,n
131,MOT,n
131,MOT,n
131,MOT,n
132,MOT,n
132,MOT,n
132,MOT,n
132,MOT,n
133,MOT,n
133,MOT,n
133,MOT,n
134,MOT,n
134,MOT,n
134,MOT,n
135,MOT,n
135,MOT,n
135,MOT,n
136,MOT,co
136,MOT,adj
137,MOT,co
137,MOT,adj
138,MOT,co
138,MOT,adj
139,MOT,adv
139,MOT,v
139,MOT,v
139,MOT,prep
139,MOT,det:poss
139,MOT,n
140,MOT,adv
140,MOT,v
140,MOT,v
140,MOT,prep
140,MOT,det:poss
140,MOT,n
141,MOT,adv
141,MOT,v
141,MOT,v
141,MOT,prep
141,MOT,det:poss
141,MOT,n
142,MOT,adv
142,MOT,pro:per
142,MOT,v
143,MOT,adv
143,MOT,pro:per
143,MOT,v
144,MOT,adv
144,MOT,pro:per
144,MOT,v
145,MOT,mod
145,MOT,pro:per
145,MOT,v
145,MOT,inf
145,MOT,v
145,MOT,?
146,MOT,mod
146,MOT,pro:per
146,MOT,v
146,MOT,inf
146,MOT,v
146,MOT,?
147,MOT,mod
147,MOT,pro:per
147,MOT,v
147,MOT,inf
147,MOT,v
148,MOT,pro:dem
148,MOT,det:poss
148,MOT,n
148,MOT,?
149,MOT,pro:dem
149,MOT,det:poss
149,MOT,n
149,MOT,?
150,MOT,pro:dem
150,MOT,det:poss
150,MOT,n
151,MOT,det:poss
151,MOT,n
151,MOT,?
152,MOT,det:poss
152,MOT,n
152,MOT,?
153,MOT,det:poss
153,MOT,n
154,MOT,pro:int
154,MOT,pro:dem
154,MOT,?
155,MOT,pro:int
155,MOT,pro:dem
155,MOT,?
156,MOT,pro:int
156,MOT,pro:dem
157,MOT,pro:per
157,MOT,v
157,MOT,det:dem
157,MOT,adj
157,MOT,n
157,MOT,cop
158,MOT,pro:per
158,MOT,v
158,MOT,det:dem
158,MOT,adj
158,MOT,n
158,MOT,cop
159,MOT,pro:per
159,MOT,v
159,MOT,det:dem
159,MOT,adj
159,MOT,n
159,MOT,cop
160,MOT,n
160,MOT,n
160,MOT,n
161,MOT,n
161,MOT,n
161,MOT,n
162,MOT,n
162,MOT,n
162,MOT,n
163,MOT,n
163,MOT,!
164,MOT,n
165,MOT,n
166,MOT,n
166,MOT,n
166,MOT,n
166,MOT,n
166,MOT,n
167,MOT,n
167,MOT,n
167,MOT,n
167,MOT,n
167,MOT,n
168,MOT,n
168,MOT,n
168,MOT,n
168,MOT,n
168,MOT,n
169,MOT,pro:per
169,MOT,adv
169,MOT,part
169,MOT,prep
169,MOT,n
170,MOT,pro:per
170,MOT,adv
170,MOT,part
170,MOT,prep
170,MOT,n
171,MOT,pro:per
171,MOT,adv
171,MOT,part
171,MOT,prep
171,MOT,n
172,mor,*MOT:is
172,mor,that
172,mor,your
172,mor,new
172,mor,favorite
172,mor,toy
172,mor,?
172,mor,219816_222046
173,mor,*MOT:is
173,mor,that
173,mor,your
173,mor,new
173,mor,favorite
173,mor,toy
173,mor,?
173,mor,219816_222046
174,mor,*MOT:is
174,mor,that
174,mor,your
174,mor,new
174,mor,favorite
174,mor,toy
