Turn,Speaker,POS
1,MOT,pro:int
1,MOT,mod
1,MOT,pro:per
1,MOT,v
1,MOT,?
2,MOT,pro:int
2,MOT,mod
2,MOT,pro:per
2,MOT,v
2,MOT,?
3,MOT,pro:int
3,MOT,mod
3,MOT,pro:per
3,MOT,v
4,MOT,co
4,MOT,pro:dem
4,MOT,adv
4,MOT,adj
5,MOT,co
5,MOT,pro:dem
5,MOT,adv
5,MOT,adj
6,MOT,co
6,MOT,pro:dem
6,MOT,adv
6,MOT,adj
7,MOT,v
7,MOT,v
7,MOT,pro:dem
7,MOT,?
8,MOT,v
8,MOT,v
8,MOT,pro:dem
8,MOT,?
9,MOT,v
9,MOT,v
9,MOT,pro:dem
10,MOT,pro:per
10,MOT,adv
10,MOT,co
10,MOT,det:art
10,MOT,n
11,MOT,pro:per
11,MOT,adv
11,MOT,co
11,MOT,det:art
11,MOT,n
12,MOT,pro:per
12,MOT,adv
12,MOT,co
12,MOT,det:art
12,MOT,n
13,MOT,conj
13,MOT,pro:per
13,MOT,aux
13,MOT,adj
13,MOT,n
14,MOT,conj
14,MOT,pro:per
14,MOT,aux
14,MOT,adj
14,MOT,n
15,MOT,conj
15,MOT,pro:per
15,MOT,aux
15,MOT,adj
15,MOT,n
16,MOT,co
16,MOT,pro:dem
16,MOT,neg
16,MOT,adj
17,MOT,co
17,MOT,pro:dem
17,MOT,neg
17,MOT,adj
18,MOT,co
18,MOT,pro:dem
18,MOT,neg
18,MOT,adj
19,MOT,pro:int
19,MOT,post
19,MOT,pro:per
19,MOT,v
19,MOT,v
19,MOT,v
19,MOT,?
20,MOT,pro:int
20,MOT,post
20,MOT,pro:per
20,MOT,v
20,MOT,v
20,MOT,v
20,MOT,?
21,MOT,pro:int
21,MOT,post
21,MOT,pro:per
21,MOT,v
21,MOT,v
21,MOT,v
22,MOT,n:prop
22,MOT,post
22,MOT,pro:per
22,MOT,v
22,MOT,v
22,MOT,v
22,MOT,?
23,MOT,n:prop
23,MOT,post
23,MOT,pro:per
23,MOT,v
23,MOT,v
23,MOT,v
23,MOT,?
24,MOT,n:prop
24,MOT,post
24,MOT,pro:per
24,MOT,v
24,MOT,v
24,MOT,v
25,MOT,co
25,MOT,co
26,MOT,co
26,MOT,co
27,MOT,co
27,MOT,co
28,MOT,co
29,MOT,co
30,MOT,co
31,MOT,co
32,MOT,co
33,MOT,co
34,MOT,v
34,MOT,v
34,MOT,comp
34,MOT,pro:per
34,MOT,v
34,MOT,det:dem
35,MOT,v
35,MOT,v
35,MOT,comp
35,MOT,pro:per
35,MOT,v
35,MOT,det:dem
36,MOT,v
36,MOT,v
36,MOT,comp
36,MOT,pro:per
36,MOT,v
36,MOT,det:dem
37,MOT,v
37,MOT,adj
37,MOT,adv
37,MOT,pro:per
37,MOT,det:art
38,MOT,v
38,MOT,adj
38,MOT,adv
38,MOT,pro:per
38,MOT,det:art
39,MOT,v
39,MOT,adj
39,MOT,adv
39,MOT,pro:per
39,MOT,det:art
40,MOT,pro:per
40,MOT,v
40,MOT,adv
40,MOT,pro:indef
40,MOT,?
41,MOT,pro:per
41,MOT,v
41,MOT,adv
41,MOT,pro:indef
41,MOT,?
42,MOT,pro:per
42,MOT,v
42,MOT,adv
42,MOT,pro:indef
43,MOT,co
43,MOT,pro:sub
43,MOT,v
43,MOT,pro:per
43,MOT,v
43,MOT,pro:dem
44,MOT,co
44,MOT,pro:sub
44,MOT,v
44,MOT,pro:per
44,MOT,v
44,MOT,pro:dem
45,MOT,co
45,MOT,pro:sub
45,MOT,v
45,MOT,pro:per
45,MOT,v
45,MOT,pro:dem
46,MOT,v
46,MOT,adv
46,MOT,n
46,MOT,?
47,MOT,v
47,MOT,adv
47,MOT,n
47,MOT,?
48,MOT,v
48,MOT,adv
48,MOT,n
49,MOT,pro:int
49,MOT,pro:dem
49,MOT,?
50,MOT,pro:int
50,MOT,pro:dem
50,MOT,?
51,MOT,pro:int
51,MOT,pro:dem
52,MOT,pro:int
52,MOT,pro:dem
52,MOT,?
53,MOT,pro:int
53,MOT,pro:dem
53,MOT,?
54,MOT,pro:int
54,MOT,pro:dem
55,MOT,part
55,MOT,n
56,MOT,part
56,MOT,n
57,MOT,part
57,MOT,n
58,MOT,mod
58,MOT,n
58,MOT,v
58,MOT,pro:dem
58,MOT,?
59,MOT,mod
59,MOT,n
59,MOT,v
59,MOT,pro:dem
59,MOT,?
60,MOT,mod
60,MOT,n
60,MOT,v
60,MOT,pro:dem
61,MOT,mod
61,MOT,n
61,MOT,v
61,MOT,pro:dem
61,MOT,?
62,MOT,mod
62,MOT,n
62,MOT,v
62,MOT,pro:dem
62,MOT,?
63,MOT,mod
63,MOT,n
63,MOT,v
63,MOT,pro:dem
64,MOT,n
64,MOT,n
64,MOT,n
65,MOT,n
65,MOT,n
65,MOT,n
66,MOT,n
66,MOT,n
66,MOT,n
67,MOT,co
68,MOT,co
69,MOT,co
70,MOT,co
70,MOT,n
70,MOT,prep
70,MOT,det:art
70,MOT,n
71,MOT,co
71,MOT,n
71,MOT,prep
71,MOT,det:art
71,MOT,n
72,MOT,co
72,MOT,n
72,MOT,prep
72,MOT,det:art
72,MOT,n
73,MOT,n
73,MOT,pro:per
73,MOT,adj
74,MOT,n
74,MOT,pro:per
74,MOT,adj
75,MOT,n
75,MOT,pro:per
75,MOT,adj
76,MOT,pro:sub
76,MOT,mod
76,MOT,v
76,MOT,prep
76,MOT,det:art
76,MOT,n
77,MOT,pro:sub
77,MOT,mod
77,MOT,v
77,MOT,prep
77,MOT,det:art
77,MOT,n
78,MOT,pro:sub
78,MOT,mod
78,MOT,v
78,MOT,prep
78,MOT,det:art
78,MOT,n
79,MOT,pro:sub
79,MOT,v
79,MOT,v
79,MOT,pro:per
80,MOT,pro:sub
80,MOT,v
80,MOT,v
80,MOT,pro:per
81,MOT,pro:sub
81,MOT,v
81,MOT,v
81,MOT,pro:per
82,MOT,co
82,MOT,pro:sub
82,MOT,v
83,MOT,co
83,MOT,pro:sub
83,MOT,v
84,MOT,co
84,MOT,pro:sub
84,MOT,v
85,MOT,pro:sub
85,MOT,mod
85,MOT,neg
85,MOT,v
85,MOT,pro:per
85,MOT,prep
85,MOT,det:art
86,MOT,pro:sub
86,MOT,mod
86,MOT,neg
86,MOT,v
86,MOT,pro:per
86,MOT,prep
86,MOT,det:art
87,MOT,pro:sub
87,MOT,mod
87,MOT,neg
87,MOT,v
87,MOT,pro:per
87,MOT,prep
87,MOT,det:art
88,MOT,adv
88,MOT,pro:per
88,MOT,v
88,MOT,adv
88,MOT,adv
88,MOT,prep
88,MOT,pro:per
88,MOT,!
89,MOT,adv
89,MOT,pro:per
89,MOT,v
89,MOT,adv
89,MOT,adv
89,MOT,prep
89,MOT,pro:per
90,MOT,adv
90,MOT,pro:per
90,MOT,v
90,MOT,adv
90,MOT,adv
90,MOT,prep
90,MOT,pro:per
91,MOT,pro:int
91,MOT,mod
91,MOT,pro:sub
91,MOT,v
91,MOT,pro:obj
91,MOT,adv
92,MOT,pro:int
92,MOT,mod
92,MOT,pro:sub
92,MOT,v
92,MOT,pro:obj
92,MOT,adv
93,MOT,pro:int
93,MOT,mod
93,MOT,pro:sub
93,MOT,v
93,MOT,pro:obj
93,MOT,adv
94,MOT,pro:sub
94,MOT,mod
94,MOT,aux
94,MOT,adv
94,MOT,pro:sub
94,MOT,v
94,MOT,v
95,MOT,pro:sub
95,MOT,mod
95,MOT,aux
95,MOT,adv
95,MOT,pro:sub
95,MOT,v
95,MOT,v
96,MOT,pro:sub
96,MOT,mod
96,MOT,aux
96,MOT,adv
96,MOT,pro:sub
96,MOT,v
96,MOT,v
97,MOT,adv
97,MOT,v
97,MOT,coord
97,MOT,v
97,MOT,pro:int
97,MOT,pro:sub
97,MOT,mod
97,MOT,v
98,MOT,adv
98,MOT,v
98,MOT,coord
98,MOT,v
98,MOT,pro:int
98,MOT,pro:sub
98,MOT,mod
98,MOT,v
99,MOT,adv
99,MOT,v
99,MOT,coord
99,MOT,v
99,MOT,pro:int
99,MOT,pro:sub
99,MOT,mod
99,MOT,v
100,MOT,coord
100,MOT,adv
100,MOT,det:poss
100,MOT,n
100,MOT,cop
100,MOT,adj
101,MOT,coord
101,MOT,adv
101,MOT,det:poss
101,MOT,n
101,MOT,cop
101,MOT,adj
102,MOT,coord
102,MOT,adv
102,MOT,det:poss
102,MOT,n
102,MOT,cop
102,MOT,adj
103,MOT,v
103,MOT,pro:sub
103,MOT,cop
103,MOT,adv
103,MOT,adj
103,MOT,det:dem
103,MOT,n
104,MOT,v
104,MOT,pro:sub
104,MOT,cop
104,MOT,adv
104,MOT,adj
104,MOT,det:dem
104,MOT,n
105,MOT,v
105,MOT,pro:sub
105,MOT,cop
105,MOT,adv
105,MOT,adj
105,MOT,det:dem
105,MOT,n
106,MOT,adv
106,MOT,v
106,MOT,prep
106,MOT,pro:dem
106,MOT,pro:int
106,MOT,mod
106,MOT,pro:per
107,MOT,adv
107,MOT,v
107,MOT,prep
107,MOT,pro:dem
107,MOT,pro:int
107,MOT,mod
107,MOT,pro:per
108,MOT,adv
108,MOT,v
108,MOT,prep
108,MOT,pro:dem
108,MOT,pro:int
108,MOT,mod
108,MOT,pro:per
109,MOT,n:prop
109,MOT,adv
109,MOT,adj
109,MOT,adv
109,MOT,adj
109,MOT,mod
109,MOT,cop
110,MOT,n:prop
110,MOT,adv
110,MOT,adj
110,MOT,adv
110,MOT,adj
110,MOT,mod
110,MOT,cop
111,MOT,n:prop
111,MOT,adv
111,MOT,adj
111,MOT,adv
111,MOT,adj
111,MOT,mod
111,MOT,cop
112,MOT,n
112,MOT,n
112,MOT,v
112,MOT,pro:per
112,MOT,adj
112,MOT,v
113,MOT,n
113,MOT,n
113,MOT,v
113,MOT,pro:per
113,MOT,adj
113,MOT,v
114,MOT,n
114,MOT,n
114,MOT,v
114,MOT,pro:per
114,MOT,adj
114,MOT,v
115,MOT,pro:sub
115,MOT,mod
115,MOT,v
115,MOT,adv
115,MOT,v
115,MOT,pro:dem
115,MOT,cop
116,MOT,pro:sub
116,MOT,mod
116,MOT,v
116,MOT,adv
116,MOT,v
116,MOT,pro:dem
116,MOT,cop
117,MOT,pro:sub
117,MOT,mod
117,MOT,v
117,MOT,adv
117,MOT,v
117,MOT,pro:dem
117,MOT,cop
118,MOT,co
118,MOT,pro:sub
118,MOT,mod
118,MOT,v
118,MOT,pro:obj
118,MOT,prep
119,MOT,co
119,MOT,pro:sub
119,MOT,mod
119,MOT,v
119,MOT,pro:obj
119,MOT,prep
120,MOT,co
120,MOT,pro:sub
120,MOT,mod
120,MOT,v
120,MOT,pro:obj
120,MOT,prep
121,MOT,conj
121,MOT,pro:sub
121,MOT,mod
121,MOT,v
121,MOT,pro:int
121,MOT,pro:sub
121,MOT,mod
122,MOT,conj
122,MOT,pro:sub
122,MOT,mod
122,MOT,v
122,MOT,pro:int
122,MOT,pro:sub
122,MOT,mod
123,MOT,conj
123,MOT,pro:sub
123,MOT,mod
123,MOT,v
123,MOT,pro:int
123,MOT,pro:sub
123,MOT,mod
124,mor,conj
124,mor,prep
124,mor,qn
124,mor,det:art
124,mor,n
124,mor,pro:rel
125,mor,conj
125,mor,prep
125,mor,qn
125,mor,det:art
125,mor,n
125,mor,pro:rel
126,mor,conj
126,mor,prep
126,mor,qn
126,mor,det:art
126,mor,n
126,mor,pro:rel
127,MOT,co
127,MOT,pro:dem
127,MOT,cop
127,MOT,pro:int
127,MOT,pro:sub
127,MOT,v
128,MOT,co
128,MOT,pro:dem
128,MOT,cop
128,MOT,pro:int
128,MOT,pro:sub
128,MOT,v
129,MOT,co
129,MOT,pro:dem
129,MOT,cop
129,MOT,pro:int
129,MOT,pro:sub
129,MOT,v
130,MOT,pro:int
130,MOT,mod
130,MOT,pro:per
130,MOT,v
130,MOT,prep
130,MOT,pro:dem
130,MOT,?
131,MOT,pro:int
131,MOT,mod
131,MOT,pro:per
131,MOT,v
131,MOT,prep
131,MOT,pro:dem
131,MOT,?
132,MOT,pro:int
132,MOT,mod
132,MOT,pro:per
132,MOT,v
132,MOT,prep
132,MOT,pro:dem
133,MOT,det:art
133,MOT,n
133,MOT,!
134,MOT,det:art
134,MOT,n
135,MOT,det:art
135,MOT,n
136,MOT,qn
136,MOT,n
137,MOT,qn
137,MOT,n
138,MOT,qn
138,MOT,n
139,MOT,v
139,MOT,det:art
139,MOT,n
139,MOT,pro:per
139,MOT,part
140,MOT,v
140,MOT,det:art
140,MOT,n
140,MOT,pro:per
140,MOT,part
141,MOT,v
141,MOT,det:art
141,MOT,n
141,MOT,pro:per
141,MOT,part
142,MOT,pro:dem
142,MOT,cop
142,MOT,det:art
142,MOT,n
143,MOT,pro:dem
143,MOT,cop
143,MOT,det:art
143,MOT,n
144,MOT,pro:dem
144,MOT,cop
144,MOT,det:art
144,MOT,n
145,MOT,prep
145,MOT,qn
145,MOT,n
145,MOT,conj
145,MOT,pro:per
145,MOT,cop
146,MOT,prep
146,MOT,qn
146,MOT,n
146,MOT,conj
146,MOT,pro:per
146,MOT,cop
