Turn,Speaker,POS
1,EXP,co
2,EXP,co
3,EXP,co
4,EXP,adv
4,EXP,pro:sub
4,EXP,adv
4,EXP,v
4,EXP,pro:per
4,EXP,v
5,EXP,adv
5,EXP,pro:sub
5,EXP,adv
5,EXP,v
5,EXP,pro:per
5,EXP,v
6,EXP,adv
6,EXP,pro:sub
6,EXP,adv
6,EXP,v
6,EXP,pro:per
6,EXP,v
7,EXP,co
8,EXP,co
9,EXP,co
10,EXP,coord
10,EXP,adv:tem
10,EXP,conj
10,EXP,pro:sub
11,EXP,coord
11,EXP,adv:tem
11,EXP,conj
11,EXP,pro:sub
12,EXP,coord
12,EXP,adv:tem
12,EXP,conj
12,EXP,pro:sub
13,MOT,co
14,MOT,co
15,MOT,co
16,EXP,part
16,EXP,pro:int
16,EXP,pro:sub
16,EXP,v
16,EXP,coord
17,EXP,part
17,EXP,pro:int
17,EXP,pro:sub
17,EXP,v
17,EXP,coord
18,EXP,part
18,EXP,pro:int
18,EXP,pro:sub
18,EXP,v
18,EXP,coord
19,EXP,conj
19,EXP,pro:sub
19,EXP,mod
19,EXP,v
19,EXP,pro:dem
20,EXP,conj
20,EXP,pro:sub
20,EXP,mod
20,EXP,v
20,EXP,pro:dem
21,EXP,conj
21,EXP,pro:sub
21,EXP,mod
21,EXP,v
21,EXP,pro:dem
22,MOT,adv
22,MOT,det:dem
22,MOT,n
23,MOT,adv
23,MOT,det:dem
23,MOT,n
24,MOT,adv
24,MOT,det:dem
24,MOT,n
25,MOT,det:dem
25,MOT,adj
25,MOT,mod
25,MOT,cop
25,MOT,adv
26,MOT,det:dem
26,MOT,adj
26,MOT,mod
26,MOT,cop
26,MOT,adv
27,MOT,det:dem
27,MOT,adj
27,MOT,mod
27,MOT,cop
27,MOT,adv
28,MOT,co
28,MOT,adv:tem
28,MOT,pro:per
28,MOT,mod
28,MOT,adv
28,MOT,det:art
29,MOT,co
29,MOT,adv:tem
29,MOT,pro:per
29,MOT,mod
29,MOT,adv
29,MOT,det:art
30,MOT,co
30,MOT,adv:tem
30,MOT,pro:per
30,MOT,mod
30,MOT,adv
30,MOT,det:art
31,MOT,adv
31,MOT,pro:rel
31,MOT,mod
31,MOT,adv
31,MOT,v
31,MOT,adv
32,MOT,adv
32,MOT,pro:rel
32,MOT,mod
32,MOT,adv
32,MOT,v
32,MOT,adv
33,MOT,adv
33,MOT,pro:rel
33,MOT,mod
33,MOT,adv
33,MOT,v
33,MOT,adv
34,MOT,pro:dem
34,MOT,adj
34,MOT,pro:sub
35,MOT,pro:dem
35,MOT,adj
35,MOT,pro:sub
36,MOT,pro:dem
36,MOT,adj
36,MOT,pro:sub
37,MOT,co
37,MOT,!
38,MOT,co
39,MOT,co
40,MOT,pro:per
40,MOT,v
40,MOT,det:dem
40,MOT,n
40,MOT,n:prop
40,MOT,mod
41,MOT,pro:per
41,MOT,v
41,MOT,det:dem
41,MOT,n
41,MOT,n:prop
41,MOT,mod
42,MOT,pro:per
42,MOT,v
42,MOT,det:dem
42,MOT,n
42,MOT,n:prop
42,MOT,mod
43,MOT,pro:sub
43,MOT,v
43,MOT,pro:per
43,MOT,adv:tem
43,MOT,conj
44,MOT,pro:sub
44,MOT,v
44,MOT,pro:per
44,MOT,adv:tem
44,MOT,conj
45,MOT,pro:sub
45,MOT,v
45,MOT,pro:per
45,MOT,adv:tem
45,MOT,conj
46,EXP,co
46,EXP,v
46,EXP,adv
47,EXP,co
47,EXP,v
47,EXP,adv
48,EXP,co
48,EXP,v
48,EXP,adv
49,MOT,co
50,MOT,co
51,MOT,co
52,MOT,cop
52,MOT,pro:dem
52,MOT,pro:int
52,MOT,pro:per
52,MOT,v
52,MOT,v
53,MOT,cop
53,MOT,pro:dem
53,MOT,pro:int
53,MOT,pro:per
53,MOT,v
53,MOT,v
54,MOT,cop
54,MOT,pro:dem
54,MOT,pro:int
54,MOT,pro:per
54,MOT,v
54,MOT,v
55,MOT,pro:sub
55,MOT,cop
55,MOT,v
55,MOT,part
56,MOT,pro:sub
56,MOT,cop
56,MOT,v
56,MOT,part
57,MOT,pro:sub
57,MOT,cop
57,MOT,v
57,MOT,part
58,MOT,pro:dem
58,MOT,adj
59,MOT,pro:dem
59,MOT,adj
60,MOT,pro:dem
60,MOT,adj
61,MOT,n:prop
61,MOT,n
61,MOT,v
61,MOT,mod
61,MOT,pro:per
61,MOT,?
62,MOT,n:prop
62,MOT,n
62,MOT,v
62,MOT,mod
62,MOT,pro:per
62,MOT,?
63,MOT,n:prop
63,MOT,n
63,MOT,v
63,MOT,mod
63,MOT,pro:per
64,MOT,co
64,MOT,n:prop
65,MOT,co
65,MOT,n:prop
66,MOT,co
66,MOT,n:prop
67,MOT,n
67,MOT,prep
67,MOT,adj
67,MOT,n
68,MOT,n
68,MOT,prep
68,MOT,adj
68,MOT,n
69,MOT,n
69,MOT,prep
69,MOT,adj
69,MOT,n
70,MOT,co
70,MOT,co
70,MOT,pro:per
70,MOT,v
70,MOT,det:art
70,MOT,adj
70,MOT,n
71,MOT,co
71,MOT,co
71,MOT,pro:per
71,MOT,v
71,MOT,det:art
71,MOT,adj
71,MOT,n
72,MOT,co
72,MOT,co
72,MOT,pro:per
72,MOT,v
72,MOT,det:art
72,MOT,adj
72,MOT,n
73,MOT,co
73,MOT,det:art
73,MOT,adj
73,MOT,v
73,MOT,n:prop
74,MOT,co
74,MOT,det:art
74,MOT,adj
74,MOT,v
74,MOT,n:prop
75,MOT,co
75,MOT,det:art
75,MOT,adj
75,MOT,v
75,MOT,n:prop
76,MOT,pro:sub
76,MOT,mod
76,MOT,v
76,MOT,prep
76,MOT,det:art
76,MOT,n
77,MOT,pro:sub
77,MOT,mod
77,MOT,v
77,MOT,prep
77,MOT,det:art
77,MOT,n
78,MOT,pro:sub
78,MOT,mod
78,MOT,v
78,MOT,prep
78,MOT,det:art
78,MOT,n
79,MOT,pro:sub
79,MOT,mod
79,MOT,v
79,MOT,on
79,MOT,on
80,MOT,pro:sub
80,MOT,mod
80,MOT,v
80,MOT,on
80,MOT,on
81,MOT,pro:sub
81,MOT,mod
81,MOT,v
81,MOT,on
81,MOT,on
82,MOT,pro:per
82,MOT,v
82,MOT,det:dem
82,MOT,n
82,MOT,?
83,MOT,pro:per
83,MOT,v
83,MOT,det:dem
83,MOT,n
83,MOT,?
84,MOT,pro:per
84,MOT,v
84,MOT,det:dem
84,MOT,n
85,MOT,co
85,MOT,pro:per
85,MOT,mod
