Turn,Speaker,POS
1,MOT,co
2,MOT,co
3,MOT,co
4,EXP,det:dem
4,EXP,n
4,EXP,det:num
4,EXP,det:num
4,EXP,det:num
5,EXP,det:dem
5,EXP,n
5,EXP,det:num
5,EXP,det:num
5,EXP,det:num
6,EXP,det:dem
6,EXP,n
6,EXP,det:num
6,EXP,det:num
6,EXP,det:num
7,EXP,n:prop
7,EXP,adj
7,EXP,det:num
7,EXP,det:num
8,EXP,n:prop
8,EXP,adj
8,EXP,det:num
8,EXP,det:num
9,EXP,n:prop
9,EXP,adj
9,EXP,det:num
9,EXP,det:num
10,EXP,pro:sub
10,EXP,mod
10,EXP,adj
10,EXP,n
10,EXP,pro:dem
11,EXP,pro:sub
11,EXP,mod
11,EXP,adj
11,EXP,n
11,EXP,pro:dem
12,EXP,pro:sub
12,EXP,mod
12,EXP,adj
12,EXP,n
12,EXP,pro:dem
13,MOT,pro:int
13,MOT,cop
13,MOT,pro:per
13,MOT,?
14,MOT,pro:int
14,MOT,cop
14,MOT,pro:per
14,MOT,?
15,MOT,pro:int
15,MOT,cop
15,MOT,pro:per
16,MOT,v
16,MOT,pro:sub
16,MOT,v
16,MOT,pro:per
17,MOT,v
17,MOT,pro:sub
17,MOT,v
17,MOT,pro:per
18,MOT,v
18,MOT,pro:sub
18,MOT,v
18,MOT,pro:per
19,MOT,mod
19,MOT,v
19,MOT,comp
19,MOT,prep
19,MOT,n
19,MOT,pro:per
19,MOT,v
20,MOT,mod
20,MOT,v
20,MOT,comp
20,MOT,prep
20,MOT,n
20,MOT,pro:per
20,MOT,v
21,MOT,mod
21,MOT,v
21,MOT,comp
21,MOT,prep
21,MOT,n
21,MOT,pro:per
21,MOT,v
22,MOT,cop
22,MOT,pro:dem
22,MOT,det:poss
22,MOT,n
22,MOT,?
23,MOT,cop
23,MOT,pro:dem
23,MOT,det:poss
23,MOT,n
23,MOT,?
24,MOT,cop
24,MOT,pro:dem
24,MOT,det:poss
24,MOT,n
25,MOT,cop
