Turn,Speaker,POS
1,MOT,n:prop
1,MOT,n:prop
2,MOT,n:prop
2,MOT,n:prop
3,MOT,n:prop
3,MOT,n:prop
4,MOT,pro:per
4,MOT,v
4,MOT,n:prop
4,MOT,n:prop
5,MOT,pro:per
5,MOT,v
5,MOT,n:prop
5,MOT,n:prop
6,MOT,pro:per
6,MOT,v
6,MOT,n:prop
6,MOT,n:prop
7,MOT,prep
7,MOT,adj
8,MOT,prep
8,MOT,adj
9,MOT,prep
9,MOT,adj
10,MOT,pro:int
10,MOT,mod
10,MOT,pro:per
10,MOT,v
10,MOT,?
11,MOT,pro:int
11,MOT,mod
11,MOT,pro:per
11,MOT,v
11,MOT,?
12,MOT,pro:int
12,MOT,mod
12,MOT,pro:per
12,MOT,v
13,MOT,pro:per
13,MOT,v
13,MOT,det:dem
13,MOT,n
13,MOT,?
14,MOT,pro:per
14,MOT,v
14,MOT,det:dem
14,MOT,n
14,MOT,?
15,MOT,pro:per
15,MOT,v
15,MOT,det:dem
15,MOT,n
16,MOT,co
16,MOT,!
17,MOT,co
18,MOT,co
19,MOT,co
19,MOT,pro:dem
19,MOT,det:art
19,MOT,adv
19,MOT,adj
19,MOT,n
20,MOT,co
20,MOT,pro:dem
20,MOT,det:art
20,MOT,adv
20,MOT,adj
20,MOT,n
21,MOT,co
21,MOT,pro:dem
21,MOT,det:art
21,MOT,adv
21,MOT,adj
21,MOT,n
22,MOT,co
22,MOT,cop
22,MOT,adj
22,MOT,prep
22,MOT,det:art
22,MOT,n
23,MOT,co
23,MOT,cop
23,MOT,adj
23,MOT,prep
23,MOT,det:art
23,MOT,n
24,MOT,co
24,MOT,cop
24,MOT,adj
24,MOT,prep
24,MOT,det:art
24,MOT,n
25,MOT,cop
25,MOT,adj
25,MOT,prep
25,MOT,det:art
25,MOT,n
26,MOT,cop
26,MOT,adj
26,MOT,prep
26,MOT,det:art
26,MOT,n
27,MOT,cop
27,MOT,adj
27,MOT,prep
27,MOT,det:art
27,MOT,n
28,MOT,co
29,MOT,co
30,MOT,co
31,MOT,pro:per
31,MOT,det:art
31,MOT,n
31,MOT,prep
31,MOT,pro:per
32,MOT,pro:per
32,MOT,det:art
32,MOT,n
32,MOT,prep
32,MOT,pro:per
33,MOT,pro:per
33,MOT,det:art
33,MOT,n
33,MOT,prep
33,MOT,pro:per
34,MOT,co
34,MOT,pro:sub
34,MOT,v
34,MOT,det:art
34,MOT,n
34,MOT,pro:sub
34,MOT,v
34,MOT,prep
35,MOT,co
35,MOT,pro:sub
35,MOT,v
35,MOT,det:art
35,MOT,n
35,MOT,pro:sub
35,MOT,v
35,MOT,prep
36,MOT,co
36,MOT,pro:sub
36,MOT,v
36,MOT,det:art
36,MOT,n
36,MOT,pro:sub
36,MOT,v
36,MOT,prep
37,MOT,co
37,MOT,pro:sub
37,MOT,v
37,MOT,pro:indef
38,MOT,co
38,MOT,pro:sub
38,MOT,v
38,MOT,pro:indef
39,MOT,co
39,MOT,pro:sub
39,MOT,v
39,MOT,pro:indef
40,MOT,co
41,MOT,co
42,MOT,co
43,MOT,pro:per
43,MOT,part
43,MOT,inf
43,MOT,v
43,MOT,adv
43,MOT,prep
43,MOT,det:art
44,MOT,pro:per
44,MOT,part
44,MOT,inf
44,MOT,v
44,MOT,adv
44,MOT,prep
44,MOT,det:art
45,MOT,pro:per
45,MOT,part
45,MOT,inf
45,MOT,v
45,MOT,adv
45,MOT,prep
45,MOT,det:art
46,MOT,co
46,MOT,!
47,MOT,co
48,MOT,co
49,MOT,pro:per
49,MOT,v
49,MOT,pro:dem
49,MOT,v
49,MOT,?
50,MOT,pro:per
50,MOT,v
50,MOT,pro:dem
50,MOT,v
50,MOT,?
51,MOT,pro:per
51,MOT,v
51,MOT,pro:dem
51,MOT,v
52,MOT,v
52,MOT,v
52,MOT,det:dem
52,MOT,adv
52,MOT,prep
52,MOT,det:art
53,MOT,v
53,MOT,v
53,MOT,det:dem
53,MOT,adv
53,MOT,prep
53,MOT,det:art
54,MOT,v
54,MOT,v
54,MOT,det:dem
54,MOT,adv
54,MOT,prep
54,MOT,det:art
55,MOT,co
56,MOT,co
57,MOT,co
58,MOT,mod
58,MOT,pro:per
58,MOT,adv
58,MOT,v
58,MOT,det:art
58,MOT,n
58,MOT,?
59,MOT,mod
59,MOT,pro:per
59,MOT,adv
59,MOT,v
59,MOT,det:art
59,MOT,n
59,MOT,?
60,MOT,mod
60,MOT,pro:per
60,MOT,adv
60,MOT,v
60,MOT,det:art
60,MOT,n
61,MOT,co
62,MOT,co
63,MOT,co
64,MOT,pro:sub
64,MOT,v
64,MOT,pro:per
64,MOT,v
64,MOT,det:art
64,MOT,n
65,MOT,pro:sub
65,MOT,v
65,MOT,pro:per
65,MOT,v
65,MOT,det:art
65,MOT,n
66,MOT,pro:sub
66,MOT,v
66,MOT,pro:per
66,MOT,v
66,MOT,det:art
66,MOT,n
67,MOT,adv
67,MOT,pro:sub
67,MOT,v
67,MOT,v
