Turn,Speaker,POS
1,MOT,co
1,MOT,!
2,MOT,co
3,MOT,co
4,MOT,co
5,MOT,co
6,MOT,co
7,MOT,co
8,MOT,co
9,MOT,co
10,MOT,co
11,MOT,co
12,MOT,co
13,MOT,n
13,MOT,?
14,MOT,n
14,MOT,?
15,MOT,n
16,MOT,n
16,MOT,n
16,MOT,?
17,MOT,n
17,MOT,n
17,MOT,?
18,MOT,n
18,MOT,n
19,MOT,n
19,MOT,n
19,MOT,?
20,MOT,n
20,MOT,n
20,MOT,?
21,MOT,n
21,MOT,n
22,MOT,co
23,MOT,co
24,MOT,co
25,MOT,det:art
25,MOT,n
25,MOT,?
26,MOT,det:art
26,MOT,n
26,MOT,?
27,MOT,det:art
27,MOT,n
28,MOT,pro:per
28,MOT,mod
28,MOT,v
28,MOT,n
28,MOT,prep
28,MOT,pro:per
29,MOT,pro:per
29,MOT,mod
29,MOT,v
29,MOT,n
29,MOT,prep
29,MOT,pro:per
30,MOT,pro:per
30,MOT,mod
30,MOT,v
30,MOT,n
30,MOT,prep
30,MOT,pro:per
31,MOT,co
32,MOT,co
33,MOT,co
34,MOT,mod
34,MOT,pro:per
34,MOT,v
34,MOT,qn
34,MOT,inf
34,MOT,n:prop
34,MOT,?
35,MOT,mod
35,MOT,pro:per
35,MOT,v
35,MOT,qn
35,MOT,inf
35,MOT,n:prop
35,MOT,?
36,MOT,mod
36,MOT,pro:per
36,MOT,v
36,MOT,qn
36,MOT,inf
36,MOT,n:prop
37,MOT,det:poss
37,MOT,n
38,MOT,det:poss
38,MOT,n
39,MOT,det:poss
39,MOT,n
40,MOT,adj
40,MOT,?
41,MOT,adj
41,MOT,?
42,MOT,adj
43,MOT,adj
43,MOT,!
44,MOT,adj
45,MOT,adj
46,MOT,adj
46,MOT,adj
46,MOT,!
47,MOT,adj
47,MOT,adj
48,MOT,adj
48,MOT,adj
49,MOT,pro:indef
49,MOT,prep
49,MOT,pro:obj
49,MOT,?
50,MOT,pro:indef
50,MOT,prep
50,MOT,pro:obj
50,MOT,?
51,MOT,pro:indef
51,MOT,prep
51,MOT,pro:obj
52,CHI,co
52,CHI,!
