Turn,Speaker,POS
1,EXP,pro:sub
1,EXP,adv
1,EXP,part
1,EXP,v
2,EXP,pro:sub
2,EXP,adv
2,EXP,part
2,EXP,v
3,EXP,pro:sub
3,EXP,adv
3,EXP,part
3,EXP,v
4,EXP,coord
4,EXP,v
4,EXP,pro:obj
5,EXP,coord
5,EXP,v
5,EXP,pro:obj
6,EXP,coord
6,EXP,v
6,EXP,pro:obj
7,EXP,pro:per
8,EXP,pro:per
9,EXP,pro:per
10,EXP,det:num
10,EXP,det:num
10,EXP,det:num
10,EXP,det:num
11,EXP,det:num
11,EXP,det:num
11,EXP,det:num
11,EXP,det:num
12,EXP,det:num
12,EXP,det:num
12,EXP,det:num
12,EXP,det:num
13,EXP,n:let
13,EXP,n:let
14,EXP,n:let
14,EXP,n:let
15,EXP,n:let
15,EXP,n:let
16,EXP,adv:tem
16,EXP,cop
16,EXP,n:prop
16,EXP,adj
16,EXP,det:num
17,EXP,adv:tem
17,EXP,cop
17,EXP,n:prop
17,EXP,adj
17,EXP,det:num
18,EXP,adv:tem
18,EXP,cop
18,EXP,n:prop
18,EXP,adj
18,EXP,det:num
19,EXP,coord
19,EXP,pro:dem
19,EXP,cop
19,EXP,det:poss
19,EXP,adj
19,EXP,n
20,EXP,coord
20,EXP,pro:dem
20,EXP,cop
20,EXP,det:poss
20,EXP,adj
20,EXP,n
21,EXP,coord
21,EXP,pro:dem
21,EXP,cop
21,EXP,det:poss
21,EXP,adj
21,EXP,n
22,EXP,pro:sub
22,EXP,part
22,EXP,v
22,EXP,det:art
23,EXP,pro:sub
23,EXP,part
23,EXP,v
23,EXP,det:art
24,EXP,pro:sub
24,EXP,part
24,EXP,v
24,EXP,det:art
25,EXP,pro:per
25,EXP,mod
25,EXP,adv
25,EXP,v
25,EXP,pro:per
25,EXP,prep
26,EXP,pro:per
26,EXP,mod
26,EXP,adv
26,EXP,v
26,EXP,pro:per
26,EXP,prep
27,EXP,pro:per
27,EXP,mod
27,EXP,adv
27,EXP,v
27,EXP,pro:per
27,EXP,prep
28,EXP,co
29,EXP,co
30,EXP,co
31,EXP,co
32,EXP,co
33,EXP,co
34,EXP,adj
35,EXP,adj
36,EXP,adj
37,MOT,co
38,MOT,co
39,MOT,co
40,MOT,v
40,MOT,v
40,MOT,prep
40,MOT,pro:dem
40,MOT,!
41,MOT,v
41,MOT,v
41,MOT,prep
41,MOT,pro:dem
42,MOT,v
42,MOT,v
42,MOT,prep
42,MOT,pro:dem
43,MOT,pro:per
43,MOT,mod
43,MOT,v
43,MOT,det:dem
43,MOT,adv
44,MOT,pro:per
44,MOT,mod
44,MOT,v
44,MOT,det:dem
44,MOT,adv
45,MOT,pro:per
45,MOT,mod
45,MOT,v
45,MOT,det:dem
45,MOT,adv
46,MOT,pro:dem
46,MOT,det:art
46,MOT,n
47,MOT,pro:dem
47,MOT,det:art
47,MOT,n
48,MOT,pro:dem
48,MOT,det:art
48,MOT,n
49,MOT,n
49,MOT,n
50,MOT,n
50,MOT,n
51,MOT,n
51,MOT,n
52,MOT,conj
52,MOT,pro:per
52,MOT,mod
52,MOT,v
52,MOT,pro:per
53,MOT,conj
53,MOT,pro:per
53,MOT,mod
53,MOT,v
53,MOT,pro:per
54,MOT,conj
54,MOT,pro:per
54,MOT,mod
54,MOT,v
54,MOT,pro:per
55,MOT,co
55,MOT,?
56,MOT,co
56,MOT,?
57,MOT,co
58,MOT,n
59,MOT,n
60,MOT,n
61,MOT,n
62,MOT,n
63,MOT,n
64,MOT,pro:per
64,MOT,v
64,MOT,det:dem
65,MOT,pro:per
65,MOT,v
65,MOT,det:dem
66,MOT,pro:per
66,MOT,v
66,MOT,det:dem
67,MOT,conj
67,MOT,neg
67,MOT,det:dem
67,MOT,adj
67,MOT,pro:indef
68,MOT,conj
68,MOT,neg
68,MOT,det:dem
68,MOT,adj
68,MOT,pro:indef
69,MOT,conj
69,MOT,neg
69,MOT,det:dem
69,MOT,adj
69,MOT,pro:indef
70,MOT,pro:dem
70,MOT,cop
70,MOT,adj
71,MOT,pro:dem
71,MOT,cop
71,MOT,adj
72,MOT,pro:dem
72,MOT,cop
72,MOT,adj
73,MOT,n
74,MOT,n
75,MOT,n
76,MOT,n
76,MOT,n
77,MOT,n
77,MOT,n
78,MOT,n
78,MOT,n
79,MOT,n
79,MOT,n
79,MOT,n
80,MOT,n
80,MOT,n
80,MOT,n
81,MOT,n
81,MOT,n
81,MOT,n
82,MOT,co
82,MOT,co
82,MOT,!
83,MOT,co
83,MOT,co
84,MOT,co
84,MOT,co
85,MOT,v
85,MOT,prep
85,MOT,adv
85,MOT,det:dem
86,MOT,v
86,MOT,prep
86,MOT,adv
86,MOT,det:dem
87,MOT,v
87,MOT,prep
87,MOT,adv
87,MOT,det:dem
88,MOT,qn
88,MOT,det:dem
88,MOT,n
89,MOT,qn
89,MOT,det:dem
89,MOT,n
90,MOT,qn
90,MOT,det:dem
90,MOT,n
91,MOT,adv
92,MOT,adv
93,MOT,adv
94,MOT,n
95,MOT,n
96,MOT,n
97,MOT,n
98,MOT,n
99,MOT,n
100,MOT,v
100,MOT,conj
