Turn,Speaker,POS
1,MOT,co
1,MOT,pro:per
1,MOT,adv
1,MOT,v
1,MOT,v
1,MOT,det:art
1,MOT,n
2,MOT,co
2,MOT,pro:per
2,MOT,adv
2,MOT,v
2,MOT,v
2,MOT,det:art
2,MOT,n
3,MOT,co
3,MOT,pro:per
3,MOT,adv
3,MOT,v
3,MOT,v
3,MOT,det:art
3,MOT,n
4,MOT,pro:int
4,MOT,post
4,MOT,?
5,MOT,pro:int
5,MOT,post
5,MOT,?
6,MOT,pro:int
6,MOT,post
7,MOT,pro:dem
7,MOT,cop
7,MOT,adj
7,MOT,v
7,MOT,n:prop
7,MOT,v
8,MOT,pro:dem
8,MOT,cop
8,MOT,adj
8,MOT,v
8,MOT,n:prop
8,MOT,v
9,MOT,pro:dem
9,MOT,cop
9,MOT,adj
9,MOT,v
9,MOT,n:prop
9,MOT,v
10,MOT,co
10,MOT,pro:sub
10,MOT,n
11,MOT,co
11,MOT,pro:sub
11,MOT,n
12,MOT,co
12,MOT,pro:sub
12,MOT,n
13,MOT,pro:sub
13,MOT,v
14,MOT,pro:sub
14,MOT,v
15,MOT,pro:sub
15,MOT,v
16,MOT,pro:dem
16,MOT,cop
16,MOT,det:art
16,MOT,n
17,MOT,pro:dem
17,MOT,cop
17,MOT,det:art
17,MOT,n
18,MOT,pro:dem
18,MOT,cop
18,MOT,det:art
18,MOT,n
19,MOT,pro:sub
19,MOT,prep
19,MOT,n:prop
20,MOT,pro:sub
20,MOT,prep
20,MOT,n:prop
21,MOT,pro:sub
21,MOT,prep
21,MOT,n:prop
22,MOT,pro:sub
22,MOT,part
22,MOT,comp
22,MOT,+
23,MOT,pro:sub
23,MOT,part
23,MOT,comp
23,MOT,+
24,MOT,pro:sub
24,MOT,part
24,MOT,comp
24,MOT,+
25,MOT,prep
25,MOT,det:poss
25,MOT,n
26,MOT,prep
26,MOT,det:poss
26,MOT,n
27,MOT,prep
27,MOT,det:poss
27,MOT,n
28,MOT,n:prop
28,MOT,v
28,MOT,n:prop
29,MOT,n:prop
29,MOT,v
29,MOT,n:prop
30,MOT,n:prop
30,MOT,v
30,MOT,n:prop
31,MOT,pro:int
31,MOT,mod
31,MOT,pro:per
31,MOT,v
31,MOT,?
32,MOT,pro:int
32,MOT,mod
32,MOT,pro:per
32,MOT,v
32,MOT,?
33,MOT,pro:int
33,MOT,mod
33,MOT,pro:per
33,MOT,v
34,MOT,pro:per
34,MOT,part
34,MOT,v
34,MOT,pro:obj
34,MOT,?
35,MOT,pro:per
35,MOT,part
35,MOT,v
35,MOT,pro:obj
35,MOT,?
36,MOT,pro:per
36,MOT,part
36,MOT,v
36,MOT,pro:obj
37,MOT,co
37,MOT,pro:per
37,MOT,v
37,MOT,det:poss
37,MOT,n
37,MOT,adv
37,MOT,?
38,MOT,co
38,MOT,pro:per
38,MOT,v
38,MOT,det:poss
38,MOT,n
38,MOT,adv
38,MOT,?
39,MOT,co
39,MOT,pro:per
39,MOT,v
39,MOT,det:poss
39,MOT,n
39,MOT,adv
40,MOT,v
40,MOT,pro:obj
40,MOT,v
40,MOT,pro:obj
41,MOT,v
41,MOT,pro:obj
41,MOT,v
41,MOT,pro:obj
42,MOT,v
42,MOT,pro:obj
42,MOT,v
42,MOT,pro:obj
43,MOT,co
43,MOT,pro:per
43,MOT,det:art
43,MOT,n
44,MOT,co
44,MOT,pro:per
44,MOT,det:art
44,MOT,n
45,MOT,co
45,MOT,pro:per
45,MOT,det:art
45,MOT,n
46,MOT,pro:sub
46,MOT,adv
46,MOT,co
46,MOT,det:art
46,MOT,n
47,MOT,pro:sub
47,MOT,adv
47,MOT,co
47,MOT,det:art
47,MOT,n
48,MOT,pro:sub
48,MOT,adv
48,MOT,co
48,MOT,det:art
48,MOT,n
49,MOT,pro:int
49,MOT,mod
49,MOT,pro:per
49,MOT,v
49,MOT,?
50,MOT,pro:int
50,MOT,mod
50,MOT,pro:per
50,MOT,v
50,MOT,?
51,MOT,pro:int
51,MOT,mod
51,MOT,pro:per
51,MOT,v
52,MOT,cop
52,MOT,comp
52,MOT,det:art
52,MOT,n
52,MOT,adv
52,MOT,prep
52,MOT,det:art
53,MOT,cop
53,MOT,comp
53,MOT,det:art
53,MOT,n
