Turn,Speaker,POS
1,MOT,on
1,MOT,on
1,MOT,on
2,MOT,on
2,MOT,on
2,MOT,on
3,MOT,on
3,MOT,on
3,MOT,on
4,MOT,on
4,MOT,on
4,MOT,on
5,MOT,on
5,MOT,on
5,MOT,on
6,MOT,on
6,MOT,on
6,MOT,on
7,MOT,adv
7,MOT,cop
7,MOT,qn
7,MOT,n
8,MOT,adv
8,MOT,cop
8,MOT,qn
8,MOT,n
9,MOT,adv
9,MOT,cop
9,MOT,qn
9,MOT,n
10,MOT,prep
10,MOT,det:art
10,MOT,n
11,MOT,prep
11,MOT,det:art
11,MOT,n
12,MOT,prep
12,MOT,det:art
12,MOT,n
13,MOT,co
13,MOT,!
14,MOT,co
15,MOT,co
16,MOT,pro:per
16,MOT,det:art
16,MOT,adj
16,MOT,n
17,MOT,pro:per
17,MOT,det:art
17,MOT,adj
17,MOT,n
18,MOT,pro:per
18,MOT,det:art
18,MOT,adj
18,MOT,n
19,MOT,adj
19,MOT,adj
19,MOT,n
19,MOT,mod
19,MOT,v
20,MOT,adj
20,MOT,adj
20,MOT,n
20,MOT,mod
20,MOT,v
21,MOT,adj
21,MOT,adj
21,MOT,n
21,MOT,mod
21,MOT,v
22,MOT,prep
22,MOT,det:art
22,MOT,n
22,MOT,coord
22,MOT,adv
23,MOT,prep
23,MOT,det:art
23,MOT,n
23,MOT,coord
23,MOT,adv
24,MOT,prep
24,MOT,det:art
24,MOT,n
24,MOT,coord
24,MOT,adv
25,MOT,part
25,MOT,det:art
25,MOT,n
25,MOT,n
26,MOT,part
26,MOT,det:art
26,MOT,n
26,MOT,n
27,MOT,part
27,MOT,det:art
27,MOT,n
27,MOT,n
28,MOT,n
29,MOT,n
30,MOT,n
31,MOT,v
31,MOT,n
31,MOT,n
32,MOT,v
32,MOT,n
32,MOT,n
33,MOT,v
33,MOT,n
33,MOT,n
34,MOT,mod
34,MOT,pro:per
34,MOT,co
34,MOT,qn
34,MOT,n
34,MOT,adv
35,MOT,mod
35,MOT,pro:per
35,MOT,co
35,MOT,qn
35,MOT,n
35,MOT,adv
36,MOT,mod
36,MOT,pro:per
36,MOT,co
36,MOT,qn
36,MOT,n
36,MOT,adv
37,MOT,pro:exist
37,MOT,cop
37,MOT,adv
37,MOT,qn
37,MOT,n
38,MOT,pro:exist
38,MOT,cop
38,MOT,adv
38,MOT,qn
38,MOT,n
39,MOT,pro:exist
39,MOT,cop
39,MOT,adv
39,MOT,qn
39,MOT,n
40,MOT,co
40,MOT,pro:dem
40,MOT,part
40,MOT,inf
40,MOT,aux
41,MOT,co
41,MOT,pro:dem
41,MOT,part
41,MOT,inf
41,MOT,aux
42,MOT,co
42,MOT,pro:dem
42,MOT,part
42,MOT,inf
42,MOT,aux
43,MOT,co
43,MOT,v
43,MOT,prep
43,MOT,pro:dem
43,MOT,!
44,MOT,co
44,MOT,v
44,MOT,prep
44,MOT,pro:dem
45,MOT,co
45,MOT,v
45,MOT,prep
45,MOT,pro:dem
46,MOT,pro:per
46,MOT,det:art
46,MOT,n
47,MOT,pro:per
47,MOT,det:art
47,MOT,n
48,MOT,pro:per
48,MOT,det:art
48,MOT,n
49,MOT,det:art
49,MOT,n
50,MOT,det:art
50,MOT,n
51,MOT,det:art
51,MOT,n
52,MOT,pro:int
52,MOT,mod
52,MOT,pro:per
52,MOT,v
52,MOT,n:prop
52,MOT,?
53,MOT,pro:int
53,MOT,mod
53,MOT,pro:per
53,MOT,v
53,MOT,n:prop
53,MOT,?
54,MOT,pro:int
54,MOT,mod
54,MOT,pro:per
54,MOT,v
54,MOT,n:prop
55,MOT,co
55,MOT,!
56,MOT,co
57,MOT,co
58,MOT,co
58,MOT,!
59,MOT,co
60,MOT,co
61,MOT,pro:per
61,MOT,det:art
61,MOT,n
61,MOT,!
62,MOT,pro:per
62,MOT,det:art
62,MOT,n
63,MOT,pro:per
63,MOT,det:art
63,MOT,n
64,MOT,v
64,MOT,n:prop
64,MOT,!
65,MOT,v
65,MOT,n:prop
66,MOT,v
66,MOT,n:prop
67,MOT,co
67,MOT,!
68,MOT,co
69,MOT,co
70,MOT,coord
70,MOT,det:art
70,MOT,n
70,MOT,!
71,MOT,coord
71,MOT,det:art
71,MOT,n
72,MOT,coord
72,MOT,det:art
72,MOT,n
73,MOT,co
74,MOT,co
75,MOT,co
76,MOT,coord
76,MOT,det:art
76,MOT,n
76,MOT,!
77,MOT,coord
77,MOT,det:art
77,MOT,n
78,MOT,coord
78,MOT,det:art
78,MOT,n
79,MOT,v
79,MOT,pro:per
79,MOT,v
80,MOT,v
80,MOT,pro:per
80,MOT,v
81,MOT,v
81,MOT,pro:per
81,MOT,v
82,MOT,co
82,MOT,!
83,MOT,co
84,MOT,co
85,MOT,v
85,MOT,prep
85,MOT,pro:dem
85,MOT,!
86,MOT,v
86,MOT,prep
86,MOT,pro:dem
87,MOT,v
87,MOT,prep
87,MOT,pro:dem
88,MOT,co
88,MOT,co
88,MOT,co
88,MOT,co
88,MOT,!
89,MOT,co
89,MOT,co
89,MOT,co
89,MOT,co
90,MOT,co
90,MOT,co
90,MOT,co
90,MOT,co
91,MOT,mod
91,MOT,v
91,MOT,det:art
91,MOT,n
92,MOT,mod
92,MOT,v
92,MOT,det:art
92,MOT,n
93,MOT,mod
93,MOT,v
93,MOT,det:art
93,MOT,n
94,MOT,v
94,MOT,pro:obj
94,MOT,det:poss
94,MOT,n
95,MOT,v
95,MOT,pro:obj
95,MOT,det:poss
95,MOT,n
96,MOT,v
96,MOT,pro:obj
96,MOT,det:poss
96,MOT,n
97,MOT,n:prop
98,MOT,n:prop
99,MOT,n:prop
100,MOT,n:prop
101,MOT,n:prop
102,MOT,n:prop
103,MOT,mod
103,MOT,v
103,MOT,det:dem
103,MOT,n
104,MOT,mod
104,MOT,v
104,MOT,det:dem
