Turn,Speaker,POS
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,pro:dem
4,EXP,cop
4,EXP,n:prop
4,EXP,adj
4,EXP,det:num
5,EXP,pro:dem
5,EXP,cop
5,EXP,n:prop
5,EXP,adj
5,EXP,det:num
6,EXP,pro:dem
6,EXP,cop
6,EXP,n:prop
6,EXP,adj
6,EXP,det:num
7,EXP,adv
7,EXP,v
7,EXP,v
7,EXP,cop
7,EXP,det:art
7,EXP,adj
8,EXP,adv
8,EXP,v
8,EXP,v
8,EXP,cop
8,EXP,det:art
8,EXP,adj
9,EXP,adv
9,EXP,v
9,EXP,v
9,EXP,cop
9,EXP,det:art
9,EXP,adj
10,EXP,pro:dem
10,EXP,mod
10,EXP,v
10,EXP,conj
10,EXP,adv
10,EXP,conj
10,EXP,pro:per
11,EXP,pro:dem
11,EXP,mod
11,EXP,v
11,EXP,conj
11,EXP,adv
11,EXP,conj
11,EXP,pro:per
12,EXP,pro:dem
12,EXP,mod
12,EXP,v
12,EXP,conj
12,EXP,adv
12,EXP,conj
12,EXP,pro:per
13,EXP,adv
13,EXP,v
13,EXP,adv
13,EXP,coord
13,EXP,adv
13,EXP,v
13,EXP,pro:per
14,EXP,adv
14,EXP,v
14,EXP,adv
14,EXP,coord
14,EXP,adv
14,EXP,v
14,EXP,pro:per
15,EXP,adv
15,EXP,v
15,EXP,adv
15,EXP,coord
15,EXP,adv
15,EXP,v
15,EXP,pro:per
16,mor,*EXP:so
16,mor,that's
16,mor,+
16,mor,31403_33581
17,mor,*EXP:so
17,mor,that's
17,mor,+
17,mor,31403_33581
18,mor,*EXP:so
18,mor,that's
18,mor,+
18,mor,31403_33581
19,mor,*EXP:okay
19,mor,and
19,mor,&-um
19,mor,yeah
19,mor,
19,mor,33581_36999
20,mor,*EXP:okay
20,mor,and
20,mor,&-um
20,mor,yeah
20,mor,
20,mor,33581_36999
21,mor,*EXP:okay
21,mor,and
21,mor,&-um
21,mor,yeah
21,mor,
21,mor,33581_36999
22,mor,*EXP:so
22,mor,just
22,mor,like
22,mor,before
22,mor,play
22,mor,like
22,mor,you
22,mor,would
22,mor,at
22,mor,home
22,mor,
22,mor,36999_39875
23,mor,*EXP:so
23,mor,just
23,mor,like
23,mor,before
23,mor,play
23,mor,like
23,mor,you
23,mor,would
23,mor,at
23,mor,home
23,mor,
23,mor,36999_39875
24,mor,*EXP:so
24,mor,just
24,mor,like
24,mor,before
24,mor,play
24,mor,like
24,mor,you
24,mor,would
24,mor,at
24,mor,home
24,mor,
24,mor,36999_39875
25,mor,*EXP:and
25,mor,&-um
25,mor,I
25,mor,brought
25,mor,a
25,mor,lot
25,mor,of
25,mor,paperwork
25,mor,for
25,mor,us
25,mor,to
25,mor,do
25,mor,
25,mor,39875_43833
26,mor,*EXP:and
26,mor,&-um
26,mor,I
26,mor,brought
26,mor,a
26,mor,lot
26,mor,of
26,mor,paperwork
26,mor,for
26,mor,us
26,mor,to
26,mor,do
26,mor,
26,mor,39875_43833
27,mor,*EXP:and
27,mor,&-um
27,mor,I
27,mor,brought
27,mor,a
27,mor,lot
27,mor,of
27,mor,paperwork
27,mor,for
27,mor,us
27,mor,to
27,mor,do
27,mor,
27,mor,39875_43833
28,mor,*EXP:&-um
28,mor,and
28,mor,then
28,mor,I'll
28,mor,let
28,mor,you
28,mor,know
28,mor,when
28,mor,we
28,mor,have
28,mor,enough
28,mor,
28,mor,43833_46887
29,mor,*EXP:&-um
29,mor,and
29,mor,then
29,mor,I'll
29,mor,let
29,mor,you
29,mor,know
29,mor,when
29,mor,we
29,mor,have
29,mor,enough
29,mor,
29,mor,43833_46887
30,mor,*EXP:&-um
30,mor,and
30,mor,then
30,mor,I'll
30,mor,let
30,mor,you
30,mor,know
30,mor,when
30,mor,we
30,mor,have
30,mor,enough
30,mor,
