Turn,Speaker,POS
1,MOT,adv
1,MOT,v
2,MOT,adv
2,MOT,v
3,MOT,adv
3,MOT,v
4,MOT,co
4,MOT,v
4,MOT,pro:int
4,MOT,mod
4,MOT,pro:sub
4,MOT,v
4,MOT,?
5,MOT,co
5,MOT,v
5,MOT,pro:int
5,MOT,mod
5,MOT,pro:sub
5,MOT,v
5,MOT,?
6,MOT,co
6,MOT,v
6,MOT,pro:int
6,MOT,mod
6,MOT,pro:sub
6,MOT,v
7,MOT,co
7,MOT,co
8,MOT,co
8,MOT,co
9,MOT,co
9,MOT,co
10,MOT,co
10,MOT,v
10,MOT,prep
10,MOT,pro:dem
11,MOT,co
11,MOT,v
11,MOT,prep
11,MOT,pro:dem
12,MOT,co
12,MOT,v
12,MOT,prep
12,MOT,pro:dem
13,MOT,pro:int
13,MOT,mod
13,MOT,pro:per
13,MOT,v
13,MOT,?
14,MOT,pro:int
14,MOT,mod
14,MOT,pro:per
14,MOT,v
14,MOT,?
15,MOT,pro:int
15,MOT,mod
15,MOT,pro:per
15,MOT,v
16,MOT,n
16,MOT,?
17,MOT,n
17,MOT,?
18,MOT,n
19,MOT,v
19,MOT,qn
19,MOT,n
19,MOT,?
20,MOT,v
20,MOT,qn
20,MOT,n
20,MOT,?
21,MOT,v
21,MOT,qn
21,MOT,n
22,MOT,v
22,MOT,pro:per
22,MOT,mod
22,MOT,v
22,MOT,pro:per
22,MOT,prep
23,MOT,v
23,MOT,pro:per
23,MOT,mod
23,MOT,v
23,MOT,pro:per
23,MOT,prep
24,MOT,v
24,MOT,pro:per
24,MOT,mod
24,MOT,v
24,MOT,pro:per
24,MOT,prep
25,MOT,co
26,MOT,co
27,MOT,co
28,MOT,adv
28,MOT,pro:sub
28,MOT,v
28,MOT,pro:per
28,MOT,prep
29,MOT,adv
29,MOT,pro:sub
29,MOT,v
29,MOT,pro:per
29,MOT,prep
30,MOT,adv
30,MOT,pro:sub
30,MOT,v
30,MOT,pro:per
30,MOT,prep
31,MOT,n
32,MOT,n
33,MOT,n
34,MOT,n
35,MOT,n
36,MOT,n
37,MOT,co
38,MOT,co
39,MOT,co
40,MOT,v
40,MOT,pro:obj
41,MOT,v
41,MOT,pro:obj
42,MOT,v
42,MOT,pro:obj
43,MOT,co
44,MOT,co
45,MOT,co
46,MOT,pro:int
46,MOT,prep
46,MOT,n
46,MOT,?
47,MOT,pro:int
47,MOT,prep
47,MOT,n
47,MOT,?
48,MOT,pro:int
48,MOT,prep
48,MOT,n
49,MOT,det:art
49,MOT,n
50,MOT,det:art
50,MOT,n
51,MOT,det:art
51,MOT,n
52,MOT,prep
52,MOT,n
52,MOT,v
53,MOT,prep
53,MOT,n
53,MOT,v
54,MOT,prep
54,MOT,n
54,MOT,v
55,MOT,n
55,MOT,co
56,MOT,n
56,MOT,co
57,MOT,n
57,MOT,co
58,MOT,pro:int
58,MOT,mod
58,MOT,pro:per
58,MOT,v
58,MOT,?
59,MOT,pro:int
59,MOT,mod
59,MOT,pro:per
59,MOT,v
59,MOT,?
60,MOT,pro:int
60,MOT,mod
60,MOT,pro:per
60,MOT,v
61,MOT,pro:int
61,MOT,mod
61,MOT,pro:per
61,MOT,v
61,MOT,?
62,MOT,pro:int
62,MOT,mod
62,MOT,pro:per
62,MOT,v
62,MOT,?
63,MOT,pro:int
63,MOT,mod
63,MOT,pro:per
63,MOT,v
64,MOT,pro:per
64,MOT,part
64,MOT,prep
64,MOT,det:art
65,MOT,pro:per
65,MOT,part
65,MOT,prep
65,MOT,det:art
66,MOT,pro:per
66,MOT,part
66,MOT,prep
66,MOT,det:art
67,MOT,part
67,MOT,co
68,MOT,part
68,MOT,co
69,MOT,part
69,MOT,co
70,MOT,co
71,MOT,co
72,MOT,co
73,MOT,n:prop
74,MOT,n:prop
75,MOT,n:prop
76,MOT,n:prop
77,MOT,n:prop
78,MOT,n:prop
79,MOT,co
80,MOT,co
81,MOT,co
82,MOT,co
83,MOT,co
84,MOT,co
85,MOT,co
86,MOT,co
87,MOT,co
88,MOT,pro:int
88,MOT,cop
88,MOT,comp
88,MOT,part
88,MOT,cop
88,MOT,?
89,MOT,pro:int
89,MOT,cop
89,MOT,comp
89,MOT,part
89,MOT,cop
89,MOT,?
90,MOT,pro:int
90,MOT,cop
90,MOT,comp
90,MOT,part
90,MOT,cop
91,MOT,n
91,MOT,prep
91,MOT,det:art
91,MOT,n
91,MOT,?
92,MOT,n
92,MOT,prep
92,MOT,det:art
92,MOT,n
92,MOT,?
93,MOT,n
93,MOT,prep
93,MOT,det:art
93,MOT,n
94,MOT,n
95,MOT,n
96,MOT,n
97,MOT,n
98,MOT,n
99,MOT,n
100,MOT,co
101,MOT,co
102,MOT,co
103,MOT,pro:sub
103,MOT,v
103,MOT,n
103,MOT,adv
104,MOT,pro:sub
104,MOT,v
104,MOT,n
104,MOT,adv
105,MOT,pro:sub
105,MOT,v
105,MOT,n
105,MOT,adv
106,MOT,pro:per
106,MOT,v
106,MOT,det:art
106,MOT,n
107,MOT,pro:per
107,MOT,v
107,MOT,det:art
107,MOT,n
108,MOT,pro:per
108,MOT,v
108,MOT,det:art
108,MOT,n
109,MOT,n
109,MOT,prep
109,MOT,det:art
109,MOT,n
110,MOT,n
110,MOT,prep
