Turn,Speaker,POS
1,MOT,co
1,MOT,pro:int
1,MOT,mod
1,MOT,pro:sub
1,MOT,v
1,MOT,?
2,MOT,co
2,MOT,pro:int
2,MOT,mod
2,MOT,pro:sub
2,MOT,v
2,MOT,?
3,MOT,co
3,MOT,pro:int
3,MOT,mod
3,MOT,pro:sub
3,MOT,v
4,MOT,pro:int
4,MOT,pro:dem
4,MOT,?
5,MOT,pro:int
5,MOT,pro:dem
5,MOT,?
6,MOT,pro:int
6,MOT,pro:dem
7,MOT,pro:per
7,MOT,det:art
7,MOT,n
8,MOT,pro:per
8,MOT,det:art
8,MOT,n
9,MOT,pro:per
9,MOT,det:art
9,MOT,n
10,MOT,cop
10,MOT,comp
10,MOT,det:art
10,MOT,n
10,MOT,?
11,MOT,cop
11,MOT,comp
11,MOT,det:art
11,MOT,n
11,MOT,?
12,MOT,cop
12,MOT,comp
12,MOT,det:art
12,MOT,n
13,MOT,cop
13,MOT,comp
13,MOT,det:art
13,MOT,adj
13,MOT,n
13,MOT,?
14,MOT,cop
14,MOT,comp
14,MOT,det:art
14,MOT,adj
14,MOT,n
14,MOT,?
15,MOT,cop
15,MOT,comp
15,MOT,det:art
15,MOT,adj
15,MOT,n
16,MOT,co
17,MOT,co
18,MOT,co
19,MOT,pro:dem
19,MOT,det:art
19,MOT,adj
19,MOT,n
20,MOT,pro:dem
20,MOT,det:art
20,MOT,adj
20,MOT,n
21,MOT,pro:dem
21,MOT,det:art
21,MOT,adj
21,MOT,n
22,MOT,cop
22,MOT,pro:sub
22,MOT,part
22,MOT,?
23,MOT,cop
23,MOT,pro:sub
23,MOT,part
23,MOT,?
24,MOT,cop
24,MOT,pro:sub
24,MOT,part
25,MOT,pro:per
25,MOT,part
25,MOT,v
25,MOT,co
25,MOT,prep
25,MOT,det:art
26,MOT,pro:per
26,MOT,part
26,MOT,v
26,MOT,co
26,MOT,prep
26,MOT,det:art
27,MOT,pro:per
27,MOT,part
27,MOT,v
27,MOT,co
27,MOT,prep
27,MOT,det:art
28,MOT,pro:per
28,MOT,part
28,MOT,v
28,MOT,prep
28,MOT,det:art
28,MOT,n
29,MOT,pro:per
29,MOT,part
29,MOT,v
29,MOT,prep
29,MOT,det:art
29,MOT,n
30,MOT,pro:per
30,MOT,part
30,MOT,v
30,MOT,prep
30,MOT,det:art
30,MOT,n
31,MOT,v
31,MOT,prep
31,MOT,det:art
31,MOT,n
32,MOT,v
32,MOT,prep
32,MOT,det:art
32,MOT,n
33,MOT,v
33,MOT,prep
33,MOT,det:art
33,MOT,n
34,MOT,co
34,MOT,pro:dem
34,MOT,det:poss
34,MOT,n
35,MOT,co
35,MOT,pro:dem
35,MOT,det:poss
35,MOT,n
36,MOT,co
36,MOT,pro:dem
36,MOT,det:poss
36,MOT,n
37,MOT,pro:dem
37,MOT,det:poss
37,MOT,n
38,MOT,pro:dem
38,MOT,det:poss
38,MOT,n
39,MOT,pro:dem
39,MOT,det:poss
39,MOT,n
40,MOT,pro:dem
40,MOT,det:poss
40,MOT,n
41,MOT,pro:dem
41,MOT,det:poss
41,MOT,n
42,MOT,pro:dem
42,MOT,det:poss
42,MOT,n
43,MOT,pro:exist
43,MOT,det:poss
43,MOT,n
43,MOT,adv
44,MOT,pro:exist
44,MOT,det:poss
44,MOT,n
44,MOT,adv
45,MOT,pro:exist
45,MOT,det:poss
45,MOT,n
45,MOT,adv
46,MOT,cop
46,MOT,pro:sub
46,MOT,part
46,MOT,pro:per
46,MOT,?
47,MOT,cop
47,MOT,pro:sub
47,MOT,part
47,MOT,pro:per
47,MOT,?
48,MOT,cop
48,MOT,pro:sub
48,MOT,part
48,MOT,pro:per
49,MOT,mod
49,MOT,pro:per
49,MOT,v
49,MOT,det:art
49,MOT,adj
49,MOT,n
50,MOT,mod
50,MOT,pro:per
50,MOT,v
50,MOT,det:art
50,MOT,adj
50,MOT,n
51,MOT,mod
51,MOT,pro:per
51,MOT,v
51,MOT,det:art
51,MOT,adj
51,MOT,n
52,MOT,co
52,MOT,cop
52,MOT,adj
52,MOT,prep
52,MOT,det:art
52,MOT,adj
52,MOT,n
53,MOT,co
53,MOT,cop
53,MOT,adj
53,MOT,prep
53,MOT,det:art
53,MOT,adj
53,MOT,n
54,MOT,co
