Turn,Speaker,POS
1,MOT,pro:int
1,MOT,pro:per
1,MOT,part
1,MOT,?
2,MOT,pro:int
2,MOT,pro:per
2,MOT,part
2,MOT,?
3,MOT,pro:int
3,MOT,pro:per
3,MOT,part
4,MOT,co
4,MOT,co
4,MOT,!
5,MOT,co
5,MOT,co
6,MOT,co
6,MOT,co
7,MOT,co
7,MOT,pro:per
7,MOT,det:art
7,MOT,n
8,MOT,co
8,MOT,pro:per
8,MOT,det:art
8,MOT,n
9,MOT,co
9,MOT,pro:per
9,MOT,det:art
9,MOT,n
10,MOT,pro:int
10,MOT,mod
10,MOT,pro:per
10,MOT,v
10,MOT,?
11,MOT,pro:int
11,MOT,mod
11,MOT,pro:per
11,MOT,v
11,MOT,?
12,MOT,pro:int
12,MOT,mod
12,MOT,pro:per
12,MOT,v
13,MOT,n
13,MOT,prep
13,MOT,det:art
13,MOT,adj
13,MOT,n
13,MOT,adv
13,MOT,co
13,MOT,?
14,MOT,n
14,MOT,prep
14,MOT,det:art
14,MOT,adj
14,MOT,n
14,MOT,adv
14,MOT,co
14,MOT,?
15,MOT,n
15,MOT,prep
15,MOT,det:art
15,MOT,adj
15,MOT,n
15,MOT,adv
15,MOT,co
16,MOT,co
17,MOT,co
18,MOT,co
19,MOT,part
19,MOT,?
20,MOT,part
20,MOT,?
21,MOT,part
22,MOT,n
22,MOT,?
23,MOT,n
23,MOT,?
24,MOT,n
25,MOT,pro:int
25,MOT,pro:per
25,MOT,v
25,MOT,?
26,MOT,pro:int
26,MOT,pro:per
26,MOT,v
26,MOT,?
27,MOT,pro:int
27,MOT,pro:per
27,MOT,v
28,MOT,v
28,MOT,co
28,MOT,det:art
28,MOT,n
28,MOT,?
29,MOT,v
29,MOT,co
29,MOT,det:art
29,MOT,n
29,MOT,?
30,MOT,v
30,MOT,co
30,MOT,det:art
30,MOT,n
31,MOT,co
32,MOT,co
33,MOT,co
34,MOT,co
34,MOT,pro:per
34,MOT,det:art
34,MOT,n
35,MOT,co
35,MOT,pro:per
35,MOT,det:art
35,MOT,n
36,MOT,co
36,MOT,pro:per
36,MOT,det:art
36,MOT,n
37,MOT,pro:per
37,MOT,det:art
37,MOT,n
38,MOT,pro:per
38,MOT,det:art
38,MOT,n
39,MOT,pro:per
39,MOT,det:art
39,MOT,n
40,MOT,co
41,MOT,co
42,MOT,co
43,MOT,mod
43,MOT,pro:dem
43,MOT,v
43,MOT,conj
43,MOT,det:poss
43,MOT,n
43,MOT,co
44,MOT,mod
44,MOT,pro:dem
44,MOT,v
44,MOT,conj
44,MOT,det:poss
44,MOT,n
44,MOT,co
45,MOT,mod
45,MOT,pro:dem
45,MOT,v
45,MOT,conj
45,MOT,det:poss
45,MOT,n
45,MOT,co
46,MOT,pro:per
46,MOT,part
46,MOT,v
46,MOT,det:art
46,MOT,n
46,MOT,n
47,MOT,pro:per
47,MOT,part
47,MOT,v
47,MOT,det:art
47,MOT,n
47,MOT,n
48,MOT,pro:per
48,MOT,part
48,MOT,v
48,MOT,det:art
48,MOT,n
48,MOT,n
49,MOT,v
49,MOT,det:art
49,MOT,n
49,MOT,n
49,MOT,?
50,MOT,v
50,MOT,det:art
50,MOT,n
50,MOT,n
50,MOT,?
51,MOT,v
51,MOT,det:art
51,MOT,n
51,MOT,n
52,MOT,v
52,MOT,det:art
52,MOT,adj
52,MOT,n
52,MOT,?
53,MOT,v
53,MOT,det:art
53,MOT,adj
53,MOT,n
53,MOT,?
54,MOT,v
54,MOT,det:art
54,MOT,adj
54,MOT,n
55,MOT,n:prop
56,MOT,n:prop
57,MOT,n:prop
58,MOT,co
59,MOT,co
60,MOT,co
61,MOT,co
61,MOT,co
61,MOT,n
61,MOT,!
62,MOT,co
62,MOT,co
62,MOT,n
63,MOT,co
63,MOT,co
63,MOT,n
64,MOT,co
64,MOT,co
65,MOT,co
65,MOT,co
66,MOT,co
66,MOT,co
67,MOT,pro:per
67,MOT,det:art
67,MOT,n
68,MOT,pro:per
68,MOT,det:art
68,MOT,n
69,MOT,pro:per
69,MOT,det:art
69,MOT,n
70,MOT,co
70,MOT,!
71,MOT,co
72,MOT,co
73,MOT,pro:per
73,MOT,v
73,MOT,det:art
73,MOT,n
73,MOT,?
74,MOT,pro:per
74,MOT,v
74,MOT,det:art
74,MOT,n
74,MOT,?
75,MOT,pro:per
75,MOT,v
75,MOT,det:art
75,MOT,n
76,MOT,adj
76,MOT,n
76,MOT,co
76,MOT,?
77,MOT,adj
77,MOT,n
77,MOT,co
77,MOT,?
78,MOT,adj
78,MOT,n
78,MOT,co
79,MOT,adj
79,MOT,n
79,MOT,?
80,MOT,adj
80,MOT,n
80,MOT,?
81,MOT,adj
81,MOT,n
82,MOT,pro:int
82,MOT,prep
82,MOT,n
82,MOT,?
83,MOT,pro:int
83,MOT,prep
83,MOT,n
83,MOT,?
84,MOT,pro:int
84,MOT,prep
84,MOT,n
85,MOT,co
85,MOT,pro:per
85,MOT,v
85,MOT,det:art
85,MOT,n
85,MOT,co
85,MOT,?
86,MOT,co
86,MOT,pro:per
86,MOT,v
86,MOT,det:art
86,MOT,n
86,MOT,co
86,MOT,?
87,MOT,co
87,MOT,pro:per
87,MOT,v
87,MOT,det:art
87,MOT,n
87,MOT,co
88,MOT,co
88,MOT,co
88,MOT,n
88,MOT,!
89,MOT,co
89,MOT,co
89,MOT,n
90,MOT,co
90,MOT,co
90,MOT,n
91,MOT,n
91,MOT,v
91,MOT,pro:per
91,MOT,v
92,MOT,n
92,MOT,v
92,MOT,pro:per
92,MOT,v
93,MOT,n
93,MOT,v
93,MOT,pro:per
93,MOT,v
94,MOT,det:art
94,MOT,n
94,MOT,v
94,MOT,pro:per
94,MOT,v
94,MOT,?
95,MOT,det:art
95,MOT,n
95,MOT,v
95,MOT,pro:per
95,MOT,v
95,MOT,?
96,MOT,det:art
96,MOT,n
96,MOT,v
96,MOT,pro:per
96,MOT,v
97,MOT,v
97,MOT,det:art
97,MOT,n
97,MOT,v
97,MOT,pro:per
97,MOT,v
97,MOT,?
98,MOT,v
98,MOT,det:art
98,MOT,n
98,MOT,v
98,MOT,pro:per
98,MOT,v
98,MOT,?
99,MOT,v
99,MOT,det:art
99,MOT,n
99,MOT,v
99,MOT,pro:per
99,MOT,v
100,MOT,pro:dem
100,MOT,adj
100,MOT,n
101,MOT,pro:dem
101,MOT,adj
101,MOT,n
102,MOT,pro:dem
102,MOT,adj
102,MOT,n
103,MOT,n
104,MOT,n
105,MOT,n
106,MOT,pro:dem
106,MOT,adj
106,MOT,n
106,MOT,?
107,MOT,pro:dem
107,MOT,adj
107,MOT,n
107,MOT,?
108,MOT,pro:dem
108,MOT,adj
108,MOT,n
109,MOT,n
110,MOT,n
111,MOT,n
112,MOT,n
113,MOT,n
114,MOT,n
115,MOT,co
115,MOT,n
115,MOT,co
116,MOT,co
116,MOT,n
116,MOT,co
117,MOT,co
117,MOT,n
117,MOT,co
118,MOT,pro:per
118,MOT,v
118,MOT,det:art
118,MOT,n
118,MOT,?
119,MOT,pro:per
119,MOT,v
119,MOT,det:art
119,MOT,n
119,MOT,?
120,MOT,pro:per
120,MOT,v
120,MOT,det:art
120,MOT,n
121,MOT,co
121,MOT,?
122,MOT,co
122,MOT,?
123,MOT,co
124,MOT,pro:exist
124,MOT,n:prop
125,MOT,pro:exist
125,MOT,n:prop
126,MOT,pro:exist
126,MOT,n:prop
127,MOT,pro:per
127,MOT,v
127,MOT,det:art
127,MOT,n:prop
127,MOT,prep
127,MOT,n
128,MOT,pro:per
128,MOT,v
128,MOT,det:art
128,MOT,n:prop
128,MOT,prep
128,MOT,n
129,MOT,pro:per
129,MOT,v
129,MOT,det:art
129,MOT,n:prop
129,MOT,prep
129,MOT,n
130,MOT,co
130,MOT,co
130,MOT,n:prop
130,MOT,!
131,MOT,co
131,MOT,co
131,MOT,n:prop
132,MOT,co
132,MOT,co
132,MOT,n:prop
133,MOT,pro:per
133,MOT,v
133,MOT,det:dem
133,MOT,n
133,MOT,co
133,MOT,?
134,MOT,pro:per
134,MOT,v
134,MOT,det:dem
134,MOT,n
134,MOT,co
134,MOT,?
135,MOT,pro:per
135,MOT,v
135,MOT,det:dem
135,MOT,n
135,MOT,co
136,MOT,v
136,MOT,det:art
136,MOT,n
136,MOT,?
137,MOT,v
137,MOT,det:art
137,MOT,n
137,MOT,?
138,MOT,v
138,MOT,det:art
138,MOT,n
139,MOT,pro:per
139,MOT,v
139,MOT,n:prop
139,MOT,n
139,MOT,v
140,MOT,pro:per
140,MOT,v
140,MOT,n:prop
140,MOT,n
140,MOT,v
141,MOT,pro:per
141,MOT,v
141,MOT,n:prop
141,MOT,n
141,MOT,v
142,MOT,mod
142,MOT,pro:per
142,MOT,?
143,MOT,mod
143,MOT,pro:per
143,MOT,?
144,MOT,mod
144,MOT,pro:per
145,MOT,pro:exist
145,MOT,n:prop
146,MOT,pro:exist
146,MOT,n:prop
147,MOT,pro:exist
147,MOT,n:prop
148,MOT,co
148,MOT,v
148,MOT,det:art
148,MOT,n
