Turn,Speaker,POS
1,EXP,co
2,EXP,co
3,EXP,co
4,EXP,v
4,EXP,adv
4,EXP,adv
5,EXP,v
5,EXP,adv
5,EXP,adv
6,EXP,v
6,EXP,adv
6,EXP,adv
7,MOT,pro:per
7,MOT,mod
7,MOT,v
7,MOT,pro:dem
7,MOT,?
8,MOT,pro:per
8,MOT,mod
8,MOT,v
8,MOT,pro:dem
8,MOT,?
9,MOT,pro:per
9,MOT,mod
9,MOT,v
9,MOT,pro:dem
10,MOT,pro:per
10,MOT,v
10,MOT,pro:dem
10,MOT,?
11,MOT,pro:per
11,MOT,v
11,MOT,pro:dem
11,MOT,?
12,MOT,pro:per
12,MOT,v
12,MOT,pro:dem
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,pro:int
16,MOT,mod
16,MOT,pro:per
16,MOT,v
16,MOT,pro:int
16,MOT,mod
17,MOT,pro:int
17,MOT,mod
17,MOT,pro:per
17,MOT,v
17,MOT,pro:int
17,MOT,mod
18,MOT,pro:int
18,MOT,mod
18,MOT,pro:per
18,MOT,v
18,MOT,pro:int
18,MOT,mod
19,MOT,pro:int
19,MOT,mod
19,MOT,pro:per
19,MOT,v
19,MOT,?
20,MOT,pro:int
20,MOT,mod
20,MOT,pro:per
20,MOT,v
20,MOT,?
21,MOT,pro:int
21,MOT,mod
21,MOT,pro:per
21,MOT,v
22,MOT,n
22,MOT,?
23,MOT,n
23,MOT,?
24,MOT,n
25,MOT,n
25,MOT,?
26,MOT,n
26,MOT,?
27,MOT,n
28,MOT,pro:int
28,MOT,v
28,MOT,n
28,MOT,prep
28,MOT,det:poss
28,MOT,n
28,MOT,?
29,MOT,pro:int
29,MOT,v
29,MOT,n
29,MOT,prep
29,MOT,det:poss
29,MOT,n
29,MOT,?
30,MOT,pro:int
30,MOT,v
30,MOT,n
30,MOT,prep
30,MOT,det:poss
30,MOT,n
31,MOT,n
31,MOT,?
32,MOT,n
32,MOT,?
33,MOT,n
34,MOT,v
34,MOT,prep
34,MOT,n
35,MOT,v
35,MOT,prep
35,MOT,n
36,MOT,v
36,MOT,prep
36,MOT,n
37,MOT,pro:int
37,MOT,?
38,MOT,pro:int
38,MOT,?
39,MOT,pro:int
40,MOT,co
40,MOT,?
41,MOT,co
41,MOT,?
42,MOT,co
43,MOT,pro:int
43,MOT,post
43,MOT,v
43,MOT,pro:per
43,MOT,v
43,MOT,?
44,MOT,pro:int
44,MOT,post
44,MOT,v
44,MOT,pro:per
44,MOT,v
44,MOT,?
45,MOT,pro:int
45,MOT,post
45,MOT,v
45,MOT,pro:per
45,MOT,v
46,MOT,n
46,MOT,mod
46,MOT,?
47,MOT,n
47,MOT,mod
47,MOT,?
48,MOT,n
48,MOT,mod
49,MOT,pro:dem
49,MOT,+
50,MOT,pro:dem
50,MOT,+
51,MOT,pro:dem
51,MOT,+
52,MOT,n
52,MOT,mod
52,MOT,?
53,MOT,n
53,MOT,mod
53,MOT,?
54,MOT,n
54,MOT,mod
55,MOT,pro:int
55,MOT,post
55,MOT,v
55,MOT,pro:per
55,MOT,v
55,MOT,?
56,MOT,pro:int
56,MOT,post
56,MOT,v
56,MOT,pro:per
56,MOT,v
56,MOT,?
57,MOT,pro:int
57,MOT,post
57,MOT,v
57,MOT,pro:per
57,MOT,v
58,MOT,pro:int
58,MOT,post
58,MOT,v
58,MOT,pro:per
58,MOT,v
58,MOT,v
59,MOT,pro:int
59,MOT,post
59,MOT,v
59,MOT,pro:per
59,MOT,v
59,MOT,v
60,MOT,pro:int
60,MOT,post
60,MOT,v
60,MOT,pro:per
60,MOT,v
60,MOT,v
61,MOT,co
61,MOT,pro:sub
61,MOT,mod
61,MOT,v
61,MOT,det:art
61,MOT,n
61,MOT,mod
62,MOT,co
62,MOT,pro:sub
62,MOT,mod
62,MOT,v
62,MOT,det:art
62,MOT,n
62,MOT,mod
63,MOT,co
63,MOT,pro:sub
63,MOT,mod
63,MOT,v
63,MOT,det:art
63,MOT,n
63,MOT,mod
64,MOT,pro:sub
64,MOT,mod
64,MOT,v
64,MOT,det:art
64,MOT,n
64,MOT,mod
65,MOT,pro:sub
65,MOT,mod
65,MOT,v
65,MOT,det:art
65,MOT,n
65,MOT,mod
66,MOT,pro:sub
66,MOT,mod
66,MOT,v
66,MOT,det:art
66,MOT,n
66,MOT,mod
67,MOT,co
68,MOT,co
69,MOT,co
70,MOT,co
71,MOT,co
72,MOT,co
73,MOT,pro:per
73,MOT,v
73,MOT,pro:per
73,MOT,v
73,MOT,comp
73,MOT,co
74,MOT,pro:per
74,MOT,v
74,MOT,pro:per
74,MOT,v
74,MOT,comp
74,MOT,co
75,MOT,pro:per
75,MOT,v
75,MOT,pro:per
75,MOT,v
75,MOT,comp
75,MOT,co
76,MOT,pro:per
76,MOT,adj
76,MOT,pro:per
76,MOT,mod
76,MOT,v
76,MOT,adv
77,MOT,pro:per
77,MOT,adj
77,MOT,pro:per
77,MOT,mod
77,MOT,v
77,MOT,adv
78,MOT,pro:per
78,MOT,adj
78,MOT,pro:per
78,MOT,mod
78,MOT,v
78,MOT,adv
79,MOT,adv
79,MOT,pro:sub
79,MOT,v
79,MOT,adv
79,MOT,adv
79,MOT,prep
80,MOT,adv
80,MOT,pro:sub
80,MOT,v
80,MOT,adv
80,MOT,adv
80,MOT,prep
81,MOT,adv
81,MOT,pro:sub
81,MOT,v
81,MOT,adv
81,MOT,adv
81,MOT,prep
82,MOT,pro:int
82,MOT,post
82,MOT,aux
82,MOT,prep
82,MOT,n
82,MOT,pro:per
83,MOT,pro:int
83,MOT,post
83,MOT,aux
83,MOT,prep
83,MOT,n
83,MOT,pro:per
84,MOT,pro:int
84,MOT,post
84,MOT,aux
84,MOT,prep
84,MOT,n
84,MOT,pro:per
85,MOT,pro:int
85,MOT,mod
85,MOT,pro:per
85,MOT,v
85,MOT,v
85,MOT,prep
85,MOT,?
86,MOT,pro:int
86,MOT,mod
86,MOT,pro:per
86,MOT,v
86,MOT,v
86,MOT,prep
86,MOT,?
87,MOT,pro:int
87,MOT,mod
87,MOT,pro:per
87,MOT,v
87,MOT,v
87,MOT,prep
88,MOT,mod
88,MOT,pro:sub
88,MOT,v
88,MOT,pro:dem
88,MOT,?
89,MOT,mod
89,MOT,pro:sub
89,MOT,v
89,MOT,pro:dem
89,MOT,?
90,MOT,mod
90,MOT,pro:sub
90,MOT,v
90,MOT,pro:dem
91,MOT,co
91,MOT,co
92,MOT,co
92,MOT,co
