Turn,Speaker,POS
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,v
4,EXP,adv
5,EXP,v
5,EXP,adv
6,EXP,v
6,EXP,adv
7,MOT,det:poss
7,MOT,part
7,MOT,n
7,MOT,n
7,MOT,prep
7,MOT,pro:per
8,MOT,det:poss
8,MOT,part
8,MOT,n
8,MOT,n
8,MOT,prep
8,MOT,pro:per
9,MOT,det:poss
9,MOT,part
9,MOT,n
9,MOT,n
9,MOT,prep
9,MOT,pro:per
10,MOT,adj
11,MOT,adj
12,MOT,adj
13,MOT,v
13,MOT,pro:obj
13,MOT,det:art
13,MOT,n
13,MOT,n
14,MOT,v
14,MOT,pro:obj
14,MOT,det:art
14,MOT,n
14,MOT,n
15,MOT,v
15,MOT,pro:obj
15,MOT,det:art
15,MOT,n
15,MOT,n
16,MOT,co
16,MOT,n
17,MOT,co
17,MOT,n
18,MOT,co
18,MOT,n
19,MOT,on
20,MOT,on
21,MOT,on
22,MOT,on
22,MOT,co
23,MOT,on
23,MOT,co
24,MOT,on
24,MOT,co
25,MOT,mod
25,MOT,pro:per
25,MOT,v
25,MOT,n
25,MOT,prep
25,MOT,qn
25,MOT,?
26,MOT,mod
26,MOT,pro:per
26,MOT,v
26,MOT,n
26,MOT,prep
26,MOT,qn
26,MOT,?
27,MOT,mod
27,MOT,pro:per
27,MOT,v
27,MOT,n
27,MOT,prep
27,MOT,qn
28,MOT,mod
28,MOT,pro:per
28,MOT,v
28,MOT,n
28,MOT,qn
28,MOT,?
29,MOT,mod
29,MOT,pro:per
29,MOT,v
29,MOT,n
29,MOT,qn
29,MOT,?
30,MOT,mod
30,MOT,pro:per
30,MOT,v
30,MOT,n
30,MOT,qn
31,MOT,on
31,MOT,on
32,MOT,on
32,MOT,on
33,MOT,on
33,MOT,on
34,MOT,on
34,MOT,pro:per
34,MOT,neg
34,MOT,part
34,MOT,prep
35,MOT,on
35,MOT,pro:per
35,MOT,neg
35,MOT,part
35,MOT,prep
36,MOT,on
36,MOT,pro:per
36,MOT,neg
36,MOT,part
36,MOT,prep
37,MOT,mod
37,MOT,pro:sub
37,MOT,v
37,MOT,co
37,MOT,?
38,MOT,mod
38,MOT,pro:sub
38,MOT,v
38,MOT,co
38,MOT,?
39,MOT,mod
39,MOT,pro:sub
39,MOT,v
39,MOT,co
40,MOT,adv
40,MOT,adv
40,MOT,adj
40,MOT,n
41,MOT,adv
41,MOT,adv
41,MOT,adj
41,MOT,n
42,MOT,adv
42,MOT,adv
42,MOT,adj
42,MOT,n
43,MOT,n
43,MOT,coord
43,MOT,n
44,MOT,n
44,MOT,coord
44,MOT,n
45,MOT,n
45,MOT,coord
45,MOT,n
46,MOT,co
47,MOT,co
48,MOT,co
49,MOT,pro:per
49,MOT,part
49,MOT,inf
49,MOT,v
49,MOT,pro:obj
49,MOT,on
50,MOT,pro:per
50,MOT,part
50,MOT,inf
50,MOT,v
50,MOT,pro:obj
50,MOT,on
51,MOT,pro:per
51,MOT,part
51,MOT,inf
51,MOT,v
51,MOT,pro:obj
51,MOT,on
52,MOT,on
52,MOT,on
52,MOT,on
53,MOT,on
53,MOT,on
53,MOT,on
54,MOT,on
54,MOT,on
54,MOT,on
55,MOT,on
55,MOT,on
56,MOT,on
56,MOT,on
57,MOT,on
57,MOT,on
58,MOT,v
58,MOT,pro:per
59,MOT,v
59,MOT,pro:per
60,MOT,v
60,MOT,pro:per
61,MOT,co
62,MOT,co
63,MOT,co
64,MOT,n
64,MOT,on
64,MOT,on
65,MOT,n
65,MOT,on
65,MOT,on
66,MOT,n
66,MOT,on
66,MOT,on
67,MOT,on
67,MOT,on
67,MOT,mod
67,MOT,pro:sub
67,MOT,v
67,MOT,?
68,MOT,on
68,MOT,on
68,MOT,mod
68,MOT,pro:sub
68,MOT,v
68,MOT,?
69,MOT,on
69,MOT,on
69,MOT,mod
69,MOT,pro:sub
69,MOT,v
70,MOT,co
70,MOT,pro:per
70,MOT,adv
70,MOT,v
70,MOT,v
70,MOT,pro:per
70,MOT,prep
71,MOT,co
71,MOT,pro:per
71,MOT,adv
71,MOT,v
71,MOT,v
71,MOT,pro:per
71,MOT,prep
72,MOT,co
72,MOT,pro:per
72,MOT,adv
72,MOT,v
72,MOT,v
72,MOT,pro:per
72,MOT,prep
73,MOT,det:poss
73,MOT,co
73,MOT,part
73,MOT,!
74,MOT,det:poss
74,MOT,co
74,MOT,part
75,MOT,det:poss
75,MOT,co
75,MOT,part
76,MOT,n
76,MOT,coord
76,MOT,n
77,MOT,n
77,MOT,coord
77,MOT,n
78,MOT,n
78,MOT,coord
78,MOT,n
79,MOT,pro:dem
79,MOT,mod
79,MOT,cop
79,MOT,adj
79,MOT,n
80,MOT,pro:dem
80,MOT,mod
80,MOT,cop
80,MOT,adj
80,MOT,n
81,MOT,pro:dem
81,MOT,mod
81,MOT,cop
81,MOT,adj
81,MOT,n
82,MOT,pro:int
82,MOT,pro:dem
82,MOT,?
83,MOT,pro:int
83,MOT,pro:dem
83,MOT,?
84,MOT,pro:int
84,MOT,pro:dem
85,MOT,det:art
85,MOT,n
86,MOT,det:art
86,MOT,n
87,MOT,det:art
87,MOT,n
88,MOT,pro:int
88,MOT,mod
88,MOT,n
88,MOT,v
88,MOT,adv:tem
88,MOT,?
