Turn,Speaker,POS
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,v
4,EXP,det:num
5,EXP,v
5,EXP,det:num
6,EXP,v
6,EXP,det:num
7,EXP,coord
7,EXP,adv:tem
7,EXP,cop
7,EXP,n:prop
7,EXP,adj
8,EXP,coord
8,EXP,adv:tem
8,EXP,cop
8,EXP,n:prop
8,EXP,adj
9,EXP,coord
9,EXP,adv:tem
9,EXP,cop
9,EXP,n:prop
9,EXP,adj
10,MOT,pro:int
10,MOT,pro:dem
10,MOT,?
11,MOT,pro:int
11,MOT,pro:dem
11,MOT,?
12,MOT,pro:int
12,MOT,pro:dem
13,MOT,mod
13,MOT,pro:per
13,MOT,v
13,MOT,qn
13,MOT,n
13,MOT,?
14,MOT,mod
14,MOT,pro:per
14,MOT,v
14,MOT,qn
14,MOT,n
14,MOT,?
15,MOT,mod
15,MOT,pro:per
15,MOT,v
15,MOT,qn
15,MOT,n
16,MOT,coord
16,MOT,pro:int
16,MOT,pro:dem
16,MOT,pro:indef
16,MOT,?
17,MOT,coord
17,MOT,pro:int
17,MOT,pro:dem
17,MOT,pro:indef
17,MOT,?
18,MOT,coord
18,MOT,pro:int
18,MOT,pro:dem
18,MOT,pro:indef
19,MOT,pro:sub
19,MOT,mod
19,MOT,v
19,MOT,pro:int
19,MOT,det:dem
20,MOT,pro:sub
20,MOT,mod
20,MOT,v
20,MOT,pro:int
20,MOT,det:dem
21,MOT,pro:sub
21,MOT,mod
21,MOT,v
21,MOT,pro:int
21,MOT,det:dem
22,MOT,pro:indef
22,MOT,adv
23,MOT,pro:indef
23,MOT,adv
24,MOT,pro:indef
24,MOT,adv
25,MOT,pro:per
25,MOT,det:art
25,MOT,n
26,MOT,pro:per
26,MOT,det:art
26,MOT,n
27,MOT,pro:per
27,MOT,det:art
27,MOT,n
28,MOT,pro:dem
28,MOT,det:art
28,MOT,n
29,MOT,pro:dem
29,MOT,det:art
29,MOT,n
30,MOT,pro:dem
30,MOT,det:art
30,MOT,n
31,MOT,co
32,MOT,co
33,MOT,co
34,MOT,pro:int
34,MOT,post
34,MOT,?
35,MOT,pro:int
35,MOT,post
35,MOT,?
36,MOT,pro:int
36,MOT,post
37,MOT,pro:per
37,MOT,v
37,MOT,qn
37,MOT,n
37,MOT,?
38,MOT,pro:per
38,MOT,v
38,MOT,qn
38,MOT,n
38,MOT,?
39,MOT,pro:per
39,MOT,v
39,MOT,qn
39,MOT,n
40,MOT,n
40,MOT,co
41,MOT,n
41,MOT,co
42,MOT,n
42,MOT,co
43,MOT,co
43,MOT,pro:rel
43,MOT,v
43,MOT,n
44,MOT,co
44,MOT,pro:rel
44,MOT,v
44,MOT,n
45,MOT,co
45,MOT,pro:rel
45,MOT,v
45,MOT,n
46,MOT,v
46,MOT,pro:per
46,MOT,n
46,MOT,n
46,MOT,?
47,MOT,v
47,MOT,pro:per
47,MOT,n
47,MOT,n
47,MOT,?
48,MOT,v
48,MOT,pro:per
48,MOT,n
48,MOT,n
49,MOT,co
49,MOT,pro:int
49,MOT,pro:dem
49,MOT,?
50,MOT,co
50,MOT,pro:int
50,MOT,pro:dem
50,MOT,?
51,MOT,co
51,MOT,pro:int
51,MOT,pro:dem
52,MOT,pro:per
52,MOT,v
52,MOT,det:art
52,MOT,n
52,MOT,?
53,MOT,pro:per
53,MOT,v
53,MOT,det:art
53,MOT,n
53,MOT,?
54,MOT,pro:per
54,MOT,v
54,MOT,det:art
54,MOT,n
55,MOT,pro:dem
55,MOT,det:art
55,MOT,n
55,MOT,!
56,MOT,pro:dem
56,MOT,det:art
56,MOT,n
57,MOT,pro:dem
57,MOT,det:art
57,MOT,n
58,MOT,n
59,MOT,n
60,MOT,n
61,MOT,mod
61,MOT,v
61,MOT,det:poss
61,MOT,n
61,MOT,prep
62,MOT,mod
62,MOT,v
