Turn,Speaker,POS
1,MOT,n
1,MOT,?
2,MOT,n
2,MOT,?
3,MOT,n
4,MOT,mod
4,MOT,pro:sub
4,MOT,adv
4,MOT,v
4,MOT,n
4,MOT,?
5,MOT,mod
5,MOT,pro:sub
5,MOT,adv
5,MOT,v
5,MOT,n
5,MOT,?
6,MOT,mod
6,MOT,pro:sub
6,MOT,adv
6,MOT,v
6,MOT,n
7,MOT,adv
7,MOT,n
8,MOT,adv
8,MOT,n
9,MOT,adv
9,MOT,n
10,MOT,v
10,MOT,det:art
10,MOT,qn
10,MOT,prep
10,MOT,det:dem
10,MOT,n
11,MOT,v
11,MOT,det:art
11,MOT,qn
11,MOT,prep
11,MOT,det:dem
11,MOT,n
12,MOT,v
12,MOT,det:art
12,MOT,qn
12,MOT,prep
12,MOT,det:dem
12,MOT,n
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,n
16,MOT,pro:sub
16,MOT,v
16,MOT,pro:per
16,MOT,part
16,MOT,prep
17,MOT,n
17,MOT,pro:sub
17,MOT,v
17,MOT,pro:per
17,MOT,part
17,MOT,prep
18,MOT,n
18,MOT,pro:sub
18,MOT,v
18,MOT,pro:per
18,MOT,part
18,MOT,prep
19,MOT,det:art
19,MOT,n
20,MOT,det:art
20,MOT,n
21,MOT,det:art
21,MOT,n
22,MOT,mod
22,MOT,pro:per
22,MOT,v
22,MOT,co
22,MOT,?
23,MOT,mod
23,MOT,pro:per
23,MOT,v
23,MOT,co
23,MOT,?
24,MOT,mod
24,MOT,pro:per
24,MOT,v
24,MOT,co
25,MOT,v
25,MOT,n
25,MOT,n
25,MOT,pro:per
25,MOT,adj
25,MOT,?
26,MOT,v
26,MOT,n
26,MOT,n
26,MOT,pro:per
26,MOT,adj
26,MOT,?
27,MOT,v
27,MOT,n
27,MOT,n
27,MOT,pro:per
27,MOT,adj
28,MOT,cop
28,MOT,det:art
28,MOT,n
28,MOT,adj
28,MOT,pro:int
28,MOT,mod
29,MOT,cop
29,MOT,det:art
29,MOT,n
29,MOT,adj
29,MOT,pro:int
29,MOT,mod
30,MOT,cop
30,MOT,det:art
30,MOT,n
30,MOT,adj
30,MOT,pro:int
30,MOT,mod
31,MOT,pro:int
31,MOT,mod
31,MOT,det:art
31,MOT,n
31,MOT,v
31,MOT,mod
32,MOT,pro:int
32,MOT,mod
32,MOT,det:art
32,MOT,n
32,MOT,v
32,MOT,mod
33,MOT,pro:int
33,MOT,mod
33,MOT,det:art
33,MOT,n
33,MOT,v
33,MOT,mod
34,MOT,n
35,MOT,n
36,MOT,n
37,MOT,mod
37,MOT,pro:per
37,MOT,v
37,MOT,det:art
37,MOT,n
38,MOT,mod
38,MOT,pro:per
38,MOT,v
38,MOT,det:art
38,MOT,n
39,MOT,mod
39,MOT,pro:per
39,MOT,v
39,MOT,det:art
39,MOT,n
40,MOT,co
41,MOT,co
42,MOT,co
43,MOT,co
43,MOT,pro:per
43,MOT,v
43,MOT,adv
43,MOT,prep
43,MOT,pro:obj
43,MOT,pro:sub
44,MOT,co
44,MOT,pro:per
44,MOT,v
44,MOT,adv
44,MOT,prep
44,MOT,pro:obj
44,MOT,pro:sub
45,MOT,co
45,MOT,pro:per
45,MOT,v
45,MOT,adv
45,MOT,prep
45,MOT,pro:obj
45,MOT,pro:sub
46,MOT,pro:sub
46,MOT,v
46,MOT,v
46,MOT,pro:per
46,MOT,qn
47,MOT,pro:sub
47,MOT,v
47,MOT,v
47,MOT,pro:per
47,MOT,qn
48,MOT,pro:sub
48,MOT,v
48,MOT,v
48,MOT,pro:per
48,MOT,qn
49,MOT,pro:dem
49,MOT,neg
49,MOT,det:art
49,MOT,n
49,MOT,adv
50,MOT,pro:dem
50,MOT,neg
50,MOT,det:art
50,MOT,n
50,MOT,adv
51,MOT,pro:dem
51,MOT,neg
51,MOT,det:art
51,MOT,n
51,MOT,adv
52,MOT,pro:exist
52,MOT,det:art
52,MOT,n
53,MOT,pro:exist
53,MOT,det:art
53,MOT,n
54,MOT,pro:exist
54,MOT,det:art
54,MOT,n
55,MOT,coord
56,MOT,coord
57,MOT,coord
58,MOT,pro:sub
58,MOT,v
58,MOT,n
58,MOT,!
59,MOT,pro:sub
59,MOT,v
59,MOT,n
60,MOT,pro:sub
60,MOT,v
60,MOT,n
61,MOT,co
61,MOT,!
62,MOT,co
63,MOT,co
64,MOT,qn
64,MOT,n
64,MOT,pro:rel
64,MOT,neg
64,MOT,det:art
64,MOT,n
65,MOT,qn
65,MOT,n
65,MOT,pro:rel
65,MOT,neg
65,MOT,det:art
65,MOT,n
66,MOT,qn
66,MOT,n
66,MOT,pro:rel
66,MOT,neg
66,MOT,det:art
66,MOT,n
67,MOT,pro:per
67,MOT,neg
67,MOT,det:art
67,MOT,n
68,MOT,pro:per
68,MOT,neg
68,MOT,det:art
68,MOT,n
69,MOT,pro:per
69,MOT,neg
69,MOT,det:art
69,MOT,n
70,MOT,adv
70,MOT,v
70,MOT,det:poss
70,MOT,n
70,MOT,?
71,MOT,adv
71,MOT,v
71,MOT,det:poss
71,MOT,n
71,MOT,?
72,MOT,adv
72,MOT,v
72,MOT,det:poss
72,MOT,n
73,MOT,adv
73,MOT,pro:per
73,MOT,v
74,MOT,adv
74,MOT,pro:per
74,MOT,v
75,MOT,adv
75,MOT,pro:per
75,MOT,v
76,MOT,det:poss
76,MOT,det:art
76,MOT,n
77,MOT,det:poss
77,MOT,det:art
77,MOT,n
78,MOT,det:poss
78,MOT,det:art
78,MOT,n
79,MOT,v
79,MOT,prep
79,MOT,det:poss
79,MOT,n
80,MOT,v
80,MOT,prep
80,MOT,det:poss
80,MOT,n
81,MOT,v
81,MOT,prep
81,MOT,det:poss
81,MOT,n
82,MOT,v
82,MOT,prep
82,MOT,det:poss
82,MOT,n
83,MOT,v
83,MOT,prep
83,MOT,det:poss
83,MOT,n
84,MOT,v
84,MOT,prep
84,MOT,det:poss
84,MOT,n
85,MOT,co
85,MOT,v
85,MOT,v
85,MOT,pro:int
85,MOT,post
85,MOT,mod
86,MOT,co
86,MOT,v
86,MOT,v
86,MOT,pro:int
86,MOT,post
86,MOT,mod
87,MOT,co
87,MOT,v
87,MOT,v
87,MOT,pro:int
87,MOT,post
87,MOT,mod
88,MOT,pro:int
88,MOT,post
88,MOT,mod
88,MOT,pro:sub
88,MOT,v
88,MOT,adv
88,MOT,n
88,MOT,?
89,MOT,pro:int
89,MOT,post
89,MOT,mod
89,MOT,pro:sub
89,MOT,v
89,MOT,adv
89,MOT,n
89,MOT,?
90,MOT,pro:int
90,MOT,post
90,MOT,mod
90,MOT,pro:sub
90,MOT,v
90,MOT,adv
90,MOT,n
91,MOT,adv
92,MOT,adv
93,MOT,adv
94,MOT,det:art
94,MOT,n
94,MOT,coord
94,MOT,det:art
94,MOT,n
95,MOT,det:art
95,MOT,n
95,MOT,coord
95,MOT,det:art
95,MOT,n
96,MOT,det:art
96,MOT,n
96,MOT,coord
96,MOT,det:art
96,MOT,n
97,MOT,aux
97,MOT,pro:per
97,MOT,v
97,MOT,prep
97,MOT,pro:obj
97,MOT,inf
97,MOT,v
97,MOT,?
98,MOT,aux
98,MOT,pro:per
98,MOT,v
98,MOT,prep
98,MOT,pro:obj
98,MOT,inf
98,MOT,v
98,MOT,?
99,MOT,aux
99,MOT,pro:per
99,MOT,v
99,MOT,prep
99,MOT,pro:obj
99,MOT,inf
99,MOT,v
100,MOT,mod
100,MOT,pro:sub
100,MOT,v
100,MOT,det:poss
100,MOT,n
100,MOT,?
101,MOT,mod
101,MOT,pro:sub
101,MOT,v
101,MOT,det:poss
101,MOT,n
101,MOT,?
102,MOT,mod
102,MOT,pro:sub
102,MOT,v
102,MOT,det:poss
102,MOT,n
103,mor,*MOT:and
103,mor,what
103,mor,should
103,mor,the
103,mor,baby
103,mor,have
103,mor,?122830_124566
104,mor,*MOT:and
104,mor,what
104,mor,should
104,mor,the
104,mor,baby
104,mor,have
104,mor,?122830_124566
105,mor,*MOT:and
105,mor,what
105,mor,should
105,mor,the
105,mor,baby
105,mor,have
105,mor,122830_124566
106,mor,*MOT:0
106,mor,[=!
106,mor,toys
106,mor,rustling]
106,mor,the
106,mor,baby
106,mor,have
106,mor,its
106,mor,bottle
106,mor,?124566_128774
107,mor,*MOT:0
107,mor,[=
107,mor,toys
107,mor,rustling]
107,mor,the
107,mor,baby
107,mor,have
107,mor,its
107,mor,bottle
107,mor,?124566_128774
108,mor,*MOT:0
108,mor,[=
108,mor,toys
108,mor,rustling]
108,mor,the
108,mor,baby
108,mor,have
108,mor,its
108,mor,bottle
108,mor,124566_128774
109,mor,*MOT:0
109,mor,[=!
109,mor,toys
109,mor,rustling]
109,mor,look
109,mor,128774_134513
110,mor,*MOT:0
110,mor,[=
110,mor,toys
110,mor,rustling]
110,mor,look
110,mor,128774_134513
111,mor,*MOT:0
111,mor,[=
111,mor,toys
111,mor,rustling]
111,mor,look
111,mor,128774_134513
112,mor,*MOT:0
112,mor,[=!
112,mor,toys
112,mor,rustling]
112,mor,xxx
112,mor,feed
112,mor,the
112,mor,baby
112,mor,?134513_138145
113,mor,*MOT:0
113,mor,[=
113,mor,toys
113,mor,rustling]
113,mor,xxx
113,mor,feed
113,mor,the
113,mor,baby
113,mor,?134513_138145
114,mor,*MOT:0
114,mor,[=
114,mor,toys
114,mor,rustling]
114,mor,xxx
114,mor,feed
114,mor,the
114,mor,baby
114,mor,134513_138145
115,mor,*MOT:look
115,mor,Jack
115,mor,its
115,mor,[//]
115,mor,she's
115,mor,drinki:ng
115,mor,138145_141861
116,mor,*MOT:look
116,mor,Jack
116,mor,its
116,mor,[//]
116,mor,she's
116,mor,drinki:ng
116,mor,138145_141861
117,mor,*MOT:look
117,mor,Jack
117,mor,its
117,mor,[//]
117,mor,she's
117,mor,drinki:ng
117,mor,138145_141861
118,mor,*MOT:she's
118,mor,drinking
118,mor,her
118,mor,bottl:e
118,mor,141861_143718
119,mor,*MOT:she's
119,mor,drinking
119,mor,her
119,mor,bottl:e
119,mor,141861_143718
120,mor,*MOT:she's
120,mor,drinking
120,mor,her
120,mor,bottl:e
120,mor,141861_143718
121,mor,*MOT:0
121,mor,[=!
121,mor,toys
121,mor,rustling]
121,mor,you
121,mor,don't
121,mor,wanna
121,mor,give
121,mor,the
121,mor,baby
121,mor,the
121,mor,bottle
121,mor,?143718_148465
122,mor,*MOT:0
122,mor,[=
122,mor,toys
122,mor,rustling]
122,mor,you
122,mor,don't
122,mor,wanna
122,mor,give
122,mor,the
122,mor,baby
122,mor,the
122,mor,bottle
122,mor,?143718_148465
123,mor,*MOT:0
123,mor,[=
123,mor,toys
123,mor,rustling]
123,mor,you
123,mor,don't
123,mor,wanna
123,mor,give
123,mor,the
123,mor,baby
123,mor,the
123,mor,bottle
123,mor,143718_148465
124,mor,*MOT:0
124,mor,[=!
124,mor,toys
124,mor,rsutling]
124,mor,can
124,mor,you
124,mor,feed
124,mor,the
124,mor,baby
124,mor,?151066_155607
125,mor,*MOT:0
125,mor,[=
125,mor,toys
125,mor,rsutling]
125,mor,can
125,mor,you
125,mor,feed
125,mor,the
125,mor,baby
125,mor,?151066_155607
126,mor,*MOT:0
126,mor,[=
126,mor,toys
126,mor,rsutling]
126,mor,can
126,mor,you
126,mor,feed
126,mor,the
126,mor,baby
126,mor,151066_155607
127,mor,*MOT:can
127,mor,we
127,mor,feed
127,mor,the
127,mor,baby
127,mor,?155607_157836
128,mor,*MOT:can
128,mor,we
128,mor,feed
128,mor,the
128,mor,baby
128,mor,?155607_157836
129,mor,*MOT:can
129,mor,we
129,mor,feed
129,mor,the
129,mor,baby
129,mor,155607_157836
130,mor,*MOT:okay
130,mor,time
130,mor,for
130,mor,her
130,mor,to
130,mor,eat
130,mor,157836_159794
131,mor,*MOT:okay
131,mor,time
131,mor,for
131,mor,her
131,mor,to
131,mor,eat
131,mor,157836_159794
