Turn,Speaker,POS
1,EXP,n
2,EXP,n
3,EXP,n
4,EXP,det:num
4,EXP,det:num
4,EXP,det:num
4,EXP,det:num
5,EXP,det:num
5,EXP,det:num
5,EXP,det:num
5,EXP,det:num
6,EXP,det:num
6,EXP,det:num
6,EXP,det:num
6,EXP,det:num
7,EXP,n:prop
7,EXP,n:prop
8,EXP,n:prop
8,EXP,n:prop
9,EXP,n:prop
9,EXP,n:prop
10,EXP,v
10,EXP,det:num
11,EXP,v
11,EXP,det:num
12,EXP,v
12,EXP,det:num
13,EXP,adv:tem
13,EXP,cop
14,EXP,adv:tem
14,EXP,cop
15,EXP,adv:tem
15,EXP,cop
16,EXP,det:num
16,EXP,det:num
16,EXP,det:num
16,EXP,co
16,EXP,det:num
17,EXP,det:num
17,EXP,det:num
17,EXP,det:num
17,EXP,co
17,EXP,det:num
18,EXP,det:num
18,EXP,det:num
18,EXP,det:num
18,EXP,co
18,EXP,det:num
19,EXP,co
20,EXP,co
21,EXP,co
22,EXP,pro:sub
22,EXP,v
22,EXP,pro:obj
23,EXP,pro:sub
23,EXP,v
23,EXP,pro:obj
24,EXP,pro:sub
24,EXP,v
24,EXP,pro:obj
25,EXP,pro:dem
26,EXP,pro:dem
27,EXP,pro:dem
28,EXP,pro:sub
28,EXP,v
28,EXP,pro:per
28,EXP,v
28,EXP,det:dem
28,EXP,inf
28,EXP,v
29,EXP,pro:sub
29,EXP,v
29,EXP,pro:per
29,EXP,v
29,EXP,det:dem
29,EXP,inf
29,EXP,v
30,EXP,pro:sub
30,EXP,v
30,EXP,pro:per
30,EXP,v
30,EXP,det:dem
30,EXP,inf
30,EXP,v
31,EXP,coord
31,EXP,+/
32,EXP,coord
32,EXP,+/
33,EXP,coord
33,EXP,+/
34,MOT,co
35,MOT,co
36,MOT,co
37,EXP,co
38,EXP,co
39,EXP,co
40,EXP,co
41,EXP,co
42,EXP,co
43,EXP,pro:per
43,EXP,n
43,EXP,mod
43,EXP,aux
43,EXP,part
44,EXP,pro:per
44,EXP,n
44,EXP,mod
44,EXP,aux
44,EXP,part
45,EXP,pro:per
45,EXP,n
45,EXP,mod
45,EXP,aux
45,EXP,part
46,MOT,co
47,MOT,co
48,MOT,co
49,MOT,co
49,MOT,v
49,MOT,v
49,MOT,n:prop
50,MOT,co
50,MOT,v
50,MOT,v
50,MOT,n:prop
51,MOT,co
51,MOT,v
51,MOT,v
51,MOT,n:prop
52,MOT,pro:int
52,MOT,mod
52,MOT,pro:sub
52,MOT,v
52,MOT,prep
52,MOT,?
53,MOT,pro:int
53,MOT,mod
53,MOT,pro:sub
53,MOT,v
53,MOT,prep
53,MOT,?
54,MOT,pro:int
54,MOT,mod
54,MOT,pro:sub
54,MOT,v
54,MOT,prep
55,MOT,co
55,MOT,?
56,MOT,co
56,MOT,?
57,MOT,co
58,MOT,pro:int
58,MOT,mod
58,MOT,pro:sub
58,MOT,v
58,MOT,prep
58,MOT,?
59,MOT,pro:int
59,MOT,mod
59,MOT,pro:sub
59,MOT,v
59,MOT,prep
59,MOT,?
60,MOT,pro:int
60,MOT,mod
60,MOT,pro:sub
60,MOT,v
60,MOT,prep
61,MOT,det:art
61,MOT,n
61,MOT,?
62,MOT,det:art
62,MOT,n
62,MOT,?
63,MOT,det:art
63,MOT,n
64,MOT,pro:exist
64,MOT,det:art
64,MOT,n
64,MOT,prep
65,MOT,pro:exist
65,MOT,det:art
65,MOT,n
65,MOT,prep
66,MOT,pro:exist
66,MOT,det:art
66,MOT,n
66,MOT,prep
67,MOT,det:art
67,MOT,n
67,MOT,n
67,MOT,?
68,MOT,det:art
68,MOT,n
68,MOT,n
68,MOT,?
69,MOT,det:art
69,MOT,n
69,MOT,n
70,MOT,det:art
70,MOT,n
71,MOT,det:art
71,MOT,n
72,MOT,det:art
72,MOT,n
73,MOT,adv
74,MOT,adv
75,MOT,adv
76,MOT,v
76,MOT,v
77,MOT,v
77,MOT,v
78,MOT,v
78,MOT,v
79,MOT,adj
79,MOT,adj
79,MOT,n
80,MOT,adj
80,MOT,adj
80,MOT,n
81,MOT,adj
81,MOT,adj
81,MOT,n
82,MOT,part
82,MOT,v
82,MOT,prep
82,MOT,det:art
82,MOT,n
83,MOT,part
83,MOT,v
83,MOT,prep
83,MOT,det:art
83,MOT,n
84,MOT,part
84,MOT,v
84,MOT,prep
84,MOT,det:art
84,MOT,n
85,MOT,v
85,MOT,det:poss
85,MOT,n
85,MOT,n
86,MOT,v
86,MOT,det:poss
86,MOT,n
86,MOT,n
87,MOT,v
87,MOT,det:poss
87,MOT,n
87,MOT,n
88,MOT,n
88,MOT,n
89,MOT,n
89,MOT,n
90,MOT,n
90,MOT,n
91,MOT,pro:int
91,MOT,pro:dem
91,MOT,?
92,MOT,pro:int
92,MOT,pro:dem
92,MOT,?
93,MOT,pro:int
93,MOT,pro:dem
94,MOT,det:art
94,MOT,n
94,MOT,!
95,MOT,det:art
95,MOT,n
96,MOT,det:art
96,MOT,n
97,MOT,pro:per
97,MOT,part
97,MOT,det:art
97,MOT,n
97,MOT,?
98,MOT,pro:per
98,MOT,part
98,MOT,det:art
98,MOT,n
98,MOT,?
99,MOT,pro:per
99,MOT,part
99,MOT,det:art
99,MOT,n
100,MOT,mod
100,MOT,pro:per
100,MOT,v
100,MOT,pro:per
100,MOT,?
101,MOT,mod
101,MOT,pro:per
101,MOT,v
101,MOT,pro:per
101,MOT,?
102,MOT,mod
102,MOT,pro:per
102,MOT,v
102,MOT,pro:per
103,MOT,v
103,MOT,v
103,MOT,det:art
103,MOT,n
104,MOT,v
104,MOT,v
104,MOT,det:art
104,MOT,n
105,MOT,v
105,MOT,v
105,MOT,det:art
105,MOT,n
106,MOT,co
106,MOT,det:art
106,MOT,n
107,MOT,co
107,MOT,det:art
107,MOT,n
108,MOT,co
108,MOT,det:art
108,MOT,n
109,MOT,det:art
109,MOT,adj
109,MOT,n
110,MOT,det:art
110,MOT,adj
110,MOT,n
111,MOT,det:art
111,MOT,adj
111,MOT,n
112,MOT,adj
112,MOT,n
113,MOT,adj
113,MOT,n
114,MOT,adj
114,MOT,n
115,MOT,pro:int
115,MOT,adv
115,MOT,det:art
115,MOT,n
115,MOT,?
116,MOT,pro:int
116,MOT,adv
116,MOT,det:art
116,MOT,n
116,MOT,?
117,MOT,pro:int
117,MOT,adv
117,MOT,det:art
117,MOT,n
118,MOT,prep
118,MOT,det:art
118,MOT,n
118,MOT,pro:sub
118,MOT,v
118,MOT,prep
119,MOT,prep
119,MOT,det:art
119,MOT,n
119,MOT,pro:sub
119,MOT,v
119,MOT,prep
120,MOT,prep
120,MOT,det:art
120,MOT,n
120,MOT,pro:sub
120,MOT,v
120,MOT,prep
121,MOT,pro:int
121,MOT,det:art
121,MOT,n
121,MOT,?
122,MOT,pro:int
122,MOT,det:art
122,MOT,n
122,MOT,?
123,MOT,pro:int
123,MOT,det:art
123,MOT,n
124,MOT,co
125,MOT,co
126,MOT,co
127,MOT,prep
127,MOT,det:art
127,MOT,n
128,MOT,prep
128,MOT,det:art
128,MOT,n
129,MOT,prep
129,MOT,det:art
129,MOT,n
130,MOT,co
130,MOT,qn
130,MOT,n
131,MOT,co
131,MOT,qn
131,MOT,n
132,MOT,co
132,MOT,qn
132,MOT,n
133,MOT,pro:per
133,MOT,v
133,MOT,n
134,MOT,pro:per
134,MOT,v
134,MOT,n
135,MOT,pro:per
135,MOT,v
135,MOT,n
136,MOT,adj
136,MOT,n
137,MOT,adj
137,MOT,n
138,MOT,adj
138,MOT,n
139,MOT,n
140,MOT,n
141,MOT,n
142,MOT,pro:per
142,MOT,v
142,MOT,v
142,MOT,?
143,MOT,pro:per
143,MOT,v
143,MOT,v
143,MOT,?
144,MOT,pro:per
144,MOT,v
144,MOT,v
145,MOT,det:art
145,MOT,n
145,MOT,?
146,MOT,det:art
146,MOT,n
146,MOT,?
147,MOT,det:art
147,MOT,n
148,MOT,co
148,MOT,?
149,MOT,co
149,MOT,?
150,MOT,co
151,MOT,det:art
151,MOT,n
151,MOT,?
