Turn,Speaker,POS
1,MOT,co
2,MOT,co
3,MOT,co
4,MOT,co
5,MOT,co
6,MOT,co
7,MOT,v
7,MOT,v
7,MOT,prep
7,MOT,n
7,MOT,?
8,MOT,v
8,MOT,v
8,MOT,prep
8,MOT,n
8,MOT,?
9,MOT,v
9,MOT,v
9,MOT,prep
9,MOT,n
10,MOT,co
10,MOT,n
10,MOT,?
11,MOT,co
11,MOT,n
11,MOT,?
12,MOT,co
12,MOT,n
13,MOT,pro:per
13,MOT,v
13,MOT,n
13,MOT,co
13,MOT,?
14,MOT,pro:per
14,MOT,v
14,MOT,n
14,MOT,co
14,MOT,?
15,MOT,pro:per
15,MOT,v
15,MOT,n
15,MOT,co
16,MOT,co
16,MOT,adj
16,MOT,n
16,MOT,pro:per
16,MOT,part
16,MOT,+
17,MOT,co
17,MOT,adj
17,MOT,n
17,MOT,pro:per
17,MOT,part
17,MOT,+
18,MOT,co
18,MOT,adj
18,MOT,n
18,MOT,pro:per
18,MOT,part
18,MOT,+
19,MOT,det:art
19,MOT,n
19,MOT,prep
19,MOT,det:art
19,MOT,n
19,MOT,prep
19,MOT,n
19,MOT,?
20,MOT,det:art
20,MOT,n
20,MOT,prep
20,MOT,det:art
20,MOT,n
20,MOT,prep
20,MOT,n
20,MOT,?
21,MOT,det:art
21,MOT,n
21,MOT,prep
21,MOT,det:art
21,MOT,n
21,MOT,prep
21,MOT,n
22,MOT,co
22,MOT,pro:dem
22,MOT,det:art
22,MOT,adj
22,MOT,n
23,MOT,co
23,MOT,pro:dem
23,MOT,det:art
23,MOT,adj
23,MOT,n
24,MOT,co
24,MOT,pro:dem
24,MOT,det:art
24,MOT,adj
24,MOT,n
25,MOT,co
26,MOT,co
27,MOT,co
28,MOT,co
28,MOT,!
29,MOT,co
30,MOT,co
31,MOT,co
31,MOT,!
32,MOT,co
33,MOT,co
34,MOT,co
34,MOT,co
34,MOT,!
35,MOT,co
35,MOT,co
36,MOT,co
36,MOT,co
37,CHI,co
37,CHI,n
38,CHI,co
38,CHI,n
39,CHI,co
39,CHI,n
40,MOT,fam
40,MOT,?
41,MOT,fam
41,MOT,?
42,MOT,fam
43,MOT,aux
43,MOT,pro:per
43,MOT,n
43,MOT,?
44,MOT,aux
44,MOT,pro:per
44,MOT,n
44,MOT,?
45,MOT,aux
45,MOT,pro:per
45,MOT,n
46,CHI,co
47,CHI,co
48,CHI,co
49,MOT,co
49,MOT,?
50,MOT,co
50,MOT,?
51,MOT,co
52,MOT,v
52,MOT,det:art
52,MOT,n
52,MOT,?
53,MOT,v
53,MOT,det:art
53,MOT,n
53,MOT,?
54,MOT,v
54,MOT,det:art
54,MOT,n
55,MOT,v
55,MOT,n:prop
56,MOT,v
56,MOT,n:prop
57,MOT,v
57,MOT,n:prop
58,MOT,co
59,MOT,co
60,MOT,co
61,MOT,v
61,MOT,v
61,MOT,pro:per
61,MOT,?
62,MOT,v
62,MOT,v
62,MOT,pro:per
62,MOT,?
63,MOT,v
63,MOT,v
63,MOT,pro:per
64,MOT,v
64,MOT,det:art
64,MOT,n
64,MOT,n
64,MOT,!
65,MOT,v
65,MOT,det:art
65,MOT,n
65,MOT,n
66,MOT,v
66,MOT,det:art
66,MOT,n
66,MOT,n
67,MOT,n
67,MOT,adv
68,MOT,n
68,MOT,adv
69,MOT,n
69,MOT,adv
70,MOT,co
71,MOT,co
72,MOT,co
73,MOT,v
74,MOT,v
