Turn,Speaker,POS
1,EXP,n:let
1,EXP,n:let
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n:let
2,EXP,n:let
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n:let
3,EXP,n:let
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,MOT,co
5,MOT,co
6,MOT,co
7,MOT,co
7,MOT,v
7,MOT,?
8,MOT,co
8,MOT,v
8,MOT,?
9,MOT,co
9,MOT,v
10,MOT,co
11,MOT,co
12,MOT,co
13,MOT,n
13,MOT,pro:exist
13,MOT,qn
13,MOT,n
14,MOT,n
14,MOT,pro:exist
14,MOT,qn
14,MOT,n
15,MOT,n
15,MOT,pro:exist
15,MOT,qn
15,MOT,n
16,MOT,v
16,MOT,det:art
16,MOT,n
16,MOT,?
17,MOT,v
17,MOT,det:art
17,MOT,n
17,MOT,?
18,MOT,v
18,MOT,det:art
18,MOT,n
19,MOT,v
19,MOT,pro:per
19,MOT,v
19,MOT,det:art
19,MOT,n
19,MOT,?
20,MOT,v
20,MOT,pro:per
20,MOT,v
20,MOT,det:art
20,MOT,n
20,MOT,?
21,MOT,v
21,MOT,pro:per
21,MOT,v
21,MOT,det:art
21,MOT,n
22,MOT,pro:per
22,MOT,det:art
22,MOT,n
23,MOT,pro:per
23,MOT,det:art
23,MOT,n
24,MOT,pro:per
24,MOT,det:art
24,MOT,n
25,MOT,n
25,MOT,det:art
25,MOT,n
25,MOT,pro:per
25,MOT,det:art
26,MOT,n
26,MOT,det:art
26,MOT,n
26,MOT,pro:per
26,MOT,det:art
27,MOT,n
27,MOT,det:art
27,MOT,n
27,MOT,pro:per
27,MOT,det:art
28,MOT,co
28,MOT,?
29,MOT,co
29,MOT,?
30,MOT,co
31,CHI,co
32,CHI,co
33,CHI,co
34,MOT,v
34,MOT,v
34,MOT,qn
34,MOT,n
34,MOT,?
35,MOT,v
35,MOT,v
35,MOT,qn
35,MOT,n
35,MOT,?
36,MOT,v
36,MOT,v
36,MOT,qn
36,MOT,n
37,MOT,pro:exist
37,MOT,det:art
37,MOT,n
38,MOT,pro:exist
38,MOT,det:art
38,MOT,n
39,MOT,pro:exist
39,MOT,det:art
39,MOT,n
40,MOT,n
40,MOT,?
41,MOT,n
41,MOT,?
42,MOT,n
43,MOT,qn
43,MOT,n
43,MOT,?
44,MOT,qn
44,MOT,n
44,MOT,?
45,MOT,qn
45,MOT,n
46,MOT,co
46,MOT,n
47,MOT,co
47,MOT,n
48,MOT,co
48,MOT,n
49,MOT,co
49,MOT,n
49,MOT,?
50,MOT,co
50,MOT,n
50,MOT,?
51,MOT,co
51,MOT,n
52,MOT,pro:per
52,MOT,v
52,MOT,det:art
52,MOT,n
52,MOT,?
53,MOT,pro:per
53,MOT,v
53,MOT,det:art
53,MOT,n
53,MOT,?
54,MOT,pro:per
54,MOT,v
54,MOT,det:art
54,MOT,n
55,CHI,n
56,CHI,n
57,CHI,n
58,MOT,n
59,MOT,n
60,MOT,n
61,MOT,aux
61,MOT,pro:per
61,MOT,adj
61,MOT,?
62,MOT,aux
62,MOT,pro:per
62,MOT,adj
62,MOT,?
63,MOT,aux
63,MOT,pro:per
63,MOT,adj
64,MOT,pro:indef
64,MOT,part
64,MOT,adv
64,MOT,?
65,MOT,pro:indef
65,MOT,part
65,MOT,adv
65,MOT,?
66,MOT,pro:indef
66,MOT,part
66,MOT,adv
67,MOT,n
68,MOT,n
69,MOT,n
70,MOT,pro:per
70,MOT,n
71,MOT,pro:per
71,MOT,n
72,MOT,pro:per
72,MOT,n
73,MOT,n
73,MOT,cop
73,MOT,adj
74,MOT,n
74,MOT,cop
74,MOT,adj
75,MOT,n
75,MOT,cop
75,MOT,adj
76,MOT,pro:exist
76,MOT,qn
76,MOT,n
77,MOT,pro:exist
77,MOT,qn
77,MOT,n
78,MOT,pro:exist
78,MOT,qn
78,MOT,n
79,MOT,prep
79,MOT,det:art
79,MOT,n
80,MOT,prep
80,MOT,det:art
80,MOT,n
81,MOT,prep
81,MOT,det:art
81,MOT,n
82,MOT,cop
82,MOT,det:dem
82,MOT,adj
82,MOT,n
82,MOT,?
83,MOT,cop
83,MOT,det:dem
83,MOT,adj
83,MOT,n
83,MOT,?
84,MOT,cop
84,MOT,det:dem
84,MOT,adj
84,MOT,n
85,CHI,adj
85,CHI,?
86,CHI,adj
86,CHI,?
87,CHI,adj
88,MOT,adj
88,MOT,pro:per
88,MOT,v
88,MOT,+//
89,MOT,adj
89,MOT,pro:per
89,MOT,v
89,MOT,+//
90,MOT,adj
90,MOT,pro:per
90,MOT,v
90,MOT,+//
91,MOT,det:num
91,MOT,n
91,MOT,?
92,MOT,det:num
92,MOT,n
92,MOT,?
93,MOT,det:num
93,MOT,n
94,MOT,pro:exist
94,MOT,qn
94,MOT,n
95,MOT,pro:exist
95,MOT,qn
95,MOT,n
96,MOT,pro:exist
96,MOT,qn
96,MOT,n
97,MOT,det:dem
97,MOT,adj
97,MOT,?
98,MOT,det:dem
98,MOT,adj
98,MOT,?
99,MOT,det:dem
99,MOT,adj
100,MOT,pro:int
100,MOT,cop
100,MOT,pro:dem
100,MOT,?
101,MOT,pro:int
101,MOT,cop
101,MOT,pro:dem
101,MOT,?
102,MOT,pro:int
102,MOT,cop
102,MOT,pro:dem
103,MOT,pro:exist
103,MOT,det:art
103,MOT,n
104,MOT,pro:exist
104,MOT,det:art
104,MOT,n
105,MOT,pro:exist
105,MOT,det:art
105,MOT,n
106,MOT,pro:per
106,MOT,v
106,MOT,?
107,MOT,pro:per
107,MOT,v
107,MOT,?
108,MOT,pro:per
108,MOT,v
109,MOT,n
109,MOT,prep
109,MOT,n
109,MOT,?
110,MOT,n
110,MOT,prep
110,MOT,n
110,MOT,?
111,MOT,n
111,MOT,prep
111,MOT,n
112,MOT,co
113,MOT,co
114,MOT,co
115,MOT,pro:dem
115,MOT,neg
115,MOT,prep
115,MOT,adj
115,MOT,?
116,MOT,pro:dem
116,MOT,neg
116,MOT,prep
116,MOT,adj
116,MOT,?
117,MOT,pro:dem
117,MOT,neg
117,MOT,prep
117,MOT,adj
