Turn,Speaker,POS
1,MOT,co
1,MOT,co
1,MOT,cop
1,MOT,comp
1,MOT,det:art
1,MOT,n
1,MOT,?
2,MOT,co
2,MOT,co
2,MOT,cop
2,MOT,comp
2,MOT,det:art
2,MOT,n
2,MOT,?
3,MOT,co
3,MOT,co
3,MOT,cop
3,MOT,comp
3,MOT,det:art
3,MOT,n
4,MOT,pro:sub
4,MOT,v
4,MOT,det:art
4,MOT,n
4,MOT,co
5,MOT,pro:sub
5,MOT,v
5,MOT,det:art
5,MOT,n
5,MOT,co
6,MOT,pro:sub
6,MOT,v
6,MOT,det:art
6,MOT,n
6,MOT,co
7,MOT,v
7,MOT,det:art
7,MOT,n
7,MOT,?
8,MOT,v
8,MOT,det:art
8,MOT,n
8,MOT,?
9,MOT,v
9,MOT,det:art
9,MOT,n
10,MOT,v
10,MOT,pro:int
10,MOT,post
10,MOT,pro:sub
10,MOT,v
11,MOT,v
11,MOT,pro:int
11,MOT,post
11,MOT,pro:sub
11,MOT,v
12,MOT,v
12,MOT,pro:int
12,MOT,post
12,MOT,pro:sub
12,MOT,v
13,MOT,mod
13,MOT,pro:per
13,MOT,v
13,MOT,inf
13,MOT,v
13,MOT,det:art
13,MOT,n
13,MOT,?
14,MOT,mod
14,MOT,pro:per
14,MOT,v
14,MOT,inf
14,MOT,v
14,MOT,det:art
14,MOT,n
14,MOT,?
15,MOT,mod
15,MOT,pro:per
15,MOT,v
15,MOT,inf
15,MOT,v
15,MOT,det:art
15,MOT,n
16,MOT,pro:exist
16,MOT,det:art
16,MOT,n
17,MOT,pro:exist
17,MOT,det:art
17,MOT,n
18,MOT,pro:exist
18,MOT,det:art
18,MOT,n
19,MOT,pro:per
19,MOT,v
19,MOT,n:prop
19,MOT,n
19,MOT,v
19,MOT,!
20,MOT,pro:per
20,MOT,v
20,MOT,n:prop
20,MOT,n
20,MOT,v
21,MOT,pro:per
21,MOT,v
21,MOT,n:prop
21,MOT,n
21,MOT,v
22,MOT,mod
22,MOT,pro:per
22,MOT,?
23,MOT,mod
23,MOT,pro:per
23,MOT,?
24,MOT,mod
24,MOT,pro:per
25,MOT,v
25,MOT,pro:per
25,MOT,inf
25,MOT,v
25,MOT,det:art
25,MOT,n
26,MOT,v
26,MOT,pro:per
26,MOT,inf
26,MOT,v
26,MOT,det:art
26,MOT,n
27,MOT,v
27,MOT,pro:per
27,MOT,inf
27,MOT,v
27,MOT,det:art
27,MOT,n
28,MOT,co
28,MOT,co
28,MOT,pro:per
28,MOT,co
28,MOT,n
29,MOT,co
29,MOT,co
29,MOT,pro:per
29,MOT,co
29,MOT,n
30,MOT,co
30,MOT,co
30,MOT,pro:per
30,MOT,co
30,MOT,n
31,MOT,co
31,MOT,det:art
31,MOT,adj
31,MOT,v
31,MOT,n:prop
32,MOT,co
32,MOT,det:art
32,MOT,adj
32,MOT,v
32,MOT,n:prop
33,MOT,co
33,MOT,det:art
33,MOT,adj
33,MOT,v
33,MOT,n:prop
34,MOT,pro:sub
34,MOT,mod
34,MOT,v
34,MOT,prep
34,MOT,det:art
34,MOT,n
35,MOT,pro:sub
35,MOT,mod
35,MOT,v
35,MOT,prep
35,MOT,det:art
35,MOT,n
36,MOT,pro:sub
36,MOT,mod
36,MOT,v
36,MOT,prep
36,MOT,det:art
36,MOT,n
37,MOT,pro:sub
37,MOT,mod
37,MOT,v
37,MOT,v
37,MOT,v
38,MOT,pro:sub
38,MOT,mod
38,MOT,v
38,MOT,v
38,MOT,v
39,MOT,pro:sub
39,MOT,mod
39,MOT,v
39,MOT,v
39,MOT,v
40,MOT,co
40,MOT,pro:rel
40,MOT,qn
40,MOT,n
40,MOT,?
41,MOT,co
41,MOT,pro:rel
41,MOT,qn
41,MOT,n
41,MOT,?
42,MOT,co
42,MOT,pro:rel
42,MOT,qn
42,MOT,n
43,MOT,prep
43,MOT,pro:obj
43,MOT,?
44,MOT,prep
44,MOT,pro:obj
44,MOT,?
45,MOT,prep
45,MOT,pro:obj
46,MOT,v
46,MOT,pro:per
47,MOT,v
47,MOT,pro:per
48,MOT,v
48,MOT,pro:per
49,MOT,v
49,MOT,pro:per
50,MOT,v
50,MOT,pro:per
51,MOT,v
51,MOT,pro:per
52,MOT,pro:per
52,MOT,part
52,MOT,v
52,MOT,pro:dem
52,MOT,?
53,MOT,pro:per
53,MOT,part
53,MOT,v
53,MOT,pro:dem
53,MOT,?
54,MOT,pro:per
54,MOT,part
54,MOT,v
54,MOT,pro:dem
55,MOT,co
55,MOT,mod
55,MOT,pro:per
55,MOT,v
55,MOT,pro:per
55,MOT,adv
55,MOT,?
56,MOT,co
56,MOT,mod
56,MOT,pro:per
56,MOT,v
56,MOT,pro:per
56,MOT,adv
56,MOT,?
57,MOT,co
57,MOT,mod
57,MOT,pro:per
57,MOT,v
57,MOT,pro:per
57,MOT,adv
58,MOT,co
58,MOT,co
58,MOT,co
59,MOT,co
59,MOT,co
59,MOT,co
60,MOT,co
60,MOT,co
60,MOT,co
61,MOT,pro:dem
61,MOT,mod
61,MOT,v
61,MOT,adv
61,MOT,adj
62,MOT,pro:dem
62,MOT,mod
62,MOT,v
62,MOT,adv
62,MOT,adj
63,MOT,pro:dem
63,MOT,mod
63,MOT,v
63,MOT,adv
63,MOT,adj
64,MOT,pro:per
64,MOT,neg
64,MOT,adj
64,MOT,n
65,MOT,pro:per
65,MOT,neg
65,MOT,adj
65,MOT,n
66,MOT,pro:per
66,MOT,neg
66,MOT,adj
66,MOT,n
67,MOT,pro:per
67,MOT,adj
67,MOT,prep
67,MOT,n
67,MOT,prep
68,MOT,pro:per
68,MOT,adj
68,MOT,prep
68,MOT,n
68,MOT,prep
69,MOT,pro:per
69,MOT,adj
69,MOT,prep
69,MOT,n
69,MOT,prep
70,MOT,co
70,MOT,pro:sub
70,MOT,pro:int
70,MOT,post
70,MOT,pro:sub
70,MOT,v
71,MOT,co
71,MOT,pro:sub
71,MOT,pro:int
71,MOT,post
71,MOT,pro:sub
71,MOT,v
72,MOT,co
72,MOT,pro:sub
72,MOT,pro:int
72,MOT,post
72,MOT,pro:sub
72,MOT,v
73,MOT,co
73,MOT,n
73,MOT,v
73,MOT,prep
73,MOT,n
74,MOT,co
74,MOT,n
74,MOT,v
74,MOT,prep
74,MOT,n
75,MOT,co
75,MOT,n
75,MOT,v
75,MOT,prep
75,MOT,n
76,MOT,pro:per
76,MOT,v
76,MOT,qn
76,MOT,adj
76,MOT,n
76,MOT,?
77,MOT,pro:per
77,MOT,v
77,MOT,qn
77,MOT,adj
77,MOT,n
77,MOT,?
78,MOT,pro:per
78,MOT,v
78,MOT,qn
78,MOT,adj
78,MOT,n
79,MOT,pro:per
79,MOT,v
79,MOT,prep
79,MOT,n
80,MOT,pro:per
80,MOT,v
80,MOT,prep
80,MOT,n
81,MOT,pro:per
81,MOT,v
81,MOT,prep
81,MOT,n
82,MOT,co
82,MOT,pro:per
82,MOT,v
83,MOT,co
83,MOT,pro:per
83,MOT,v
84,MOT,co
84,MOT,pro:per
84,MOT,v
85,MOT,cop
85,MOT,det:dem
85,MOT,adj
85,MOT,?
86,MOT,cop
86,MOT,det:dem
86,MOT,adj
86,MOT,?
87,MOT,cop
87,MOT,det:dem
87,MOT,adj
88,MOT,co
89,MOT,co
90,MOT,co
91,MOT,co
91,MOT,co
92,MOT,co
92,MOT,co
93,MOT,co
93,MOT,co
94,MOT,pro:per
94,MOT,v
94,MOT,n
94,MOT,part
94,MOT,inf
94,MOT,v
95,MOT,pro:per
95,MOT,v
95,MOT,n
95,MOT,part
95,MOT,inf
95,MOT,v
96,MOT,pro:per
96,MOT,v
96,MOT,n
96,MOT,part
96,MOT,inf
96,MOT,v
97,MOT,co
97,MOT,pro:per
97,MOT,det:art
97,MOT,adj
97,MOT,n
98,MOT,co
98,MOT,pro:per
98,MOT,det:art
98,MOT,adj
98,MOT,n
99,MOT,co
99,MOT,pro:per
99,MOT,det:art
99,MOT,adj
99,MOT,n
100,MOT,pro:per
100,MOT,v
100,MOT,prep
100,MOT,det:poss
100,MOT,adj
100,MOT,n
101,MOT,pro:per
101,MOT,v
101,MOT,prep
101,MOT,det:poss
101,MOT,adj
101,MOT,n
102,MOT,pro:per
102,MOT,v
102,MOT,prep
102,MOT,det:poss
102,MOT,adj
102,MOT,n
103,MOT,pro:per
103,MOT,neg
103,MOT,part
103,MOT,v
104,MOT,pro:per
104,MOT,neg
104,MOT,part
104,MOT,v
105,MOT,pro:per
105,MOT,neg
105,MOT,part
105,MOT,v
106,MOT,pro:per
106,MOT,v
106,MOT,det:art
106,MOT,n
106,MOT,?
107,MOT,pro:per
107,MOT,v
107,MOT,det:art
107,MOT,n
107,MOT,?
108,MOT,pro:per
108,MOT,v
108,MOT,det:art
108,MOT,n
109,MOT,pro:per
109,MOT,part
109,MOT,v
109,MOT,det:art
110,MOT,pro:per
110,MOT,part
110,MOT,v
110,MOT,det:art
111,MOT,pro:per
111,MOT,part
111,MOT,v
111,MOT,det:art
112,MOT,co
112,MOT,co
112,MOT,det:art
112,MOT,n
112,MOT,?
113,MOT,co
113,MOT,co
113,MOT,det:art
113,MOT,n
113,MOT,?
114,MOT,co
114,MOT,co
114,MOT,det:art
114,MOT,n
115,MOT,co
115,MOT,aux
115,MOT,pro:per
115,MOT,adj
115,MOT,?
116,MOT,co
116,MOT,aux
116,MOT,pro:per
116,MOT,adj
116,MOT,?
117,MOT,co
117,MOT,aux
117,MOT,pro:per
117,MOT,adj
118,MOT,pro:per
