Turn,Speaker,POS
1,MOT,aux
1,MOT,pro:per
1,MOT,det:art
1,MOT,n
1,MOT,?
2,MOT,aux
2,MOT,pro:per
2,MOT,det:art
2,MOT,n
2,MOT,?
3,MOT,aux
3,MOT,pro:per
3,MOT,det:art
3,MOT,n
4,MOT,cop
4,MOT,comp
4,MOT,det:art
4,MOT,n
4,MOT,?
5,MOT,cop
5,MOT,comp
5,MOT,det:art
5,MOT,n
5,MOT,?
6,MOT,cop
6,MOT,comp
6,MOT,det:art
6,MOT,n
7,MOT,co
7,MOT,pro:per
7,MOT,part
7,MOT,det:art
7,MOT,n
7,MOT,?
8,MOT,co
8,MOT,pro:per
8,MOT,part
8,MOT,det:art
8,MOT,n
8,MOT,?
9,MOT,co
9,MOT,pro:per
9,MOT,part
9,MOT,det:art
9,MOT,n
10,MOT,co
10,MOT,pro:dem
10,MOT,part
10,MOT,!
11,MOT,co
11,MOT,pro:dem
11,MOT,part
12,MOT,co
12,MOT,pro:dem
12,MOT,part
13,MOT,aux
13,MOT,pro:per
13,MOT,adj
13,MOT,?
14,MOT,aux
14,MOT,pro:per
14,MOT,adj
14,MOT,?
15,MOT,aux
15,MOT,pro:per
15,MOT,adj
16,MOT,aux
16,MOT,pro:per
16,MOT,adj
16,MOT,?
17,MOT,aux
17,MOT,pro:per
17,MOT,adj
17,MOT,?
18,MOT,aux
18,MOT,pro:per
18,MOT,adj
19,MOT,co
19,MOT,pro:per
19,MOT,conj
19,MOT,det:poss
19,MOT,n
19,MOT,prep
20,MOT,co
20,MOT,pro:per
20,MOT,conj
20,MOT,det:poss
20,MOT,n
20,MOT,prep
21,MOT,co
21,MOT,pro:per
21,MOT,conj
21,MOT,det:poss
21,MOT,n
21,MOT,prep
22,MOT,pro:per
22,MOT,v
22,MOT,v
22,MOT,prep
22,MOT,det:dem
22,MOT,n
22,MOT,?
23,MOT,pro:per
23,MOT,v
23,MOT,v
23,MOT,prep
23,MOT,det:dem
23,MOT,n
23,MOT,?
24,MOT,pro:per
24,MOT,v
24,MOT,v
24,MOT,prep
24,MOT,det:dem
24,MOT,n
25,MOT,co
25,MOT,pro:per
25,MOT,adv
25,MOT,mod
25,MOT,v
25,MOT,pro:int
26,MOT,co
26,MOT,pro:per
26,MOT,adv
26,MOT,mod
26,MOT,v
26,MOT,pro:int
27,MOT,co
27,MOT,pro:per
27,MOT,adv
27,MOT,mod
27,MOT,v
27,MOT,pro:int
28,MOT,pro:int
28,MOT,mod
28,MOT,pro:per
28,MOT,v
28,MOT,?
29,MOT,pro:int
29,MOT,mod
29,MOT,pro:per
29,MOT,v
29,MOT,?
30,MOT,pro:int
30,MOT,mod
30,MOT,pro:per
30,MOT,v
31,MOT,co
31,MOT,prep
31,MOT,det:dem
31,MOT,adj
31,MOT,n
31,MOT,v
31,MOT,n
32,MOT,co
32,MOT,prep
32,MOT,det:dem
32,MOT,adj
32,MOT,n
32,MOT,v
32,MOT,n
33,MOT,co
33,MOT,prep
33,MOT,det:dem
33,MOT,adj
33,MOT,n
33,MOT,v
33,MOT,n
34,MOT,v
34,MOT,v
34,MOT,det:art
34,MOT,n
34,MOT,?
35,MOT,v
35,MOT,v
35,MOT,det:art
35,MOT,n
35,MOT,?
36,MOT,v
36,MOT,v
36,MOT,det:art
36,MOT,n
37,MOT,pro:sub
37,MOT,v
37,MOT,comp
38,MOT,pro:sub
38,MOT,v
38,MOT,comp
39,MOT,pro:sub
39,MOT,v
39,MOT,comp
40,MOT,co
40,MOT,pro:per
40,MOT,v
40,MOT,pro:per
40,MOT,adv
40,MOT,?
41,MOT,co
41,MOT,pro:per
41,MOT,v
41,MOT,pro:per
41,MOT,adv
41,MOT,?
42,MOT,co
42,MOT,pro:per
42,MOT,v
42,MOT,pro:per
42,MOT,adv
43,MOT,v
43,MOT,pro:per
44,MOT,v
44,MOT,pro:per
45,MOT,v
45,MOT,pro:per
46,MOT,pro:per
46,MOT,v
46,MOT,v
46,MOT,pro:per
46,MOT,?
47,MOT,pro:per
47,MOT,v
47,MOT,v
47,MOT,pro:per
47,MOT,?
48,MOT,pro:per
48,MOT,v
48,MOT,v
48,MOT,pro:per
49,MOT,co
50,MOT,co
51,MOT,co
52,MOT,co
52,MOT,cop
52,MOT,pro:per
52,MOT,part
52,MOT,v
53,MOT,co
53,MOT,cop
53,MOT,pro:per
53,MOT,part
53,MOT,v
54,MOT,co
54,MOT,cop
54,MOT,pro:per
54,MOT,part
54,MOT,v
55,MOT,v
55,MOT,det:art
55,MOT,n
55,MOT,?
56,MOT,v
56,MOT,det:art
56,MOT,n
56,MOT,?
57,MOT,v
57,MOT,det:art
57,MOT,n
58,MOT,pro:per
58,MOT,v
58,MOT,v
58,MOT,det:dem
58,MOT,adj
59,MOT,pro:per
59,MOT,v
59,MOT,v
59,MOT,det:dem
59,MOT,adj
60,MOT,pro:per
60,MOT,v
60,MOT,v
60,MOT,det:dem
60,MOT,adj
61,MOT,co
61,MOT,?
62,MOT,co
62,MOT,?
63,MOT,co
64,MOT,adv
64,MOT,pro:per
64,MOT,v
65,MOT,adv
65,MOT,pro:per
65,MOT,v
66,MOT,adv
66,MOT,pro:per
66,MOT,v
67,MOT,v
67,MOT,det:art
67,MOT,n
67,MOT,?
68,MOT,v
68,MOT,det:art
68,MOT,n
68,MOT,?
69,MOT,v
69,MOT,det:art
69,MOT,n
70,MOT,co
71,MOT,co
72,MOT,co
73,MOT,pro:exist
73,MOT,det:art
73,MOT,n
74,MOT,pro:exist
74,MOT,det:art
74,MOT,n
75,MOT,pro:exist
75,MOT,det:art
75,MOT,n
76,MOT,co
76,MOT,aux
76,MOT,pro:per
76,MOT,v
76,MOT,n:prop
76,MOT,conj
77,MOT,co
77,MOT,aux
77,MOT,pro:per
77,MOT,v
77,MOT,n:prop
77,MOT,conj
78,MOT,co
78,MOT,aux
78,MOT,pro:per
78,MOT,v
78,MOT,n:prop
78,MOT,conj
79,MOT,pro:int
79,MOT,pro:dem
79,MOT,?
80,MOT,pro:int
80,MOT,pro:dem
80,MOT,?
81,MOT,pro:int
81,MOT,pro:dem
82,MOT,co
82,MOT,?
