Turn,Speaker,POS
1,MOT,co
1,MOT,?
2,MOT,co
2,MOT,?
3,MOT,co
4,MOT,pro:int
4,MOT,mod
4,MOT,pro:per
4,MOT,v
4,MOT,pro:per
4,MOT,adv
5,MOT,pro:int
5,MOT,mod
5,MOT,pro:per
5,MOT,v
5,MOT,pro:per
5,MOT,adv
6,MOT,pro:int
6,MOT,mod
6,MOT,pro:per
6,MOT,v
6,MOT,pro:per
6,MOT,adv
7,MOT,co
7,MOT,co
7,MOT,n
7,MOT,!
8,MOT,co
8,MOT,co
8,MOT,n
9,MOT,co
9,MOT,co
9,MOT,n
10,MOT,co
10,MOT,n
10,MOT,!
11,MOT,co
11,MOT,n
12,MOT,co
12,MOT,n
13,MOT,co
13,MOT,n
13,MOT,!
14,MOT,co
14,MOT,n
15,MOT,co
15,MOT,n
16,MOT,co
16,MOT,!
17,MOT,co
18,MOT,co
19,MOT,v
19,MOT,?
20,MOT,v
20,MOT,?
21,MOT,v
22,MOT,co
22,MOT,co
22,MOT,n
22,MOT,!
23,MOT,co
23,MOT,co
23,MOT,n
24,MOT,co
24,MOT,co
24,MOT,n
25,MOT,co
25,MOT,adj
25,MOT,n
25,MOT,mod
25,MOT,v
25,MOT,det:poss
26,MOT,co
26,MOT,adj
26,MOT,n
26,MOT,mod
26,MOT,v
26,MOT,det:poss
27,MOT,co
27,MOT,adj
27,MOT,n
27,MOT,mod
27,MOT,v
27,MOT,det:poss
28,MOT,co
29,MOT,co
30,MOT,co
31,MOT,pro:per
31,MOT,v
31,MOT,v
31,MOT,det:art
31,MOT,n
31,MOT,det:art
32,MOT,pro:per
32,MOT,v
32,MOT,v
32,MOT,det:art
32,MOT,n
32,MOT,det:art
33,MOT,pro:per
33,MOT,v
33,MOT,v
33,MOT,det:art
33,MOT,n
33,MOT,det:art
34,MOT,co
35,MOT,co
36,MOT,co
37,MOT,v
37,MOT,pro:per
37,MOT,v
37,MOT,det:art
37,MOT,n
37,MOT,det:art
37,MOT,n
38,MOT,v
38,MOT,pro:per
38,MOT,v
38,MOT,det:art
38,MOT,n
38,MOT,det:art
38,MOT,n
39,MOT,v
