Turn,Speaker,POS
1,MOT,pro:int
1,MOT,pro:per
1,MOT,v
1,MOT,adv
1,MOT,?
2,MOT,pro:int
2,MOT,pro:per
2,MOT,v
2,MOT,adv
2,MOT,?
3,MOT,pro:int
3,MOT,pro:per
3,MOT,v
3,MOT,adv
4,EXP,pro:dem
4,EXP,cop
4,EXP,n
4,EXP,det:num
4,EXP,det:num
5,EXP,pro:dem
5,EXP,cop
5,EXP,n
5,EXP,det:num
5,EXP,det:num
6,EXP,pro:dem
6,EXP,cop
6,EXP,n
6,EXP,det:num
6,EXP,det:num
7,EXP,pro:dem
7,EXP,cop
7,EXP,det:poss
7,EXP,adj
7,EXP,n
8,EXP,pro:dem
8,EXP,cop
8,EXP,det:poss
8,EXP,adj
8,EXP,n
9,EXP,pro:dem
9,EXP,cop
9,EXP,det:poss
9,EXP,adj
9,EXP,n
10,EXP,adv:tem
10,EXP,cop
10,EXP,n:prop
10,EXP,adj
10,EXP,det:num
11,EXP,adv:tem
11,EXP,cop
11,EXP,n:prop
11,EXP,adj
11,EXP,det:num
12,EXP,adv:tem
12,EXP,cop
12,EXP,n:prop
12,EXP,adj
12,EXP,det:num
13,EXP,pro:sub
13,EXP,adv
13,EXP,part
13,EXP,v
14,EXP,pro:sub
14,EXP,adv
14,EXP,part
14,EXP,v
15,EXP,pro:sub
15,EXP,adv
15,EXP,part
15,EXP,v
16,MOT,co
16,MOT,co
16,MOT,co
17,MOT,co
17,MOT,co
17,MOT,co
18,MOT,co
18,MOT,co
18,MOT,co
19,MOT,cop
19,MOT,det:dem
19,MOT,adj
19,MOT,?
20,MOT,cop
20,MOT,det:dem
20,MOT,adj
20,MOT,?
21,MOT,cop
21,MOT,det:dem
21,MOT,adj
22,EXP,co
23,EXP,co
24,EXP,co
25,MOT,co
26,MOT,co
27,MOT,co
28,MOT,pro:int
28,MOT,pro:per
28,MOT,v
28,MOT,n:prop
28,MOT,?
29,MOT,pro:int
29,MOT,pro:per
29,MOT,v
29,MOT,n:prop
29,MOT,?
30,MOT,pro:int
30,MOT,pro:per
30,MOT,v
30,MOT,n:prop
31,MOT,n
31,MOT,?
32,MOT,n
32,MOT,?
33,MOT,n
34,MOT,mod
34,MOT,pro:per
34,MOT,v
34,MOT,n
34,MOT,?
35,MOT,mod
35,MOT,pro:per
35,MOT,v
35,MOT,n
35,MOT,?
36,MOT,mod
36,MOT,pro:per
36,MOT,v
36,MOT,n
37,MOT,n
37,MOT,?
38,MOT,n
38,MOT,?
39,MOT,n
40,MOT,pro:per
40,MOT,v
40,MOT,n
40,MOT,?
41,MOT,pro:per
41,MOT,v
41,MOT,n
41,MOT,?
42,MOT,pro:per
42,MOT,v
42,MOT,n
43,MOT,pro:sub
43,MOT,v
43,MOT,adj
43,MOT,n
43,MOT,mod
43,MOT,pro:sub
44,MOT,pro:sub
44,MOT,v
44,MOT,adj
44,MOT,n
44,MOT,mod
44,MOT,pro:sub
45,MOT,pro:sub
45,MOT,v
45,MOT,adj
45,MOT,n
45,MOT,mod
45,MOT,pro:sub
46,MOT,cop
46,MOT,pro:dem
46,MOT,det:art
46,MOT,n
46,MOT,?
47,MOT,cop
47,MOT,pro:dem
47,MOT,det:art
47,MOT,n
47,MOT,?
48,MOT,cop
48,MOT,pro:dem
48,MOT,det:art
48,MOT,n
49,MOT,co
49,MOT,?
50,MOT,co
50,MOT,?
51,MOT,co
52,MOT,n
52,MOT,?
53,MOT,n
53,MOT,?
54,MOT,n
55,MOT,cop
55,MOT,comp
55,MOT,n
55,MOT,?
56,MOT,cop
56,MOT,comp
56,MOT,n
56,MOT,?
57,MOT,cop
57,MOT,comp
57,MOT,n
58,MOT,v
59,MOT,v
60,MOT,v
61,MOT,v
61,MOT,prep
61,MOT,pro:dem
62,MOT,v
62,MOT,prep
62,MOT,pro:dem
63,MOT,v
63,MOT,prep
63,MOT,pro:dem
64,MOT,cop
64,MOT,comp
64,MOT,det:art
64,MOT,adj
64,MOT,n
64,MOT,prep
65,MOT,cop
65,MOT,comp
65,MOT,det:art
65,MOT,adj
65,MOT,n
65,MOT,prep
66,MOT,cop
66,MOT,comp
66,MOT,det:art
66,MOT,adj
66,MOT,n
66,MOT,prep
67,MOT,v
67,MOT,prep
67,MOT,pro:dem
68,MOT,v
68,MOT,prep
68,MOT,pro:dem
69,MOT,v
69,MOT,prep
69,MOT,pro:dem
70,MOT,n
70,MOT,?
71,MOT,n
71,MOT,?
72,MOT,n
73,MOT,pro:int
73,MOT,qn
73,MOT,n
73,MOT,prep
73,MOT,n
73,MOT,cop
73,MOT,adv
74,MOT,pro:int
74,MOT,qn
74,MOT,n
74,MOT,prep
74,MOT,n
74,MOT,cop
74,MOT,adv
75,MOT,pro:int
75,MOT,qn
75,MOT,n
75,MOT,prep
75,MOT,n
75,MOT,cop
75,MOT,adv
76,MOT,qn
76,MOT,n
77,MOT,qn
77,MOT,n
78,MOT,qn
78,MOT,n
79,MOT,co
79,MOT,adj
79,MOT,v
79,MOT,det:num
79,MOT,n
80,MOT,co
80,MOT,adj
80,MOT,v
80,MOT,det:num
80,MOT,n
81,MOT,co
81,MOT,adj
81,MOT,v
81,MOT,det:num
81,MOT,n
82,MOT,co
83,MOT,co
84,MOT,co
85,MOT,pro:int
85,MOT,qn
85,MOT,n
85,MOT,v
85,MOT,pro:per
85,MOT,v
85,MOT,?
86,MOT,pro:int
86,MOT,qn
86,MOT,n
86,MOT,v
86,MOT,pro:per
86,MOT,v
86,MOT,?
87,MOT,pro:int
87,MOT,qn
87,MOT,n
87,MOT,v
87,MOT,pro:per
87,MOT,v
88,MOT,co
88,MOT,!
89,MOT,co
90,MOT,co
91,MOT,mod
91,MOT,pro:per
91,MOT,v
91,MOT,pro:obj
91,MOT,post
91,MOT,?
92,MOT,mod
92,MOT,pro:per
92,MOT,v
92,MOT,pro:obj
92,MOT,post
92,MOT,?
93,MOT,mod
93,MOT,pro:per
93,MOT,v
93,MOT,pro:obj
93,MOT,post
94,MOT,v
94,MOT,pro:per
95,MOT,v
95,MOT,pro:per
96,MOT,v
96,MOT,pro:per
97,MOT,pro:int
97,MOT,post
97,MOT,aux
97,MOT,prep
97,MOT,n
97,MOT,?
98,MOT,pro:int
98,MOT,post
98,MOT,aux
98,MOT,prep
98,MOT,n
98,MOT,?
99,MOT,pro:int
99,MOT,post
99,MOT,aux
99,MOT,prep
99,MOT,n
100,MOT,pro:int
100,MOT,post
100,MOT,aux
100,MOT,prep
100,MOT,n
100,MOT,?
101,MOT,pro:int
101,MOT,post
101,MOT,aux
101,MOT,prep
101,MOT,n
101,MOT,?
102,MOT,pro:int
102,MOT,post
102,MOT,aux
102,MOT,prep
102,MOT,n
103,MOT,pro:per
103,MOT,v
103,MOT,det:art
103,MOT,n
103,MOT,?
104,MOT,pro:per
104,MOT,v
104,MOT,det:art
104,MOT,n
104,MOT,?
105,MOT,pro:per
105,MOT,v
105,MOT,det:art
105,MOT,n
106,MOT,n
106,MOT,?
107,MOT,n
107,MOT,?
108,MOT,n
109,MOT,n
109,MOT,?
110,MOT,n
110,MOT,?
111,MOT,n
112,CHI,co
113,CHI,co
114,CHI,co
115,MOT,co
115,MOT,!
116,MOT,co
117,MOT,co
118,MOT,co
119,MOT,co
120,MOT,co
121,MOT,cop
121,MOT,det:dem
121,MOT,part
121,MOT,+//
122,MOT,cop
122,MOT,det:dem
122,MOT,part
122,MOT,+//
123,MOT,cop
123,MOT,det:dem
123,MOT,part
123,MOT,+//
124,MOT,co
125,MOT,co
126,MOT,co
127,MOT,pro:per
127,MOT,v
127,MOT,det:poss
127,MOT,n
128,MOT,pro:per
128,MOT,v
128,MOT,det:poss
128,MOT,n
129,MOT,pro:per
129,MOT,v
129,MOT,det:poss
129,MOT,n
130,MOT,pro:per
130,MOT,part
130,MOT,n:prop
131,MOT,pro:per
131,MOT,part
131,MOT,n:prop
132,MOT,pro:per
132,MOT,part
132,MOT,n:prop
133,MOT,pro:int
133,MOT,adv
133,MOT,prep
133,MOT,det:poss
133,MOT,n
133,MOT,?
134,MOT,pro:int
134,MOT,adv
134,MOT,prep
134,MOT,det:poss
134,MOT,n
134,MOT,?
135,MOT,pro:int
135,MOT,adv
135,MOT,prep
135,MOT,det:poss
135,MOT,n
136,MOT,pro:int
136,MOT,adv
136,MOT,prep
136,MOT,det:poss
136,MOT,n
136,MOT,?
137,MOT,pro:int
137,MOT,adv
137,MOT,prep
137,MOT,det:poss
137,MOT,n
137,MOT,?
138,MOT,pro:int
138,MOT,adv
138,MOT,prep
138,MOT,det:poss
138,MOT,n
139,MOT,pro:per
139,MOT,adv
139,MOT,adj
139,MOT,cop
140,MOT,pro:per
140,MOT,adv
140,MOT,adj
140,MOT,cop
141,MOT,pro:per
141,MOT,adv
141,MOT,adj
141,MOT,cop
142,MOT,pro:per
142,MOT,v
142,MOT,adj
143,MOT,pro:per
143,MOT,v
143,MOT,adj
144,MOT,pro:per
144,MOT,v
144,MOT,adj
145,MOT,pro:per
145,MOT,v
145,MOT,det:art
145,MOT,n
