Turn,Speaker,POS
1,EXP,n
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,co
2,EXP,n
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,co
3,EXP,n
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,co
4,EXP,co
4,EXP,co
4,EXP,adv
4,EXP,det:dem
4,EXP,mod
5,EXP,co
5,EXP,co
5,EXP,adv
5,EXP,det:dem
5,EXP,mod
6,EXP,co
6,EXP,co
6,EXP,adv
6,EXP,det:dem
6,EXP,mod
7,MOT,co
8,MOT,co
9,MOT,co
10,MOT,co
10,MOT,n
10,MOT,pro:int
10,MOT,mod
10,MOT,pro:per
10,MOT,v
11,MOT,co
11,MOT,n
11,MOT,pro:int
11,MOT,mod
11,MOT,pro:per
11,MOT,v
12,MOT,co
12,MOT,n
12,MOT,pro:int
12,MOT,mod
12,MOT,pro:per
12,MOT,v
13,MOT,v
13,MOT,pro:sub
13,MOT,v
13,MOT,det:art
13,MOT,n
14,MOT,v
14,MOT,pro:sub
14,MOT,v
14,MOT,det:art
14,MOT,n
15,MOT,v
15,MOT,pro:sub
15,MOT,v
15,MOT,det:art
15,MOT,n
16,MOT,pro:int
16,MOT,cop
16,MOT,det:dem
16,MOT,n
16,MOT,?
17,MOT,pro:int
17,MOT,cop
17,MOT,det:dem
17,MOT,n
17,MOT,?
18,MOT,pro:int
18,MOT,cop
18,MOT,det:dem
18,MOT,n
19,MOT,co
19,MOT,n
19,MOT,n:prop
20,MOT,co
20,MOT,n
20,MOT,n:prop
21,MOT,co
21,MOT,n
21,MOT,n:prop
22,MOT,mod
22,MOT,pro:per
22,MOT,cop
22,MOT,det:poss
22,MOT,n
22,MOT,?
23,MOT,mod
23,MOT,pro:per
23,MOT,cop
23,MOT,det:poss
23,MOT,n
23,MOT,?
24,MOT,mod
24,MOT,pro:per
24,MOT,cop
24,MOT,det:poss
24,MOT,n
25,MOT,mod
25,MOT,pro:per
25,MOT,cop
25,MOT,det:poss
25,MOT,n
25,MOT,?
26,MOT,mod
26,MOT,pro:per
26,MOT,cop
26,MOT,det:poss
26,MOT,n
26,MOT,?
27,MOT,mod
27,MOT,pro:per
27,MOT,cop
27,MOT,det:poss
27,MOT,n
28,MOT,mod
28,MOT,pro:per
28,MOT,cop
28,MOT,det:poss
28,MOT,n
28,MOT,?
29,MOT,mod
29,MOT,pro:per
29,MOT,cop
29,MOT,det:poss
29,MOT,n
29,MOT,?
30,MOT,mod
30,MOT,pro:per
30,MOT,cop
30,MOT,det:poss
30,MOT,n
31,MOT,v
31,MOT,aux
31,MOT,n
32,MOT,v
32,MOT,aux
32,MOT,n
33,MOT,v
33,MOT,aux
33,MOT,n
34,MOT,pro:sub
34,MOT,neg
34,MOT,part
34,MOT,v
34,MOT,qn
35,MOT,pro:sub
35,MOT,neg
35,MOT,part
35,MOT,v
35,MOT,qn
36,MOT,pro:sub
36,MOT,neg
36,MOT,part
36,MOT,v
36,MOT,qn
37,MOT,co
38,MOT,co
39,MOT,co
40,MOT,co
40,MOT,!
41,MOT,co
42,MOT,co
43,MOT,v
43,MOT,v
43,MOT,pro:obj
43,MOT,n
43,MOT,?
44,MOT,v
44,MOT,v
44,MOT,pro:obj
44,MOT,n
44,MOT,?
45,MOT,v
45,MOT,v
45,MOT,pro:obj
45,MOT,n
46,MOT,co
47,MOT,co
48,MOT,co
49,MOT,co
49,MOT,n:prop
50,MOT,co
50,MOT,n:prop
51,MOT,co
51,MOT,n:prop
52,MOT,mod
52,MOT,pro:per
52,MOT,v
52,MOT,det:poss
52,MOT,n
52,MOT,?
53,MOT,mod
53,MOT,pro:per
53,MOT,v
53,MOT,det:poss
53,MOT,n
53,MOT,?
54,MOT,mod
54,MOT,pro:per
54,MOT,v
54,MOT,det:poss
54,MOT,n
55,MOT,v
55,MOT,det:poss
55,MOT,n
56,MOT,v
56,MOT,det:poss
56,MOT,n
57,MOT,v
57,MOT,det:poss
57,MOT,n
58,MOT,pro:per
