Turn,Speaker,POS
1,MOT,co
2,MOT,co
3,MOT,co
4,MOT,co
4,MOT,pro:per
4,MOT,det:art
4,MOT,n
4,MOT,!
5,MOT,co
5,MOT,pro:per
5,MOT,det:art
5,MOT,n
6,MOT,co
6,MOT,pro:per
6,MOT,det:art
6,MOT,n
7,MOT,n
8,MOT,n
9,MOT,n
10,MOT,n
11,MOT,n
12,MOT,n
13,MOT,n
14,MOT,n
15,MOT,n
16,MOT,co
16,MOT,?
17,MOT,co
17,MOT,?
18,MOT,co
19,MOT,pro:per
19,MOT,co
20,MOT,pro:per
20,MOT,co
21,MOT,pro:per
21,MOT,co
22,MOT,pro:per
22,MOT,adv
22,MOT,co
23,MOT,pro:per
23,MOT,adv
23,MOT,co
24,MOT,pro:per
24,MOT,adv
24,MOT,co
25,MOT,pro:per
25,MOT,v
25,MOT,pro:dem
25,MOT,!
26,MOT,pro:per
26,MOT,v
26,MOT,pro:dem
27,MOT,pro:per
27,MOT,v
27,MOT,pro:dem
28,MOT,n
28,MOT,!
29,MOT,n
30,MOT,n
31,MOT,v
31,MOT,det:art
31,MOT,n
31,MOT,?
32,MOT,v
32,MOT,det:art
32,MOT,n
32,MOT,?
33,MOT,v
33,MOT,det:art
33,MOT,n
34,MOT,v
34,MOT,det:art
34,MOT,n
35,MOT,v
35,MOT,det:art
35,MOT,n
36,MOT,v
36,MOT,det:art
36,MOT,n
37,MOT,adj
37,MOT,n
38,MOT,adj
38,MOT,n
39,MOT,adj
39,MOT,n
40,MOT,adv
41,MOT,adv
42,MOT,adv
43,MOT,n
43,MOT,part
44,MOT,n
44,MOT,part
45,MOT,n
45,MOT,part
46,MOT,adj
46,MOT,v
46,MOT,n:prop
47,MOT,adj
47,MOT,v
47,MOT,n:prop
48,MOT,adj
48,MOT,v
48,MOT,n:prop
49,MOT,n:prop
49,MOT,n
49,MOT,prep
49,MOT,det:art
49,MOT,n
49,MOT,!
50,MOT,n:prop
50,MOT,n
50,MOT,prep
50,MOT,det:art
