Turn,Speaker,POS
1,EXP,pro:dem
1,EXP,cop
1,EXP,n
1,EXP,det:num
1,EXP,det:num
2,EXP,pro:dem
2,EXP,cop
2,EXP,n
2,EXP,det:num
2,EXP,det:num
3,EXP,pro:dem
3,EXP,cop
3,EXP,n
3,EXP,det:num
3,EXP,det:num
4,EXP,adv:tem
4,EXP,cop
4,EXP,n:prop
4,EXP,det:num
4,EXP,adj
5,EXP,adv:tem
5,EXP,cop
5,EXP,n:prop
5,EXP,det:num
5,EXP,adj
6,EXP,adv:tem
6,EXP,cop
6,EXP,n:prop
6,EXP,det:num
6,EXP,adj
7,MOT,co
7,MOT,!
8,MOT,co
9,MOT,co
10,MOT,pro:per
10,MOT,v
10,MOT,v
10,MOT,prep
10,MOT,det:dem
10,MOT,n
10,MOT,?
11,MOT,pro:per
11,MOT,v
11,MOT,v
11,MOT,prep
11,MOT,det:dem
11,MOT,n
11,MOT,?
12,MOT,pro:per
12,MOT,v
12,MOT,v
12,MOT,prep
12,MOT,det:dem
12,MOT,n
13,MOT,pro:dem
13,MOT,cop
13,MOT,adj
13,MOT,n
13,MOT,prep
14,MOT,pro:dem
14,MOT,cop
14,MOT,adj
14,MOT,n
14,MOT,prep
15,MOT,pro:dem
15,MOT,cop
15,MOT,adj
15,MOT,n
15,MOT,prep
16,MOT,pro:int
16,MOT,mod
16,MOT,pro:per
16,MOT,v
16,MOT,adv
16,MOT,?
17,MOT,pro:int
17,MOT,mod
17,MOT,pro:per
17,MOT,v
17,MOT,adv
17,MOT,?
18,MOT,pro:int
18,MOT,mod
18,MOT,pro:per
18,MOT,v
18,MOT,adv
19,MOT,n
19,MOT,n
19,MOT,prep
19,MOT,det:art
19,MOT,n
20,MOT,n
20,MOT,n
20,MOT,prep
20,MOT,det:art
20,MOT,n
21,MOT,n
21,MOT,n
21,MOT,prep
21,MOT,det:art
21,MOT,n
22,MOT,pro:int
22,MOT,mod
22,MOT,pro:per
22,MOT,v
22,MOT,adv
22,MOT,?
23,MOT,pro:int
