Turn,Speaker,POS
1,EXP,pro:dem
1,EXP,cop
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,pro:dem
2,EXP,cop
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,pro:dem
3,EXP,cop
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,MOT,v
4,MOT,det:art
4,MOT,n
4,MOT,n
4,MOT,n
4,MOT,n:prop
4,MOT,?
5,MOT,v
5,MOT,det:art
5,MOT,n
5,MOT,n
5,MOT,n
5,MOT,n:prop
5,MOT,?
6,MOT,v
6,MOT,det:art
6,MOT,n
6,MOT,n
6,MOT,n
6,MOT,n:prop
7,MOT,pro:exist
7,MOT,det:poss
7,MOT,n
7,MOT,n
7,MOT,n
8,MOT,pro:exist
8,MOT,det:poss
8,MOT,n
8,MOT,n
8,MOT,n
9,MOT,pro:exist
9,MOT,det:poss
9,MOT,n
9,MOT,n
9,MOT,n
10,MOT,pro:int
10,MOT,det:art
10,MOT,n
10,MOT,?
11,MOT,pro:int
11,MOT,det:art
11,MOT,n
11,MOT,?
12,MOT,pro:int
12,MOT,det:art
12,MOT,n
13,MOT,adj
13,MOT,n
14,MOT,adj
14,MOT,n
15,MOT,adj
15,MOT,n
16,MOT,adj
16,MOT,n
17,MOT,adj
17,MOT,n
18,MOT,adj
18,MOT,n
19,MOT,n
20,MOT,n
21,MOT,n
22,MOT,co
22,MOT,det:poss
22,MOT,adj
22,MOT,n
22,MOT,v
22,MOT,co
22,MOT,co
22,MOT,+//
23,MOT,co
23,MOT,det:poss
23,MOT,adj
23,MOT,n
23,MOT,v
23,MOT,co
23,MOT,co
23,MOT,+//
24,MOT,co
24,MOT,det:poss
24,MOT,adj
24,MOT,n
24,MOT,v
24,MOT,co
24,MOT,co
24,MOT,+//
25,MOT,v
25,MOT,det:art
25,MOT,n
26,MOT,v
26,MOT,det:art
26,MOT,n
27,MOT,v
27,MOT,det:art
27,MOT,n
28,MOT,pro:sub
28,MOT,v
