Turn,Speaker,POS
1,EXP,n
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
1,EXP,det:num
2,EXP,n
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
2,EXP,det:num
3,EXP,n
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
3,EXP,det:num
4,EXP,n:prop
4,EXP,n
5,EXP,n:prop
5,EXP,n
6,EXP,n:prop
6,EXP,n
7,EXP,det:num
7,EXP,det:num
7,EXP,det:num
8,EXP,det:num
8,EXP,det:num
8,EXP,det:num
9,EXP,det:num
9,EXP,det:num
9,EXP,det:num
10,CHI,n
11,CHI,n
12,CHI,n
13,MOT,on
14,MOT,on
15,MOT,on
16,MOT,pro:dem
16,MOT,co
17,MOT,pro:dem
17,MOT,co
18,MOT,pro:dem
18,MOT,co
19,MOT,co
20,MOT,co
21,MOT,co
22,MOT,pro:per
22,MOT,v
22,MOT,det:art
22,MOT,adj
22,MOT,?
23,MOT,pro:per
23,MOT,v
23,MOT,det:art
23,MOT,adj
23,MOT,?
24,MOT,pro:per
24,MOT,v
24,MOT,det:art
24,MOT,adj
25,MOT,mod
25,MOT,pro:dem
25,MOT,v
25,MOT,adj
25,MOT,?
26,MOT,mod
26,MOT,pro:dem
26,MOT,v
26,MOT,adj
26,MOT,?
27,MOT,mod
27,MOT,pro:dem
27,MOT,v
27,MOT,adj
28,MOT,co
29,MOT,co
30,MOT,co
31,MOT,adv
31,MOT,mod
31,MOT,v
31,MOT,adv
31,MOT,adj
32,MOT,adv
32,MOT,mod
32,MOT,v
32,MOT,adv
32,MOT,adj
33,MOT,adv
33,MOT,mod
33,MOT,v
33,MOT,adv
33,MOT,adj
34,MOT,n
34,MOT,prep
34,MOT,det:art
34,MOT,n
35,MOT,n
35,MOT,prep
35,MOT,det:art
35,MOT,n
36,MOT,n
36,MOT,prep
36,MOT,det:art
36,MOT,n
37,MOT,pro:sub
37,MOT,part
37,MOT,n
37,MOT,adv
38,MOT,pro:sub
38,MOT,part
38,MOT,n
38,MOT,adv
39,MOT,pro:sub
39,MOT,part
39,MOT,n
39,MOT,adv
40,MOT,mod
40,MOT,pro:dem
40,MOT,v
40,MOT,conj
40,MOT,det:art
40,MOT,adj
41,MOT,mod
41,MOT,pro:dem
41,MOT,v
41,MOT,conj
41,MOT,det:art
41,MOT,adj
42,MOT,mod
42,MOT,pro:dem
42,MOT,v
42,MOT,conj
42,MOT,det:art
42,MOT,adj
43,MOT,pro:per
43,MOT,adj
44,MOT,pro:per
44,MOT,adj
45,MOT,pro:per
45,MOT,adj
46,MOT,pro:per
46,MOT,part
46,MOT,?
47,MOT,pro:per
47,MOT,part
47,MOT,?
48,MOT,pro:per
48,MOT,part
49,MOT,co
50,MOT,co
51,MOT,co
52,MOT,co
53,MOT,co
54,MOT,co
55,MOT,v
55,MOT,n
55,MOT,prep
55,MOT,n
55,MOT,post
55,MOT,?
56,MOT,v
56,MOT,n
56,MOT,prep
56,MOT,n
56,MOT,post
56,MOT,?
57,MOT,v
57,MOT,n
57,MOT,prep
57,MOT,n
57,MOT,post
58,MOT,co
59,MOT,co
60,MOT,co
61,MOT,v
61,MOT,pro:per
62,MOT,v
62,MOT,pro:per
63,MOT,v
63,MOT,pro:per
64,MOT,mod
64,MOT,pro:dem
64,MOT,v
64,MOT,adj
64,MOT,?
65,MOT,mod
65,MOT,pro:dem
65,MOT,v
65,MOT,adj
65,MOT,?
66,MOT,mod
66,MOT,pro:dem
66,MOT,v
66,MOT,adj
67,MOT,pro:sub
67,MOT,mod
67,MOT,adv
67,MOT,v
67,MOT,pro:int
67,MOT,adv
68,MOT,pro:sub
68,MOT,mod
68,MOT,adv
68,MOT,v
68,MOT,pro:int
68,MOT,adv
69,MOT,pro:sub
69,MOT,mod
69,MOT,adv
69,MOT,v
69,MOT,pro:int
69,MOT,adv
70,MOT,pro:per
70,MOT,part
70,MOT,v
70,MOT,qn
70,MOT,?
71,MOT,pro:per
71,MOT,part
71,MOT,v
71,MOT,qn
71,MOT,?
72,MOT,pro:per
72,MOT,part
72,MOT,v
72,MOT,qn
73,MOT,v
73,MOT,v
73,MOT,?
74,MOT,v
74,MOT,v
74,MOT,?
75,MOT,v
75,MOT,v
76,MOT,co
77,MOT,co
78,MOT,co
79,MOT,pro:dem
79,MOT,det:art
79,MOT,adj
79,MOT,n
80,MOT,pro:dem
80,MOT,det:art
80,MOT,adj
80,MOT,n
81,MOT,pro:dem
81,MOT,det:art
81,MOT,adj
81,MOT,n
82,MOT,mod
82,MOT,pro:dem
82,MOT,v
82,MOT,adj
82,MOT,?
83,MOT,mod
83,MOT,pro:dem
83,MOT,v
83,MOT,adj
83,MOT,?
84,MOT,mod
84,MOT,pro:dem
84,MOT,v
84,MOT,adj
85,MOT,co
85,MOT,?
86,MOT,co
86,MOT,?
87,MOT,co
88,CHI,co
89,CHI,co
90,CHI,co
