Turn,Speaker,POS
1,MOT,v
1,MOT,adv
2,MOT,v
2,MOT,adv
3,MOT,v
3,MOT,adv
4,EXP,adv:tem
4,EXP,n
4,EXP,cop
4,EXP,n:prop
5,EXP,adv:tem
5,EXP,n
5,EXP,cop
5,EXP,n:prop
6,EXP,adv:tem
6,EXP,n
6,EXP,cop
6,EXP,n:prop
7,CHI,co
8,CHI,co
9,CHI,co
10,CHI,co
11,CHI,co
12,CHI,co
13,MOT,pro:per
13,MOT,v
13,MOT,det:art
13,MOT,n
13,MOT,?
14,MOT,pro:per
14,MOT,v
14,MOT,det:art
14,MOT,n
14,MOT,?
15,MOT,pro:per
15,MOT,v
15,MOT,det:art
15,MOT,n
16,CHI,n
17,CHI,n
18,CHI,n
19,MOT,co
20,MOT,co
21,MOT,co
22,MOT,v
22,MOT,pro:obj
22,MOT,det:art
22,MOT,n
23,MOT,v
23,MOT,pro:obj
23,MOT,det:art
23,MOT,n
24,MOT,v
24,MOT,pro:obj
24,MOT,det:art
24,MOT,n
25,MOT,pro:int
25,MOT,pro:dem
25,MOT,?
26,MOT,pro:int
26,MOT,pro:dem
26,MOT,?
27,MOT,pro:int
27,MOT,pro:dem
28,CHI,n
28,CHI,?
29,CHI,n
29,CHI,?
30,CHI,n
31,MOT,co
31,MOT,pro:int
31,MOT,pro:dem
31,MOT,?
32,MOT,co
32,MOT,pro:int
32,MOT,pro:dem
32,MOT,?
33,MOT,co
33,MOT,pro:int
33,MOT,pro:dem
34,MOT,co
34,MOT,?
35,MOT,co
35,MOT,?
36,MOT,co
37,MOT,pro:per
37,MOT,v
37,MOT,n
38,MOT,pro:per
38,MOT,v
38,MOT,n
39,MOT,pro:per
39,MOT,v
39,MOT,n
40,CHI,n
41,CHI,n
42,CHI,n
43,MOT,n
44,MOT,n
45,MOT,n
46,CHI,n
47,CHI,n
48,CHI,n
49,MOT,n
50,MOT,n
51,MOT,n
52,MOT,qn
52,MOT,n
53,MOT,qn
53,MOT,n
54,MOT,qn
54,MOT,n
55,MOT,n
56,MOT,n
57,MOT,n
58,MOT,co
59,MOT,co
60,MOT,co
61,MOT,co
62,MOT,co
63,MOT,co
64,CHI,co
65,CHI,co
66,CHI,co
67,MOT,pro:int
67,MOT,pro:dem
67,MOT,?
68,MOT,pro:int
68,MOT,pro:dem
68,MOT,?
69,MOT,pro:int
69,MOT,pro:dem
70,MOT,co
70,MOT,pro:dem
70,MOT,n
71,MOT,co
71,MOT,pro:dem
71,MOT,n
72,MOT,co
72,MOT,pro:dem
72,MOT,n
73,MOT,n
74,MOT,n
75,MOT,n
76,CHI,v
76,CHI,pro:per
77,CHI,v
77,CHI,pro:per
78,CHI,v
78,CHI,pro:per
79,MOT,v
79,MOT,pro:per
79,MOT,?
80,MOT,v
80,MOT,pro:per
80,MOT,?
81,MOT,v
81,MOT,pro:per
82,MOT,co
83,MOT,co
84,MOT,co
85,MOT,co
86,MOT,co
87,MOT,co
88,MOT,pro:per
88,MOT,adj
88,MOT,n:prop
88,MOT,?
89,MOT,pro:per
89,MOT,adj
89,MOT,n:prop
89,MOT,?
90,MOT,pro:per
90,MOT,adj
90,MOT,n:prop
91,CHI,n
91,CHI,!
92,CHI,n
93,CHI,n
94,MOT,co
94,MOT,pro:dem
94,MOT,cop
94,MOT,n
95,MOT,co
95,MOT,pro:dem
95,MOT,cop
95,MOT,n
96,MOT,co
96,MOT,pro:dem
96,MOT,cop
96,MOT,n
97,MOT,n
98,MOT,n
99,MOT,n
100,CHI,n:prop
101,CHI,n:prop
102,CHI,n:prop
103,CHI,v
103,CHI,pro:per
104,CHI,v
104,CHI,pro:per
105,CHI,v
105,CHI,pro:per
106,MOT,v
106,MOT,pro:per
106,MOT,?
107,MOT,v
107,MOT,pro:per
107,MOT,?
108,MOT,v
108,MOT,pro:per
109,MOT,co
110,MOT,co
111,MOT,co
112,MOT,pro:int
112,MOT,pro:dem
112,MOT,?
113,MOT,pro:int
113,MOT,pro:dem
113,MOT,?
114,MOT,pro:int
114,MOT,pro:dem
115,MOT,n
116,MOT,n
117,MOT,n
118,CHI,co
119,CHI,co
120,CHI,co
121,MOT,pro:per
121,MOT,adj
122,MOT,pro:per
122,MOT,adj
123,MOT,pro:per
123,MOT,adj
124,CHI,co
125,CHI,co
126,CHI,co
127,MOT,co
128,MOT,co
129,MOT,co
130,MOT,pro:int
130,MOT,pro:dem
130,MOT,?
131,MOT,pro:int
131,MOT,pro:dem
131,MOT,?
132,MOT,pro:int
132,MOT,pro:dem
133,MOT,pro:int
133,MOT,pro:dem
133,MOT,?
134,MOT,pro:int
134,MOT,pro:dem
134,MOT,?
135,MOT,pro:int
135,MOT,pro:dem
136,CHI,n
137,CHI,n
138,CHI,n
139,MOT,co
139,MOT,neg
139,MOT,det:art
139,MOT,n
139,MOT,pro:per
139,MOT,det:art
140,MOT,co
140,MOT,neg
140,MOT,det:art
140,MOT,n
140,MOT,pro:per
140,MOT,det:art
141,MOT,co
141,MOT,neg
141,MOT,det:art
141,MOT,n
141,MOT,pro:per
141,MOT,det:art
142,CHI,n
143,CHI,n
144,CHI,n
145,MOT,pro:int
145,MOT,v
145,MOT,det:art
145,MOT,n
145,MOT,v
145,MOT,?
146,MOT,pro:int
146,MOT,v
146,MOT,det:art
146,MOT,n
146,MOT,v
146,MOT,?
