Turn,Speaker,POS
1,MOT,pro:dem
1,MOT,det:art
1,MOT,n
2,MOT,pro:dem
2,MOT,det:art
2,MOT,n
3,MOT,pro:dem
3,MOT,det:art
3,MOT,n
4,MOT,co
5,MOT,co
6,MOT,co
7,EXP,adv
7,EXP,pro:indef
7,EXP,!
8,EXP,adv
8,EXP,pro:indef
9,EXP,adv
9,EXP,pro:indef
10,CHI,co
10,CHI,!
11,CHI,co
12,CHI,co
13,EXP,co
13,EXP,!
14,EXP,co
15,EXP,co
16,MOT,co
16,MOT,pro:sub
16,MOT,v
16,MOT,+/
17,MOT,co
17,MOT,pro:sub
17,MOT,v
17,MOT,+/
18,MOT,co
18,MOT,pro:sub
18,MOT,v
18,MOT,+/
19,CHI,adj
19,CHI,!
20,CHI,adj
21,CHI,adj
22,MOT,pro:rel
22,MOT,v
22,MOT,pro:per
22,MOT,adj
22,MOT,?
23,MOT,pro:rel
23,MOT,v
23,MOT,pro:per
23,MOT,adj
23,MOT,?
24,MOT,pro:rel
24,MOT,v
24,MOT,pro:per
24,MOT,adj
25,MOT,pro:int
25,MOT,cop
25,MOT,pro:dem
25,MOT,v
25,MOT,pro:per
25,MOT,v
25,MOT,?
26,MOT,pro:int
26,MOT,cop
26,MOT,pro:dem
26,MOT,v
26,MOT,pro:per
26,MOT,v
26,MOT,?
27,MOT,pro:int
27,MOT,cop
27,MOT,pro:dem
27,MOT,v
27,MOT,pro:per
27,MOT,v
28,MOT,n
28,MOT,?
29,MOT,n
29,MOT,?
30,MOT,n
31,CHI,n
31,CHI,!
32,CHI,n
33,CHI,n
34,MOT,n
34,MOT,?
35,MOT,n
35,MOT,?
36,MOT,n
37,CHI,n
38,CHI,n
39,CHI,n
40,MOT,n
41,MOT,n
42,MOT,n
43,MOT,co
43,MOT,pro:sub
43,MOT,n
44,MOT,co
44,MOT,pro:sub
44,MOT,n
45,MOT,co
45,MOT,pro:sub
45,MOT,n
46,MOT,pro:dem
46,MOT,adj
47,MOT,pro:dem
47,MOT,adj
48,MOT,pro:dem
48,MOT,adj
49,MOT,pro:int
49,MOT,mod
49,MOT,pro:per
49,MOT,v
49,MOT,prep
49,MOT,det:poss
49,MOT,n
50,MOT,pro:int
50,MOT,mod
50,MOT,pro:per
50,MOT,v
50,MOT,prep
50,MOT,det:poss
50,MOT,n
51,MOT,pro:int
51,MOT,mod
51,MOT,pro:per
51,MOT,v
51,MOT,prep
51,MOT,det:poss
51,MOT,n
52,CHI,co
52,CHI,!
53,CHI,co
54,CHI,co
55,MOT,co
56,MOT,co
57,MOT,co
58,MOT,pro:dem
58,MOT,neg
58,MOT,det:art
58,MOT,n
59,MOT,pro:dem
59,MOT,neg
59,MOT,det:art
59,MOT,n
60,MOT,pro:dem
60,MOT,neg
60,MOT,det:art
60,MOT,n
61,MOT,pro:dem
61,MOT,det:art
61,MOT,n
61,MOT,!
62,MOT,pro:dem
62,MOT,det:art
62,MOT,n
63,MOT,pro:dem
63,MOT,det:art
63,MOT,n
64,EXP,part
64,EXP,adv
64,EXP,prep
64,EXP,n
65,EXP,part
65,EXP,adv
65,EXP,prep
65,EXP,n
66,EXP,part
66,EXP,adv
66,EXP,prep
66,EXP,n
67,MOT,mod
67,MOT,pro:sub
67,MOT,v
67,MOT,qn
67,MOT,n
67,MOT,prep
68,MOT,mod
68,MOT,pro:sub
68,MOT,v
68,MOT,qn
68,MOT,n
68,MOT,prep
69,MOT,mod
69,MOT,pro:sub
69,MOT,v
69,MOT,qn
69,MOT,n
69,MOT,prep
70,MOT,prep
70,MOT,det:art
70,MOT,n
70,MOT,?
71,MOT,prep
71,MOT,det:art
71,MOT,n
71,MOT,?
72,MOT,prep
72,MOT,det:art
72,MOT,n
73,MOT,co
73,MOT,mod
73,MOT,pro:per
73,MOT,v
73,MOT,comp
73,MOT,?
74,MOT,co
74,MOT,mod
74,MOT,pro:per
74,MOT,v
74,MOT,comp
74,MOT,?
75,MOT,co
75,MOT,mod
75,MOT,pro:per
75,MOT,v
75,MOT,comp
76,MOT,pro:per
76,MOT,adj
76,MOT,!
77,MOT,pro:per
77,MOT,adj
78,MOT,pro:per
78,MOT,adj
79,MOT,co
79,MOT,n:prop
79,MOT,!
80,MOT,co
80,MOT,n:prop
81,MOT,co
81,MOT,n:prop
82,MOT,pro:per
82,MOT,cop
82,MOT,adv
82,MOT,adj
83,MOT,pro:per
83,MOT,cop
83,MOT,adv
83,MOT,adj
84,MOT,pro:per
84,MOT,cop
84,MOT,adv
84,MOT,adj
85,EXP,coord
85,EXP,pro:dem
85,EXP,adv
85,EXP,pro:sub
