Turn,Speaker,POS
1,EXP,pro:sub
1,EXP,mod
1,EXP,det:dem
1,EXP,?
2,EXP,pro:sub
2,EXP,mod
2,EXP,det:dem
2,EXP,?
3,EXP,pro:sub
3,EXP,mod
3,EXP,det:dem
4,EXP,pro:sub
4,EXP,v
4,EXP,adv
4,EXP,cm
4,EXP,pro:sub
4,EXP,v
5,EXP,pro:sub
5,EXP,v
5,EXP,adv
5,EXP,cm
5,EXP,pro:sub
5,EXP,v
6,EXP,pro:sub
6,EXP,v
6,EXP,adv
6,EXP,cm
6,EXP,pro:sub
6,EXP,v
7,EXP,pro:sub
7,EXP,mod
7,EXP,mod
7,EXP,v
7,EXP,det:dem
8,EXP,pro:sub
8,EXP,mod
8,EXP,mod
8,EXP,v
8,EXP,det:dem
9,EXP,pro:sub
9,EXP,mod
9,EXP,mod
9,EXP,v
9,EXP,det:dem
10,EXP,co
10,EXP,pro:dem
10,EXP,adj
10,EXP,coord
10,EXP,pro:sub
10,EXP,adv
11,EXP,co
11,EXP,pro:dem
11,EXP,adj
11,EXP,coord
11,EXP,pro:sub
11,EXP,adv
12,EXP,co
12,EXP,pro:dem
12,EXP,adj
12,EXP,coord
12,EXP,pro:sub
12,EXP,adv
13,MOT,co
13,MOT,!
14,MOT,co
15,MOT,co
16,MOT,n
16,MOT,cm
16,MOT,adj
16,MOT,adj
16,MOT,cm
16,MOT,det:num
16,MOT,cm
16,MOT,det:num
17,MOT,n
17,MOT,cm
17,MOT,adj
17,MOT,adj
17,MOT,cm
17,MOT,det:num
17,MOT,cm
17,MOT,det:num
18,MOT,n
18,MOT,cm
18,MOT,adj
18,MOT,adj
18,MOT,cm
18,MOT,det:num
18,MOT,cm
18,MOT,det:num
19,MOT,co
19,MOT,pro:exist
19,MOT,det:art
19,MOT,n
20,MOT,co
20,MOT,pro:exist
20,MOT,det:art
20,MOT,n
21,MOT,co
21,MOT,pro:exist
21,MOT,det:art
21,MOT,n
22,EXP,v
22,EXP,pro:obj
22,EXP,adv
22,EXP,v
22,EXP,det:poss
22,EXP,n
22,EXP,prep
23,EXP,v
23,EXP,pro:obj
23,EXP,adv
23,EXP,v
23,EXP,det:poss
23,EXP,n
23,EXP,prep
24,EXP,v
24,EXP,pro:obj
24,EXP,adv
24,EXP,v
24,EXP,det:poss
24,EXP,n
24,EXP,prep
25,MOT,v
25,MOT,cm
25,MOT,v
25,MOT,cm
25,MOT,v
25,MOT,cm
25,MOT,v
25,MOT,cm
25,MOT,v
26,MOT,v
26,MOT,cm
26,MOT,v
26,MOT,cm
26,MOT,v
26,MOT,cm
26,MOT,v
26,MOT,cm
26,MOT,v
27,MOT,v
27,MOT,cm
27,MOT,v
27,MOT,cm
27,MOT,v
27,MOT,cm
27,MOT,v
27,MOT,cm
27,MOT,v
28,MOT,v
28,MOT,cm
28,MOT,v
28,MOT,!
29,MOT,v
29,MOT,cm
29,MOT,v
30,MOT,v
30,MOT,cm
30,MOT,v
31,MOT,pro:sub
31,MOT,v
31,MOT,adv
31,MOT,prep
31,MOT,pro:obj
32,MOT,pro:sub
32,MOT,v
32,MOT,adv
32,MOT,prep
32,MOT,pro:obj
33,MOT,pro:sub
33,MOT,v
