Turn,Speaker,POS
1,MOT,pro:int
1,MOT,mod
1,MOT,pro:int
1,MOT,mod
1,MOT,pro:per
2,MOT,pro:int
2,MOT,mod
2,MOT,pro:int
2,MOT,mod
2,MOT,pro:per
3,MOT,pro:int
3,MOT,mod
3,MOT,pro:int
3,MOT,mod
3,MOT,pro:per
4,MOT,coord
4,MOT,adv:tem
4,MOT,v
4,MOT,det:art
4,MOT,adj
4,MOT,n
4,MOT,adv
5,MOT,coord
5,MOT,adv:tem
5,MOT,v
5,MOT,det:art
5,MOT,adj
5,MOT,n
5,MOT,adv
6,MOT,coord
6,MOT,adv:tem
6,MOT,v
6,MOT,det:art
6,MOT,adj
6,MOT,n
6,MOT,adv
7,MOT,adj
7,MOT,!
8,MOT,adj
9,MOT,adj
10,CHI,n
11,CHI,n
12,CHI,n
13,MOT,co
14,MOT,co
15,MOT,co
16,MOT,pro:per
16,MOT,v
16,MOT,adv
16,MOT,prep
16,MOT,det:art
16,MOT,n
17,MOT,pro:per
17,MOT,v
17,MOT,adv
17,MOT,prep
17,MOT,det:art
17,MOT,n
18,MOT,pro:per
18,MOT,v
18,MOT,adv
18,MOT,prep
18,MOT,det:art
18,MOT,n
19,MOT,adv
19,MOT,pro:sub
19,MOT,v
20,MOT,adv
20,MOT,pro:sub
20,MOT,v
21,MOT,adv
21,MOT,pro:sub
21,MOT,v
22,MOT,v
22,MOT,det:dem
22,MOT,pro:indef
22,MOT,?
23,MOT,v
23,MOT,det:dem
23,MOT,pro:indef
23,MOT,?
24,MOT,v
24,MOT,det:dem
24,MOT,pro:indef
25,MOT,co
26,MOT,co
27,MOT,co
28,MOT,adv
28,MOT,pro:sub
28,MOT,v
29,MOT,adv
29,MOT,pro:sub
29,MOT,v
30,MOT,adv
30,MOT,pro:sub
30,MOT,v
31,MOT,co
31,MOT,det:num
31,MOT,n
32,MOT,co
32,MOT,det:num
32,MOT,n
33,MOT,co
33,MOT,det:num
33,MOT,n
34,MOT,pro:per
34,MOT,adv
34,MOT,mod
34,MOT,v
34,MOT,adj
34,MOT,comp
35,MOT,pro:per
35,MOT,adv
35,MOT,mod
35,MOT,v
35,MOT,adj
35,MOT,comp
36,MOT,pro:per
36,MOT,adv
36,MOT,mod
36,MOT,v
36,MOT,adj
36,MOT,comp
37,MOT,co
37,MOT,?
38,MOT,co
38,MOT,?
39,MOT,co
40,MOT,adv
41,MOT,adv
42,MOT,adv
43,MOT,adv
43,MOT,pro:per
43,MOT,v
43,MOT,pro:per
44,MOT,adv
44,MOT,pro:per
44,MOT,v
44,MOT,pro:per
45,MOT,adv
45,MOT,pro:per
45,MOT,v
45,MOT,pro:per
46,MOT,pro:per
46,MOT,adj
46,MOT,!
47,MOT,pro:per
47,MOT,adj
48,MOT,pro:per
48,MOT,adj
49,MOT,co
49,MOT,!
50,MOT,co
51,MOT,co
52,MOT,co
52,MOT,pro:per
52,MOT,mod
52,MOT,v
52,MOT,pro:per
53,MOT,co
53,MOT,pro:per
53,MOT,mod
53,MOT,v
53,MOT,pro:per
54,MOT,co
54,MOT,pro:per
54,MOT,mod
54,MOT,v
54,MOT,pro:per
55,CHI,co
56,CHI,co
57,CHI,co
58,MOT,adv
59,MOT,adv
60,MOT,adv
61,MOT,adj
61,MOT,n
61,MOT,pro:per
61,MOT,v
61,MOT,pro:int
61,MOT,inf
61,MOT,v
62,MOT,adj
62,MOT,n
62,MOT,pro:per
62,MOT,v
62,MOT,pro:int
62,MOT,inf
62,MOT,v
63,MOT,adj
63,MOT,n
63,MOT,pro:per
63,MOT,v
63,MOT,pro:int
63,MOT,inf
63,MOT,v
64,MOT,adv
64,MOT,pro:per
64,MOT,v
64,MOT,pro:obj
64,MOT,inf
64,MOT,v
64,MOT,pro:per
65,MOT,adv
65,MOT,pro:per
65,MOT,v
65,MOT,pro:obj
65,MOT,inf
65,MOT,v
65,MOT,pro:per
66,MOT,adv
66,MOT,pro:per
66,MOT,v
66,MOT,pro:obj
66,MOT,inf
66,MOT,v
66,MOT,pro:per
67,MOT,adv
68,MOT,adv
69,MOT,adv
70,MOT,co
71,MOT,co
72,MOT,co
73,MOT,adv
73,MOT,pro:per
73,MOT,v
74,MOT,adv
74,MOT,pro:per
74,MOT,v
75,MOT,adv
75,MOT,pro:per
75,MOT,v
76,MOT,co
76,MOT,pro:per
76,MOT,v
76,MOT,det:dem
76,MOT,pro:indef
77,MOT,co
77,MOT,pro:per
77,MOT,v
77,MOT,det:dem
77,MOT,pro:indef
78,MOT,co
78,MOT,pro:per
78,MOT,v
78,MOT,det:dem
78,MOT,pro:indef
79,MOT,n
79,MOT,pro:sub
79,MOT,mod
79,MOT,v
79,MOT,qn
79,MOT,n
79,MOT,prep
80,MOT,n
80,MOT,pro:sub
80,MOT,mod
80,MOT,v
80,MOT,qn
80,MOT,n
80,MOT,prep
81,MOT,n
81,MOT,pro:sub
81,MOT,mod
81,MOT,v
81,MOT,qn
81,MOT,n
81,MOT,prep
82,MOT,mod
82,MOT,pro:per
82,MOT,v
82,MOT,pro:obj
82,MOT,?
83,MOT,mod
83,MOT,pro:per
83,MOT,v
83,MOT,pro:obj
83,MOT,?
84,MOT,mod
84,MOT,pro:per
84,MOT,v
84,MOT,pro:obj
85,MOT,mod
85,MOT,pro:per
85,MOT,v
85,MOT,pro:obj
85,MOT,?
86,MOT,mod
86,MOT,pro:per
86,MOT,v
86,MOT,pro:obj
86,MOT,?
87,MOT,mod
87,MOT,pro:per
87,MOT,v
87,MOT,pro:obj
88,MOT,pro:int
88,MOT,pro:dem
88,MOT,?
89,MOT,pro:int
89,MOT,pro:dem
89,MOT,?
90,MOT,pro:int
90,MOT,pro:dem
91,CHI,n
92,CHI,n
93,CHI,n
94,MOT,co
94,MOT,adv
94,MOT,adj
95,MOT,co
95,MOT,adv
95,MOT,adj
96,MOT,co
96,MOT,adv
96,MOT,adj
97,MOT,mod
97,MOT,pro:per
97,MOT,v
97,MOT,det:art
97,MOT,adj
97,MOT,n
97,MOT,prep
98,MOT,mod
98,MOT,pro:per
98,MOT,v
98,MOT,det:art
98,MOT,adj
98,MOT,n
98,MOT,prep
99,MOT,mod
99,MOT,pro:per
99,MOT,v
99,MOT,det:art
99,MOT,adj
99,MOT,n
99,MOT,prep
100,CHI,adv
101,CHI,adv
102,CHI,adv
103,MOT,co
104,MOT,co
105,MOT,co
106,MOT,pro:per
106,MOT,v
106,MOT,pro:int
106,MOT,pro:per
106,MOT,adv
107,MOT,pro:per
107,MOT,v
107,MOT,pro:int
107,MOT,pro:per
107,MOT,adv
108,MOT,pro:per
108,MOT,v
108,MOT,pro:int
108,MOT,pro:per
108,MOT,adv
109,MOT,pro:dem
109,MOT,pro:indef
110,MOT,pro:dem
110,MOT,pro:indef
111,MOT,pro:dem
111,MOT,pro:indef
112,MOT,adv
112,MOT,pro:per
112,MOT,v
113,MOT,adv
113,MOT,pro:per
113,MOT,v
114,MOT,adv
114,MOT,pro:per
114,MOT,v
115,MOT,pro:per
115,MOT,v
115,MOT,pro:per
115,MOT,mod
115,MOT,v
115,MOT,det:dem
116,MOT,pro:per
116,MOT,v
116,MOT,pro:per
116,MOT,mod
116,MOT,v
116,MOT,det:dem
117,MOT,pro:per
117,MOT,v
117,MOT,pro:per
117,MOT,mod
117,MOT,v
117,MOT,det:dem
118,MOT,coord
118,MOT,v
118,MOT,det:poss
118,MOT,adj
118,MOT,n:pt
118,MOT,coord
118,MOT,adj
119,MOT,coord
119,MOT,v
119,MOT,det:poss
119,MOT,adj
119,MOT,n:pt
119,MOT,coord
119,MOT,adj
120,MOT,coord
120,MOT,v
120,MOT,det:poss
120,MOT,adj
120,MOT,n:pt
120,MOT,coord
120,MOT,adj
121,CHI,co
122,CHI,co
123,CHI,co
124,MOT,co
125,MOT,co
126,MOT,co
127,CHI,co
128,CHI,co
129,CHI,co
130,MOT,adv
130,MOT,pro:per
130,MOT,v
130,MOT,adj
130,MOT,n
131,MOT,adv
131,MOT,pro:per
131,MOT,v
131,MOT,adj
131,MOT,n
132,MOT,adv
132,MOT,pro:per
132,MOT,v
132,MOT,adj
132,MOT,n
133,MOT,co
134,MOT,co
135,MOT,co
136,CHI,n
137,CHI,n
138,CHI,n
139,MOT,pro:dem
139,MOT,cop
139,MOT,adj
139,MOT,adv
140,MOT,pro:dem
140,MOT,cop
140,MOT,adj
140,MOT,adv
141,MOT,pro:dem
141,MOT,cop
141,MOT,adj
141,MOT,adv
142,CHI,adv
142,CHI,pro:per
142,CHI,cop
142,CHI,!
143,CHI,adv
143,CHI,pro:per
143,CHI,cop
144,CHI,adv
144,CHI,pro:per
144,CHI,cop
145,MOT,pro:rel
145,MOT,v
145,MOT,conj
145,MOT,det:art
145,MOT,n
145,MOT,prep
145,MOT,pro:obj
146,MOT,pro:rel
146,MOT,v
146,MOT,conj
146,MOT,det:art
146,MOT,n
146,MOT,prep
146,MOT,pro:obj
147,MOT,pro:rel
147,MOT,v
147,MOT,conj
147,MOT,det:art
147,MOT,n
147,MOT,prep
147,MOT,pro:obj
148,MOT,pro:int
148,MOT,mod
148,MOT,pro:per
148,MOT,v
148,MOT,?
149,MOT,pro:int
149,MOT,mod
149,MOT,pro:per
149,MOT,v
149,MOT,?
150,MOT,pro:int
150,MOT,mod
150,MOT,pro:per
150,MOT,v
151,MOT,det:art
151,MOT,n
151,MOT,?
152,MOT,det:art
152,MOT,n
152,MOT,?
153,MOT,det:art
153,MOT,n
154,CHI,n
155,CHI,n
156,CHI,n
157,MOT,co
157,MOT,pro:sub
157,MOT,v
157,MOT,co
158,MOT,co
158,MOT,pro:sub
158,MOT,v
158,MOT,co
159,MOT,co
159,MOT,pro:sub
159,MOT,v
159,MOT,co
160,MOT,co
161,MOT,co
162,MOT,co
163,CHI,n
164,CHI,n
165,CHI,n
166,MOT,n
167,MOT,n
168,MOT,n
169,MOT,pro:dem
169,MOT,co
170,MOT,pro:dem
170,MOT,co
171,MOT,pro:dem
171,MOT,co
172,MOT,adv
172,MOT,v
172,MOT,v
172,MOT,pro:per
172,MOT,adv
173,MOT,adv
173,MOT,v
173,MOT,v
173,MOT,pro:per
173,MOT,adv
174,MOT,adv
174,MOT,v
174,MOT,v
174,MOT,pro:per
174,MOT,adv
175,MOT,coord
175,MOT,pro:per
175,MOT,mod
175,MOT,v
175,MOT,pro:per
175,MOT,prep
176,MOT,coord
176,MOT,pro:per
176,MOT,mod
176,MOT,v
176,MOT,pro:per
176,MOT,prep
177,MOT,coord
177,MOT,pro:per
177,MOT,mod
177,MOT,v
177,MOT,pro:per
177,MOT,prep
178,MOT,v
178,MOT,prep
178,MOT,det:dem
178,MOT,pro:indef
178,MOT,pro:exist
179,MOT,v
179,MOT,prep
179,MOT,det:dem
179,MOT,pro:indef
179,MOT,pro:exist
180,MOT,v
180,MOT,prep
180,MOT,det:dem
180,MOT,pro:indef
180,MOT,pro:exist
181,MOT,v
181,MOT,prep
181,MOT,pro:dem
182,MOT,v
182,MOT,prep
182,MOT,pro:dem
183,MOT,v
183,MOT,prep
183,MOT,pro:dem
184,MOT,pro:exist
184,MOT,det:dem
184,MOT,pro:indef
185,MOT,pro:exist
185,MOT,det:dem
185,MOT,pro:indef
186,MOT,pro:exist
186,MOT,det:dem
186,MOT,pro:indef
187,MOT,co
187,MOT,?
188,MOT,co
188,MOT,?
189,MOT,co
190,MOT,adv
190,MOT,adj
190,MOT,!
191,MOT,adv
191,MOT,adj
192,MOT,adv
192,MOT,adj
193,CHI,n
194,CHI,n
195,CHI,n
196,MOT,co
197,MOT,co
198,MOT,co
199,MOT,aux
199,MOT,pro:per
199,MOT,v
199,MOT,coord
199,MOT,pro:sub
199,MOT,v
200,MOT,aux
200,MOT,pro:per
200,MOT,v
200,MOT,coord
200,MOT,pro:sub
200,MOT,v
201,MOT,aux
201,MOT,pro:per
201,MOT,v
201,MOT,coord
201,MOT,pro:sub
201,MOT,v
202,MOT,co
202,MOT,mod
202,MOT,v
202,MOT,det:art
202,MOT,n
202,MOT,adv
203,MOT,co
203,MOT,mod
203,MOT,v
203,MOT,det:art
203,MOT,n
203,MOT,adv
204,MOT,co
204,MOT,mod
204,MOT,v
204,MOT,det:art
204,MOT,n
204,MOT,adv
205,MOT,adv
205,MOT,pro:per
205,MOT,v
206,MOT,adv
206,MOT,pro:per
206,MOT,v
207,MOT,adv
207,MOT,pro:per
207,MOT,v
208,MOT,mod
208,MOT,pro:per
208,MOT,v
208,MOT,v
208,MOT,det:dem
208,MOT,pro:indef
209,MOT,mod
209,MOT,pro:per
209,MOT,v
209,MOT,v
209,MOT,det:dem
209,MOT,pro:indef
210,MOT,mod
210,MOT,pro:per
210,MOT,v
210,MOT,v
210,MOT,det:dem
210,MOT,pro:indef
211,CHI,co
211,CHI,!
212,CHI,co
213,CHI,co
214,CHI,co
214,CHI,!
215,CHI,co
216,CHI,co
217,MOT,pro:per
217,MOT,v
217,MOT,pro:obj
217,MOT,v
217,MOT,pro:per
217,MOT,adv
217,MOT,?
218,MOT,pro:per
218,MOT,v
218,MOT,pro:obj
218,MOT,v
218,MOT,pro:per
218,MOT,adv
218,MOT,?
219,MOT,pro:per
219,MOT,v
219,MOT,pro:obj
219,MOT,v
219,MOT,pro:per
219,MOT,adv
220,CHI,co
221,CHI,co
222,CHI,co
223,CHI,co
223,CHI,n
224,CHI,co
224,CHI,n
225,CHI,co
225,CHI,n
226,MOT,co
227,MOT,co
228,MOT,co
229,MOT,v
229,MOT,pro:int
