Turn,Speaker,POS
1,MOT,n
2,MOT,n
3,MOT,n
4,MOT,n
4,MOT,coord
4,MOT,n
5,MOT,n
5,MOT,coord
5,MOT,n
6,MOT,n
6,MOT,coord
6,MOT,n
7,CHI,n
8,CHI,n
9,CHI,n
10,MOT,coord
10,MOT,n
11,MOT,coord
11,MOT,n
12,MOT,coord
12,MOT,n
13,CHI,n
14,CHI,n
15,CHI,n
16,MOT,pro:per
16,MOT,v
16,MOT,pro:obj
16,MOT,prep
16,MOT,det:art
16,MOT,n
16,MOT,?
17,MOT,pro:per
17,MOT,v
17,MOT,pro:obj
17,MOT,prep
17,MOT,det:art
17,MOT,n
17,MOT,?
18,MOT,pro:per
18,MOT,v
18,MOT,pro:obj
18,MOT,prep
18,MOT,det:art
18,MOT,n
19,MOT,adj
19,MOT,n
20,MOT,adj
20,MOT,n
21,MOT,adj
21,MOT,n
22,MOT,pro:per
22,MOT,part
22,MOT,v
22,MOT,pro:indef
22,MOT,?
23,MOT,pro:per
23,MOT,part
23,MOT,v
23,MOT,pro:indef
23,MOT,?
24,MOT,pro:per
24,MOT,part
24,MOT,v
24,MOT,pro:indef
25,CHI,n
26,CHI,n
27,CHI,n
28,CHI,v
28,CHI,pro:indef
29,CHI,v
29,CHI,pro:indef
30,CHI,v
30,CHI,pro:indef
31,MOT,co
31,MOT,v
31,MOT,det:dem
31,MOT,pro:indef
32,MOT,co
32,MOT,v
32,MOT,det:dem
32,MOT,pro:indef
33,MOT,co
33,MOT,v
33,MOT,det:dem
33,MOT,pro:indef
34,MOT,mod
34,MOT,pro:per
34,MOT,v
34,MOT,pro:dem
34,MOT,?
35,MOT,mod
35,MOT,pro:per
35,MOT,v
35,MOT,pro:dem
35,MOT,?
36,MOT,mod
36,MOT,pro:per
36,MOT,v
36,MOT,pro:dem
37,MOT,co
37,MOT,pro:per
37,MOT,mod
37,MOT,v
37,MOT,adv
38,MOT,co
38,MOT,pro:per
38,MOT,mod
38,MOT,v
38,MOT,adv
39,MOT,co
39,MOT,pro:per
39,MOT,mod
39,MOT,v
39,MOT,adv
40,MOT,pro:per
40,MOT,det:art
40,MOT,n
40,MOT,?
41,MOT,pro:per
41,MOT,det:art
41,MOT,n
41,MOT,?
42,MOT,pro:per
42,MOT,det:art
42,MOT,n
43,MOT,pro:per
43,MOT,v
43,MOT,v
43,MOT,qn
43,MOT,n
43,MOT,prep
43,MOT,det:art
44,MOT,pro:per
44,MOT,v
44,MOT,v
44,MOT,qn
44,MOT,n
44,MOT,prep
44,MOT,det:art
45,MOT,pro:per
45,MOT,v
45,MOT,v
45,MOT,qn
45,MOT,n
45,MOT,prep
45,MOT,det:art
46,CHI,n
47,CHI,n
48,CHI,n
49,MOT,cop
49,MOT,comp
49,MOT,n
49,MOT,?
50,MOT,cop
50,MOT,comp
50,MOT,n
50,MOT,?
51,MOT,cop
51,MOT,comp
51,MOT,n
52,CHI,adj
53,CHI,adj
54,CHI,adj
55,MOT,co
56,MOT,co
57,MOT,co
58,CHI,n
59,CHI,n
60,CHI,n
61,MOT,pro:per
61,MOT,part
61,MOT,v
